final_reference_id,alpha,role,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.900000_a0.05000000,0.05,off_anchor,0.0034835823829472,0.0173342330955891,2.1715308450205586,0.3051677549670989,0.1342290054837587,0.1351075277305324,0.5532872834241822,0.558981634197958,0.0474184630265611,0.0036018678005039,0.0173349781536488,1.0629480046585356,0.0801676889805871,0.0138692344094168,0.0131213957008796,0.1154213923023802,0.1032132579994595,0.0023402575285638,0.00011828541755670025,7.450580596993217e-07,-1.108582840362023,-0.22500006598651182,-0.12035977107434191,-0.12198613202965279,-0.437865891121802,-0.45576837619849847,-0.0450782054979973
M1.900000_a0.05500000,0.055,off_anchor,0.0017113513000391,0.0098214404959035,1.8784845830981465,0.2801294812904236,0.15447725562977,0.1545558144006388,0.5943071457590325,0.5965683320298758,0.0618682591789565,0.0017825490482233,0.0098196113783669,0.589142026033807,0.0454830602824999,0.0099111437242386,0.0089399358693891,0.0740289825088143,0.0648373674867817,0.000924580553577,7.119774818419998e-05,-1.829117536600311e-06,-1.2893425570643395,-0.23464642100792368,-0.1445661119055314,-0.14561587853124972,-0.5202781632502183,-0.5317309645430941,-0.0609436786253795
M1.900000_a0.06000000,0.06,off_anchor,0.0005761815451349,0.0041499137697347,1.6726932306991842,0.2618437678905601,0.1762268949218081,0.1751183678775414,0.6355237204345934,0.6329018866994451,0.0778088528822604,0.0006084276579584,0.0041462573973068,0.2891029706069351,0.0205652366232521,0.0068224272277473,0.0054104018564826,0.0377047601593224,0.0313548217569143,0.0002373205955574,3.224611282349999e-05,-3.65637242790047e-06,-1.3835902600922492,-0.24127853126730797,-0.16940446769406078,-0.1697079660210588,-0.5978189602752709,-0.6015470649425309,-0.07757153228670301
M1.900000_a0.06500000,0.065,S4M4_modal_anchor,5.81636114599382e-06,5.498774958673236e-06,1.5259209899280155,0.2483156487887171,0.1993551100973552,0.1965973844307186,0.6761821848115736,0.6672374558973883,0.0948700551823318,1.9122569132057343e-06,1.6415925127577505e-07,0.1471012651989406,0.0070949719530556,0.0057300434353526,0.0037794498080216,0.0129051025807735,0.0077307232347937,2.987081601701913e-05,-3.904104232788086e-06,-5.334615707397461e-06,-1.378819724729075,-0.24122067683566148,-0.1936250666620026,-0.192817934622697,-0.6632770822308001,-0.6595067326625945,-0.09484018436631478
M1.900000_a0.07000000,0.07,off_anchor,0.0001671702747745,0.0029052929688024,1.4195556566782803,0.2381876693647977,0.2244556312959242,0.219217866224922,0.7178625367749508,0.6997164346221543,0.113025458425008,0.0001807005291385,0.002912253673725,0.1616719118306507,0.0130327007984095,0.0071284510882281,0.0051425388089673,0.0262438534889095,0.0239627438866585,0.0001025287627878,1.3530254364000011e-05,6.960704922599759e-06,-1.2578837448476297,-0.22515496856638822,-0.2173271802076961,-0.2140753274159547,-0.6916186832860414,-0.6757536907354957,-0.1129229296622202
M1.900000_a0.07500000,0.075,off_anchor,6.730263603887954e-05,0.0048285254674711,1.3416683623377426,0.230365075947311,0.2500940379578547,0.2419831125709001,0.7560628785479057,0.7288899492995533,0.1313332293018664,8.879011048040786e-05,0.0048369315850296,0.2062955071755001,0.0197027371365061,0.0095338080110065,0.0074538076324502,0.044897575328928,0.0424823299093035,0.0003094197829819,2.148747444152832e-05,8.406117558500126e-06,-1.1353728551622424,-0.2106623388108049,-0.24056022994684817,-0.2345293049384499,-0.7111653032189776,-0.6864076193902499,-0.13102380951888448
M1.900000_a0.08000000,0.08,off_anchor,0.0001464504943855,0.0059573052999424,1.2832518685190066,0.2243483230627688,0.2776922718034933,0.2655365278076891,0.7949924507495248,0.7560049986363611,0.1501807568550521,0.0001241285549171,0.0059668252793001,0.2282907464085409,0.0232983968237081,0.0120220006871027,0.0095368213683921,0.0584934444273463,0.0565491744427293,0.0005585435889742,-2.2321939468399998e-05,9.519979357699472e-06,-1.0549611221104658,-0.2010499262390607,-0.26567027111639063,-0.255999706439297,-0.7364990063221786,-0.6994558241936317,-0.1496222132660779
M1.900000_a0.08500000,0.085,off_anchor,0.0003666617321197,0.0064354156863188,1.2384457998665377,0.2196016027815179,0.3064487894449488,0.2892484435680784,0.8327277978638654,0.7806124503649091,0.1690701627184578,0.000348005478305,0.0064456471961236,0.2268271353525085,0.0244020415669606,0.0140633352185048,0.0110024622807272,0.0663954509766327,0.0658120808479206,0.000782348445468,-1.8656253814699976e-05,1.0231509804799373e-05,-1.0116186645140293,-0.1951995612145573,-0.292385454226444,-0.2782459812873512,-0.7663323468872327,-0.7148003695169886,-0.16828781427298978
M1.900000_a0.09000000,0.09,off_anchor,0.0005306799747328,0.0063656831273569,1.2031353713819644,0.2158457478736632,0.335152150954582,0.3123943219380363,0.8680729686400634,0.8025992988530684,0.1876410653156995,0.0005179245807508,0.0063761642316116,0.2075318218121362,0.0236818142534799,0.0152751807483476,0.0116313835317459,0.0687291671941926,0.0699293785445936,0.0009215928330617,-1.2755393981999947e-05,1.0481104254700044e-05,-0.9956035495698281,-0.1921639336201833,-0.3198769702062344,-0.30076293840629037,-0.7993438014458708,-0.7326699203084748,-0.1867194724826378
M1.900000_a0.09500000,0.095,off_anchor,0.0006093740458046,0.0058206620601667,1.173856458603911,0.2129562685015601,0.365758392374528,0.3356684125796787,0.9050306384983848,0.8232384388591467,0.2062436441861205,0.0006030559534584,0.0058308805314554,0.1759046812128064,0.0215494959170137,0.0153025143099036,0.0112684052483761,0.0655975184582037,0.0683540700473827,0.0009225715109627,-6.3180923461999714e-06,1.0218471288700112e-05,-0.9979517773911046,-0.19140677258454641,-0.3504558780646244,-0.32440000733130264,-0.8394331200401811,-0.754884368811764,-0.2053210726751578
