final_reference_id,alpha,cr_abs_error_S4,ci_abs_error_S4,kappa_nrmse_S4,q_nrmse_S4,log_amp_rmse_S4,amplitude_rel_l2_S4,phase_rmse_S4,pressure_rel_l2_S4,pressure_overlap_error_S4,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,role,delta_cr_abs_error_S4M4_minus_S4,delta_ci_abs_error_S4M4_minus_S4,delta_kappa_nrmse_S4M4_minus_S4,delta_q_nrmse_S4M4_minus_S4,delta_log_amp_rmse_S4M4_minus_S4,delta_amplitude_rel_l2_S4M4_minus_S4,delta_phase_rmse_S4M4_minus_S4,delta_pressure_rel_l2_S4M4_minus_S4,delta_pressure_overlap_error_S4M4_minus_S4
M1.500000_a0.05000000,0.05,0.008994857122655,0.0207413792290881,1.502276867186299,0.5325025262756621,0.2017077711174957,0.2039994818540041,0.712237109136878,0.7398361338091513,0.0652680182571308,0.0089037514231158,0.0207403286972239,0.5172651876413098,0.1541585770869575,0.0399387046093734,0.0335085031584006,0.130724262169047,0.1108115811340288,0.0031150714514865,off_anchor,-9.110569953919845e-05,-1.0505318642009542e-06,-0.9850116795449891,-0.3783439491887046,-0.16176906650812228,-0.1704909786956035,-0.581512846967831,-0.6290245526751225,-0.0621529468056443
M1.500000_a0.05500000,0.055,0.0052030853394315,0.01458288258665,1.3783923623448482,0.4712028250207391,0.2288642460907367,0.2300811483495565,0.7063499407504434,0.7445499030850957,0.0591473874893391,0.0051185361508176,0.0145886344348709,0.3430502712031066,0.1008414437533867,0.029528532600317,0.0241701865058118,0.0934141580352008,0.0781453659556952,0.0015213421120807,off_anchor,-8.454918861390028e-05,5.751848220899788e-06,-1.0353420911417417,-0.3703613812673524,-0.19933571349041967,-0.20591096184374472,-0.6129357827152426,-0.6664045371294005,-0.0576260453772584
M1.500000_a0.06000000,0.06,0.0025398591574282,0.0090232759207225,1.2880451442824004,0.4243395883266255,0.2563890726905141,0.2563204378540991,0.705800825880306,0.7522958736556868,0.0581878797708728,0.0024742344435305,0.0090318291872477,0.2061291710502488,0.0588836574425942,0.0198491937241896,0.0155874982416365,0.0584037881497987,0.048542031594977,0.000582019440308,off_anchor,-6.562471389769987e-05,8.553266525199166e-06,-1.0819159732321515,-0.3654559308840313,-0.23653987896632447,-0.2407329396124626,-0.6473970377305073,-0.7037538420607099,-0.0576058603305648
M1.500000_a0.06500000,0.065,0.0008619906697707,0.0041451036440065,1.2212861678559952,0.3887684182600793,0.2855312638814417,0.2832707799746554,0.7134613230528424,0.7628560057053856,0.0623307217302228,0.0008279862199264,0.0041522040473154,0.0997708032872089,0.0264317844873463,0.0119279605310731,0.0081080496485015,0.0268444519617534,0.022476292760022,0.0001314366067921,off_anchor,-3.400444984430007e-05,7.100403308900501e-06,-1.1215153645687863,-0.362336633772733,-0.2736033033503686,-0.2751627303261539,-0.6866168710910889,-0.7403797129453635,-0.062199285123430696
M1.500000_a0.07000000,0.07,1.0179189188219695e-06,1.7564524993629591e-06,1.171690822851552,0.3616422363084854,0.3157017736687697,0.3105155311515405,0.7272801614995065,0.7753588696863866,0.0707618784136941,7.416138316895804e-06,3.11083616283403e-07,0.0385052565096043,0.0080729096948829,0.0080821118544227,0.0037746692027697,0.0098165315018959,0.0059164355466696,1.6446030601247053e-05,S4M2_modal_anchor,6.3982193980738344e-06,-1.4453688830795561e-06,-1.1331855663419477,-0.3535693266136025,-0.307619661814347,-0.3067408619487708,-0.7174636299976106,-0.7694424341397169,-0.07074543238309285
M1.500000_a0.07500000,0.075,0.0002356417001867,0.0034006241472941,1.1349035821880595,0.3411912311857249,0.3456150722318796,0.3372386234628441,0.7440214238271832,0.7885348527235694,0.0825958266043367,0.0001776165784979,0.0034058991583567,0.0755754089527755,0.0213998627412986,0.0106629968660702,0.0070915659539314,0.0303062887307426,0.0216320989158178,0.0001018191889124,off_anchor,-5.80251216888e-05,5.275011062599953e-06,-1.059328173235284,-0.3197913684444263,-0.3349520753658094,-0.3301470575089127,-0.7137151350964406,-0.7669027538077515,-0.0824940074154243
M1.500000_a0.08000000,0.08,3.066713435656565e-05,0.0060638888711549,1.10728185242605,0.3257820609567106,0.3774228554567821,0.3644583651196311,0.7677391745093479,0.8032495418843846,0.0977652287661304,7.90054120301531e-05,0.006077333443842,0.1236711411549757,0.034502396808609,0.0154766706996687,0.0117805667480382,0.0515555387033714,0.037655142042827,0.0002906243679796,off_anchor,4.833827767358745e-05,1.3444572687100476e-05,-0.9836107112710742,-0.2912796641481016,-0.36194618475711343,-0.3526777983715929,-0.7161836358059765,-0.7655943998415575,-0.09747460439815081
M1.500000_a0.08500000,0.085,0.0004369612704989,0.0080266042532382,1.086617479258697,0.3144001082331618,0.4099389426327147,0.3913478365501299,0.7955823875887668,0.8187095319654454,0.1154058204124222,0.000595092393088,0.0080477601768431,0.1594687149482136,0.0430783787701934,0.0198333480579845,0.0157763083461362,0.0683774067299924,0.0505545760172971,0.000504337044184,off_anchor,0.00015813112258909994,2.1155923604901025e-05,-0.9271487643104833,-0.2713217294629684,-0.3901055945747302,-0.3755715282039937,-0.7272049808587744,-0.7681549559481483,-0.1149014833682382
M1.500000_a0.09000000,0.09,0.0010144429735081,0.0093392817070896,1.0710766130634517,0.3060452142849607,0.4432158557153696,0.4178701889743129,0.8269611549048408,0.8349766246122731,0.1349228508110115,0.001213224463834,0.009366796701234,0.1821964689912648,0.0473823816917703,0.0231596400412729,0.0188802504798211,0.0802442283025615,0.0605047349125516,0.0007022463554721,off_anchor,0.00019878149032589998,2.75149941443998e-05,-0.888880144072187,-0.2586628325931904,-0.4200562156740967,-0.39898993849449177,-0.7467169266022793,-0.7744718896997215,-0.13422060445553938
M1.500000_a0.09500000,0.095,0.0015807949587302,0.0100611509763001,1.059279456367065,0.2999286242621639,0.4772925103821896,0.4440014430778516,0.8612086345986197,0.8521306739325603,0.1557336516282632,0.0018090509458976,0.0100931437693833,0.1928236040232557,0.0479532943751307,0.0253489658277028,0.0210797239339782,0.0870091572502873,0.0677909079353144,0.000868448761689,off_anchor,0.00022825598716740003,3.1992793083201326e-05,-0.8664558523438094,-0.2519753298870332,-0.4519435445544868,-0.4229217191438734,-0.7741994773483325,-0.7843397659972459,-0.15486520286657418
