final_reference_id,alpha,cr_abs_error_S4M2,ci_abs_error_S4M2,kappa_nrmse_S4M2,q_nrmse_S4M2,log_amp_rmse_S4M2,amplitude_rel_l2_S4M2,phase_rmse_S4M2,pressure_rel_l2_S4M2,pressure_overlap_error_S4M2,cr_abs_error_S4M4,ci_abs_error_S4M4,kappa_nrmse_S4M4,q_nrmse_S4M4,log_amp_rmse_S4M4,amplitude_rel_l2_S4M4,phase_rmse_S4M4,pressure_rel_l2_S4M4,pressure_overlap_error_S4M4,role,delta_cr_abs_error_S4M4_minus_S4M2,delta_ci_abs_error_S4M4_minus_S4M2,delta_kappa_nrmse_S4M4_minus_S4M2,delta_q_nrmse_S4M4_minus_S4M2,delta_log_amp_rmse_S4M4_minus_S4M2,delta_amplitude_rel_l2_S4M4_minus_S4M2,delta_phase_rmse_S4M4_minus_S4M2,delta_pressure_rel_l2_S4M4_minus_S4M2,delta_pressure_overlap_error_S4M4_minus_S4M2
M1.500000_a0.05000000,0.05,0.0087275302908373,0.0205765276828005,0.5500645797848761,0.2208296423625842,0.1053522703387757,0.0827473469115476,0.2905548042010254,0.2777750252017678,0.0348290528004439,0.0089037514231158,0.0207403286972239,0.5172651876413098,0.1541585770869575,0.0399387046093734,0.0335085031584006,0.130724262169047,0.1108115811340288,0.0031150714514865,off_anchor,0.00017622113227850136,0.00016380101442339812,-0.03279939214356631,-0.06667106527562672,-0.0654135657294023,-0.049238843753147,-0.1598305420319784,-0.166963444067739,-0.0317139813489574
M1.500000_a0.05500000,0.055,0.0050335697296903,0.0144509998595039,0.3645905510908559,0.1500547132666905,0.0799307152648512,0.062061827252993,0.2172736737370806,0.210132424515629,0.0193693658959375,0.0051185361508176,0.0145886344348709,0.3430502712031066,0.1008414437533867,0.029528532600317,0.0241701865058118,0.0934141580352008,0.0781453659556952,0.0015213421120807,off_anchor,8.496642112729939e-05,0.0001376345753669999,-0.021540279887749314,-0.049213269513303806,-0.050402182664534195,-0.0378916407471812,-0.1238595157018798,-0.1319870585599338,-0.0178480237838568
M1.500000_a0.06000000,0.06,0.0024608233984561,0.0089270218699908,0.2166749975090541,0.092065351498987,0.0538290670760872,0.0412239147194252,0.1453582336095421,0.1419266220079769,0.0085816325872974,0.0024742344435305,0.0090318291872477,0.2061291710502488,0.0588836574425942,0.0198491937241896,0.0155874982416365,0.0584037881497987,0.048542031594977,0.000582019440308,off_anchor,1.3411045074400007e-05,0.00010480731725689973,-0.010545826458805307,-0.03318169405639279,-0.0339798733518976,-0.0256364164777887,-0.08695444545974339,-0.0933845904129999,-0.0079996131469894
M1.500000_a0.06500000,0.065,0.0008597256932693,0.0040847762929133,0.097866515237715,0.0440551284411478,0.0275461813619194,0.0205014744547455,0.0744856761779091,0.0733067909018573,0.0022155118462851,0.0008279862199264,0.0041522040473154,0.0997708032872089,0.0264317844873463,0.0119279605310731,0.0081080496485015,0.0268444519617534,0.022476292760022,0.0001314366067921,off_anchor,-3.173947334290006e-05,6.742775440209993e-05,0.001904288049493899,-0.0176233439538015,-0.0156182208308463,-0.012393424806244,-0.0476412242161557,-0.050830498141835295,-0.002084075239493
M1.500000_a0.07000000,0.07,5.5219063426759085e-05,2.8042100845310225e-05,0.0271808118665768,0.0065376644871583,0.0054337597170435,0.0029849905539163,0.0066281419059046,0.0065195611592472,1.4485296106481194e-05,7.416138316895804e-06,3.11083616283403e-07,0.0385052565096043,0.0080729096948829,0.0080821118544227,0.0037746692027697,0.0098165315018959,0.0059164355466696,1.6446030601247053e-05,S4M2_modal_anchor,-4.780292510986328e-05,-2.7731017229026822e-05,0.011324444643027499,0.0015352452077246007,0.0026483521373792005,0.0007896786488534001,0.0031883895959912995,-0.0006031256125776001,1.960734494765859e-06
M1.500000_a0.07500000,0.075,0.0001410193266058,0.0033965002509337,0.0921068746815184,0.0316577791402368,0.0272964446944088,0.0206491703214835,0.0641752440360739,0.0643145099629893,0.0016765394416506,0.0001776165784979,0.0034058991583567,0.0755754089527755,0.0213998627412986,0.0106629968660702,0.0070915659539314,0.0303062887307426,0.0216320989158178,0.0001018191889124,off_anchor,3.659725189209998e-05,9.398907423000327e-06,-0.01653146572874291,-0.010257916398938197,-0.0166334478283386,-0.0135576043675521,-0.0338689553053313,-0.042682411047171506,-0.0015747202527382
M1.500000_a0.08000000,0.08,8.28201092957781e-05,0.0060342169339276,0.1594831339785207,0.0606712942132589,0.0539863511524697,0.039978190407925,0.1315260245777784,0.1321070175221401,0.006873999362656,7.90054120301531e-05,0.006077333443842,0.1236711411549757,0.034502396808609,0.0154766706996687,0.0117805667480382,0.0515555387033714,0.037655142042827,0.0002906243679796,off_anchor,-3.814697265625e-06,4.311650991439993e-05,-0.03581199282354501,-0.0261688974046499,-0.038509680452800996,-0.028197623659886803,-0.079970485874407,-0.09445187547931311,-0.006583374994676401
M1.500000_a0.08500000,0.085,0.0005526836883303,0.0079768716277537,0.2165123251991589,0.0856723447186529,0.0805324567267226,0.0583698582721845,0.1975870197266522,0.1987945568037593,0.015238882691416,0.000595092393088,0.0080477601768431,0.1594687149482136,0.0430783787701934,0.0198333480579845,0.0157763083461362,0.0683774067299924,0.0505545760172971,0.000504337044184,off_anchor,4.240870475769997e-05,7.088854908940054e-05,-0.05704361025094529,-0.042593965948459496,-0.0606991086687381,-0.0425935499260483,-0.1292096129966598,-0.1482399807864622,-0.014734545647231999
M1.500000_a0.09000000,0.09,0.0011197941831486,0.0092751284828598,0.2639852404555231,0.1071548325010945,0.1064890085272305,0.0754532542703707,0.262185009209824,0.2637778220984773,0.0263637793644798,0.001213224463834,0.009366796701234,0.1821964689912648,0.0473823816917703,0.0231596400412729,0.0188802504798211,0.0802442283025615,0.0605047349125516,0.0007022463554721,off_anchor,9.343028068540008e-05,9.166821837420028e-05,-0.08178877146425828,-0.0597724508093242,-0.08332936848595761,-0.056573003790549595,-0.1819407809072625,-0.20327308718592568,-0.0256615330090077
M1.500000_a0.09500000,0.095,0.0016675793215232,0.0099879490219353,0.3028520093272773,0.1255267724210744,0.1314339155378819,0.0908598287370178,0.3253012654250947,0.326492078141941,0.0398088456881761,0.0018090509458976,0.0100931437693833,0.1928236040232557,0.0479532943751307,0.0253489658277028,0.0210797239339782,0.0870091572502873,0.0677909079353144,0.000868448761689,off_anchor,0.00014147162437440006,0.00010519474744800049,-0.11002840530402158,-0.07757347804594371,-0.1060849497101791,-0.0697801048030396,-0.2382921081748074,-0.2587011702066266,-0.038940396926487104
M1.500000_a0.10000000,0.1,0.0021133214155361,0.0101773300922055,0.3338625846459876,0.1411948882316412,0.1548644870815084,0.1041566688664815,0.3862647972671207,0.3859946794192326,0.0550198036564578,0.0022939532915279,0.0102890552735466,0.1927786559824208,0.0455428340468538,0.0263831630023475,0.0223526669292155,0.0885657610231803,0.0724076927607133,0.0009878395821002,off_anchor,0.00018063187599180004,0.00011172518134110014,-0.1410839286635668,-0.0956520541847874,-0.1284813240791609,-0.081804001937266,-0.2976990362439404,-0.3135869866585193,-0.0540319640743576
M1.500000_a0.10500000,0.105,0.0024055517910311,0.0099048522531663,0.3575221677174185,0.1543635704116828,0.1761997305419097,0.1149109523359672,0.4448152974510491,0.4414864493684407,0.071400556942516,0.0026126183269808,0.0100166854679261,0.1836518473998828,0.0410272403085081,0.02640262148387,0.0227121019120743,0.0856980912803809,0.0744756878766155,0.0010575189936781,off_anchor,0.00020706653594969966,0.00011183321475980064,-0.17387032031753571,-0.1133363301031747,-0.14979710905803972,-0.09219885042389289,-0.35911720617066817,-0.3670107614918252,-0.0703430379488379
M1.500000_a0.11000000,0.11,0.0025190231306017,0.0092301349348319,0.3741338493291238,0.1651860505283032,0.195601833973043,0.1227066541655246,0.5003706017411805,0.4919856114442341,0.0882460426689399,0.0027376827699602,0.0093363504118217,0.1670833844512903,0.0353766211475427,0.0257768775361954,0.0221440054927393,0.0798110741946367,0.0738529855650416,0.0010649143296658,off_anchor,0.00021865963935850012,0.00010621547698979987,-0.2070504648778335,-0.1298094293807605,-0.1698249564368476,-0.1005626486727853,-0.4205595275465438,-0.4181326258791925,-0.0871811283392741
M1.500000_a0.11500000,0.115,0.0024490668116667,0.0082108535580096,0.3840642369590593,0.1736979361175216,0.2105871237086136,0.1270160420937365,0.5527623108253851,0.5365283086026614,0.1047759221402747,0.0026636435328581,0.0083063998035846,0.1447841692516888,0.0294432743308076,0.0245038884221008,0.020630702217979,0.0711491134018175,0.0702783702431968,0.0009948940827866,off_anchor,0.00021457672119139974,9.554624557500148e-05,-0.23928006770737048,-0.144254661786714,-0.1860832352865128,-0.10638533987575749,-0.48161319742356756,-0.4662499383594646,-0.10378102805748811
M1.500000_a0.12000000,0.12,0.0022059825389201,0.0069038261722059,0.3875590540292711,0.1800411687858412,0.2210403532411608,0.1274938693138459,0.6004172125127204,0.5735887950443729,0.1199421596195529,0.0024010685412699,0.0069843557725877,0.1184358994901468,0.0237482411651928,0.0229044526675451,0.0181334875589387,0.0607191784892856,0.0632714074436392,0.0008327650086791,off_anchor,0.00019508600234980017,8.052960038180002e-05,-0.2691231545391243,-0.1562929276206484,-0.19813590057361571,-0.1093603817549072,-0.5396980340234347,-0.5103173876007336,-0.1191093946108738
M1.500000_a0.12500000,0.125,0.0018109146183025,0.0053668290195278,0.3849386736831395,0.1841718539522893,0.2270126823355743,0.1239525721248803,0.642807895093606,0.6020172430117209,0.1327261425323901,0.0019717279499065,0.0054286762890628,0.0897328350703318,0.018313581753574,0.0224358263081566,0.0147102858737381,0.0487791287568223,0.0526125353382815,0.0005947197689691,off_anchor,0.00016081333160400022,6.184726953499965e-05,-0.2952058386128077,-0.1658582721987153,-0.2045768560274177,-0.1092422862511422,-0.5940287663367837,-0.5494047076734394,-0.132131422763421
M1.500000_a0.13000000,0.13,0.001292104468588,0.0036605921775656,0.3770064295240143,0.1860982845624798,0.225364000440978,0.1163565182201418,0.6791813134151262,0.6204192393206782,0.141981429499597,0.0014052042820493,0.0037008551151113,0.0604897511965604,0.012855385219679,0.0218936975551284,0.0104649894757884,0.0348146756795311,0.0382167496901977,0.0003250246119744,off_anchor,0.00011309981346130002,4.026293754570004e-05,-0.3165166783274539,-0.1732428993428008,-0.2034703028858496,-0.1058915287443534,-0.6443666377355951,-0.5822024896304805,-0.1416564048876226
M1.500000_a0.13500000,0.135,0.0006826552024467,0.0018505959933479,0.3647402401572916,0.1858600186325817,0.2173077419373233,0.1051954417592808,0.7088325334545892,0.6273841911061806,0.1465921114127117,0.0007362397780997,0.0018672107880791,0.0328455071331241,0.0071615531074045,0.0241641658148019,0.0057421540835311,0.01846807402287,0.020361496762761,9.842355199440878e-05,off_anchor,5.358457565299995e-05,1.6614794731199985e-05,-0.3318947330241675,-0.1786984655251772,-0.1931435761225214,-0.09945328767574971,-0.6903644594317192,-0.6070226943434196,-0.1464936878607173
M1.500000_a0.14000000,0.14,1.8452683125447237e-05,8.143123332235436e-06,0.3499561625270352,0.1835774503969794,0.2010119217537139,0.0914840202102087,0.7315015100897252,0.621497241676447,0.1456053668490952,2.8958708390702803e-06,1.4539900991539234e-08,0.013838758098088,0.0024795141217969,0.027834414245956,0.0027609836849339,0.0020379055424926,0.00311505144263,4.276021705384991e-06,S4M4_added_anchor,-1.5556812286376957e-05,-8.128583431243896e-06,-0.3361174044289472,-0.1810979362751825,-0.1731775075077579,-0.0887230365252748,-0.7294636045472326,-0.618382190233817,-0.1456010908273898
M1.500000_a0.14500000,0.145,0.000663211938241,0.0017896841503838,0.3351960727792678,0.1794954821848898,0.1750275977441557,0.0771663963589684,0.7473521496466062,0.6014737927479173,0.1384645996083759,0.0007548540795832,0.0018225225843648,0.0245673172799329,0.0065504879671128,0.0303239839516523,0.0067055993428151,0.0215923635197425,0.0238272514614663,0.0001212754367119,off_anchor,9.164214134219995e-05,3.28384339810001e-05,-0.3106287554993349,-0.172944994217777,-0.14470361379250338,-0.07046079701615329,-0.7257597861268638,-0.5776465412864511,-0.138343324171664
