alpha,Mach,cr_init,ci_init,cr_final,ci_final,stage1_mismatch,stage2_mismatch,accept,job_id,launch_seed,stem
0.2,1.6,0.32,0.004,0.359666666666372,0.0191933333331125,0.027454708131239,5.69309273004775e-20,False,971783,0.32:0.0040,supersonic_multicandidate_M1600_a0200_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.225,1.6,0.32,0.004,0.3596666666664221,0.0191933333311414,0.0363817550712007,1.365492749893665e-19,False,971787,0.32:0.0040,supersonic_multicandidate_M1600_a0225_sparse_supersonic_expand1_M12to16_core_cr032_ci00040
0.1,1.8,0.3,0.004,0.3396666666658323,0.0149266666489402,0.0145375374759121,6.481240169236731e-20,False,939330,0.30:0.0040,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr030_ci00040
0.1,1.8,0.24,0.0015,0.278955448901616,8.354674461320708e-06,0.0001298238612288,3.0893223287670323e-19,False,939329,0.24:0.0015,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr024_ci00015
0.1,1.8,0.42,0.016,0.4487941430897618,0.0270029513535518,3.051958259164543e-08,4.27649738141289e-19,False,939332,0.42:0.0160,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr042_ci00160
0.1,1.8,0.36,0.01,0.3996666666627129,0.0213266666638361,0.0079974336679206,1.3734138973529651e-18,False,939331,0.36:0.0100,supersonic_multicandidate_M1800_a0100_sparse_supersonic_expand1_M180_lowalpha_cr036_ci00100
0.15,1.8,0.24,0.0015,0.2787377643478904,5.650602906691311e-06,0.0091215928120206,2.2159102827658214e-27,False,939333,0.24:0.0015,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr024_ci00015
0.15,1.8,0.3,0.004,0.3396666666626566,0.007976665707264,0.0309650564176614,1.5262282918508225e-21,False,939334,0.30:0.0040,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr030_ci00040
0.15,1.8,0.36,0.01,0.3996666666660496,0.021326666649707,0.0193637392945891,2.241525818479215e-18,False,939335,0.36:0.0100,supersonic_multicandidate_M1800_a0150_sparse_supersonic_expand1_M180_lowalpha_cr036_ci00100
0.225,1.8,0.36,0.012,0.393999999999563,0.0267408165943966,0.0478663045834635,1.6415634840273392e-19,False,939337,0.36:0.0120,supersonic_multicandidate_M1800_a0225_sparse_supersonic_expand1_M180_core_cr036_ci00120
0.3,1.8,0.36,0.012,0.4109999999997963,0.0240177507426645,0.0759800501889769,1.5974322262265478e-20,False,939341,0.36:0.0120,supersonic_multicandidate_M1800_a0300_sparse_supersonic_expand1_M180_core_cr036_ci00120
0.2,1.9,0.4,0.026,0.4396666666666521,0.0276218344429957,0.0307933443095758,2.187487846020624e-21,False,1003644,0.40:0.0260,supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr040_ci00260
0.2,1.9,0.36,0.016,0.3996666666664679,0.0171912478222206,0.0442374812470467,3.954895702254136e-19,False,1003643,0.36:0.0160,supersonic_multicandidate_M1900_a0200_sparse_supersonic_expand1_M190_catch_cr036_ci00160
0.25,1.9,0.4,0.026,0.439666666666553,0.0250347556442908,0.049438127841532,5.726238444326145e-21,False,1003648,0.40:0.0260,supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr040_ci00260
0.25,1.9,0.36,0.016,0.4194999999999008,0.019047499982074,0.0593200633699465,3.2072172730861475e-19,False,1003647,0.36:0.0160,supersonic_multicandidate_M1900_a0250_sparse_supersonic_expand1_M190_catch_cr036_ci00160
0.3,1.9,0.4,0.026,0.4594999999999317,0.0213988192448995,0.0582403876597161,1.257007825116096e-21,False,1003652,0.40:0.0260,supersonic_multicandidate_M1900_a0300_sparse_supersonic_expand1_M190_catch_cr040_ci00260
0.3,1.9,0.36,0.016,0.3919769648952195,3.181789568882804e-06,0.0028941079329636,1.0826054041649311e-20,False,1003651,0.36:0.0160,supersonic_multicandidate_M1900_a0300_sparse_supersonic_expand1_M190_catch_cr036_ci00160
