alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,n_seeds,n_candidates,n_success_candidates,n_spectral_success_candidates,n_mode_success_candidates,best_seed_name,best_shooting_cr,best_shooting_ci,best_shooting_omega_i,best_err_cr_abs,best_err_ci_abs,best_err_ci_rel,best_stage1_mismatch,best_stage2_mismatch,best_ln_p_start_right,best_spectral_success,best_mode_success,best_success,best_status,best_selection_metric,best_selection_metric_name,best_retry_index,best_used_cr_half_window,best_used_ci_half_window,best_y_limit,centroid_abs_y,spread_abs_y,peak_y,centroid_abs_y_center8,spread_abs_y_center8,peak_y_center8,center8_mass_fraction,left_mass_fraction,right_mass_fraction,p_left_boundary_amp_fraction,p_right_boundary_amp_fraction,p_edge_amp_fraction_max,rho_left_boundary_amp_fraction,rho_right_boundary_amp_fraction,rho_edge_amp_fraction_max,u_left_boundary_amp_fraction,u_right_boundary_amp_fraction,u_edge_amp_fraction_max,v_left_boundary_amp_fraction,v_right_boundary_amp_fraction,v_edge_amp_fraction_max,left_relative_mach,left_relative_regime,right_relative_mach,right_relative_regime,edge_amp_fraction_max,left_boundary_amp_fraction,right_boundary_amp_fraction,max_field_edge_amp_fraction,box_truncation_suspect_p,box_truncation_suspect_any_field,exception
0.1,1.1,,,False,False,False,6,72,72,72,72,generic_05,0.1401953124999999,0.14494140624999996,0.014494140624999997,,,,0.006920828621102342,9.951514955727097e-19,-10.228158321744644,True,True,True,validated,-0.21459536481894484,max_ci_fallback,0,0.1,0.03,234.89919682112503,32.288521377996254,46.5610498138427,0.16250006909130638,3.810095802018961,4.449658560292031,0.16250006909130638,0.2319083286159685,0.6445008627130686,0.3554668573743334,0.0025094597908269177,1.3459221229927995e-05,0.0025094597908269177,0.0025094597908269177,1.3459221229927997e-05,0.0025094597908269177,0.00029582606459207416,2.0914706609589807e-06,0.00029582606459207416,0.002671150982971581,1.3149404040406188e-05,0.002671150982971581,1.2643079402938855,supersonic_relative,0.9591294257764004,subsonic_relative,0.0025094597908269177,0.0025094597908269177,1.3459221229927995e-05,0.002671150982971581,False,False,
0.1,1.25,0.19343452686431648,,True,False,False,6,72,72,72,72,generic_05,0.3100292968749999,0.10999023437500002,0.010999023437500003,0.11659477001068344,,,0.012176856774521693,3.5912928367192516e-19,-18.526082029592715,True,True,True,validated,-0.17938139153627394,max_ci_fallback,0,0.015,0.015,346.7125284445726,47.318419517970405,69.95574017797266,0.353344521831107,3.814427244537242,4.4531257880247415,0.353344521831107,0.18633508049964392,0.7545669021539098,0.24543288737310734,0.002487142379596389,3.3219864791525754e-09,0.002487142379596389,0.002487142379596389,3.3219864791525754e-09,0.002487142379596389,0.00015532186525899408,3.903518449196017e-10,0.00015532186525899408,0.0026141099396421656,3.0166684166471037e-09,0.0026141099396421656,1.6432982318004705,supersonic_relative,0.8733532922991725,subsonic_relative,0.002487142379596389,0.002487142379596389,3.3219864791525754e-09,0.0026141099396421656,False,False,
0.1,1.5,0.3293676490936765,0.046032325456396496,True,True,True,7,84,84,84,84,generic_02,0.2998046875000002,0.039984375000000016,0.003998437500000002,0.029562961593676274,0.0060479504563964795,0.13138485610780884,0.005254698389937573,4.0861669904703367e-19,-10.230457906047633,True,True,True,validated,0.026311678796621784,distance_to_blumen,0,0.1,0.008,500.0,106.78374737928611,148.73767297247636,-0.0018009292092779534,3.9359923895351825,4.561728835655559,-0.0018009292092779534,0.07779537080769716,0.7057564367765061,0.29423446421672605,0.030580859685513297,0.00016364045699007797,0.030580859685513297,0.0305808596855133,0.00016364045699007794,0.0305808596855133,0.002289138718740241,2.2712787650795283e-05,0.002289138718740241,0.03118548157853399,7.399368760954086e-05,0.03118548157853399,1.950629307622288,supersonic_relative,1.0520040438396634,supersonic_relative,0.030580859685513297,0.030580859685513297,0.00016364045699007797,0.03118548157853399,False,False,
0.15,1.2,0.20515080951844178,0.08715810378047102,True,True,True,7,84,84,84,84,generic_04,0.20925781250000003,0.08598437500000004,0.012897656250000005,0.00410700298155825,0.0011737287804709784,0.013466662645934806,0.0006548619925505947,1.17662490265966e-18,-16.266299145450464,True,True,True,validated,0.004910040071555829,distance_to_blumen,0,0.06,0.008,282.11784783930807,38.305681190075966,56.46990569821584,0.2225518289868601,3.7921154972082536,4.433946038167131,0.2225518289868601,0.21796875346781006,0.7325425379652335,0.26744114926029716,0.002500095320216176,3.199374041863547e-08,0.002500095320216176,0.002500095320216176,3.199374041863547e-08,0.002500095320216176,0.00040057467049826553,7.813012606836788e-09,0.00040057467049826553,0.0026423555346326193,2.292961510954303e-08,0.0026423555346326193,1.4547731055269246,supersonic_relative,0.9544840431167265,subsonic_relative,0.002500095320216176,0.002500095320216176,3.199374041863547e-08,0.0026423555346326193,False,False,
0.18,1.33,0.27710443039797084,0.05084981188383834,True,True,True,7,84,84,84,84,generic_04,0.28997070312499995,0.05258789062500001,0.009465820312500001,0.012866272727029116,0.0017380787411616708,0.03418063266649147,0.002990267821221698,1.3042589531394374e-18,-25.360796711387188,True,True,True,validated,0.00828332376940085,distance_to_blumen,0,0.015,0.015,387.508573656473,54.11658576762184,80.02070712098161,0.30528354583613077,3.7969179219679727,4.438413634500661,0.30528354583613077,0.1753048877823078,0.8053325579739632,0.19465965675333305,0.002498750953318033,3.5903874228630735e-12,0.002498750953318033,0.002498750953318033,3.590387422863073e-12,0.002498750953318033,0.00037820308307735,9.854161006932131e-13,0.00037820308307735,0.0026020377489930796,2.0229072870002435e-12,0.0026020377489930796,1.7170860945695283,supersonic_relative,0.9469255245967267,subsonic_relative,0.002498750953318033,0.002498750953318033,3.5903874228630735e-12,0.0026020377489930796,False,False,
0.2,1.2,0.23697519236816028,0.06222266952409093,True,True,True,7,84,84,84,84,blumen,0.23977467153482698,0.06349220077409093,0.012698440154818186,0.002799479166666702,0.0012695312499999972,0.020403034130647018,2.0376389252358352e-05,1.3579736947419392e-18,-24.909699385516458,True,True,True,validated,0.005171788496950402,distance_to_blumen,0,0.1,0.03,292.10162266205157,40.62473619929149,60.13703420435743,0.25257743833680957,3.740369326282064,4.389217907038177,0.25257743833680957,0.22285033177218458,0.7997507312536832,0.20022804009096906,0.002493972140376111,5.626249900647533e-12,0.002493972140376111,0.002493972140376111,5.6262499006475315e-12,0.002493972140376111,0.0004980298482149884,1.8282795723237784e-12,0.0004980298482149884,0.002636929687958765,4.118295261281856e-12,0.002636929687958765,1.4896792922851994,supersonic_relative,0.9154464953358712,subsonic_relative,0.002493972140376111,0.002493972140376111,5.626249900647533e-12,0.002636929687958765,False,False,
0.2,1.3,0.2727688216788323,0.04671105940369977,True,True,True,7,84,48,82,50,generic_00,0.275445556640625,0.048670247395833324,0.009734049479166666,0.0026767349617926595,0.001959187992133557,0.041942700875210265,0.006551705526664102,1.5623906259540737e-18,-27.43705835216267,True,True,True,validated,0.007892552369046802,distance_to_blumen,2,0.18375,0.0245,378.45567616846853,53.181437357656606,78.57548425957408,-0.0005040723057564848,3.7787670554736876,4.42185925276618,-0.0005040723057564848,0.17993659661403483,0.8162394711137405,0.18375404986982216,0.0024990451508569407,4.502808427172249e-13,0.0024990451508569407,0.0024990451508569407,4.502808427172249e-13,0.0024990451508569407,0.00043042882225843496,1.3631384863659754e-13,0.00043042882225843496,0.002604788231114571,2.5416770237019487e-13,0.002604788231114571,1.6592859825785449,supersonic_relative,0.9440434360192446,subsonic_relative,0.0024990451508569407,0.0024990451508569407,4.502808427172249e-13,0.002604788231114571,False,False,
0.25,1.25,0.2550098377696084,0.030410620249942233,True,True,True,7,84,25,69,40,generic_01,0.23234863281250004,0.03887558593750001,0.009718896484375003,0.022661204957108355,0.00846496568755778,0.27835557505848174,0.02852059317528535,6.926989067349518e-19,-29.062864999580206,True,True,True,validated,0.03477639653849616,distance_to_blumen,1,0.105,0.0525,375.904827241551,53.13697180139397,78.41187538529856,-0.0004679002240672931,3.76674451470274,4.4115265068259255,-0.0004679002240672931,0.18119499720064614,0.8253145787226968,0.17467930118522743,0.0024911917793706386,8.831565088092897e-14,0.0024911917793706386,0.002491191779370639,8.831565088092898e-14,0.002491191779370639,0.0005585397296030792,3.176244580718003e-14,0.0005585397296030792,0.002606252015982059,4.443261962125127e-14,0.002606252015982059,1.5412020795352515,supersonic_relative,0.9607938878269674,subsonic_relative,0.0024911917793706386,0.0024911917793706386,8.831565088092897e-14,0.002606252015982059,False,False,
0.25,1.5,,0.010401571046357458,False,True,False,6,72,19,33,58,generic_01,0.3372802734374999,0.0193055810546875,0.004826395263671875,,0.008904010008330042,0.8560254954416863,0.03688669874520969,3.706815262784466e-18,-24.45828189229124,True,True,True,validated,-0.05925165505440948,distance_to_blumen_ci_only,1,0.17500000000000002,0.02625,500.0,97.98878396306863,139.68642762912745,-1.3353293618131816,3.8660693527537604,4.499764301666174,-1.3353293618131816,0.10368379037727671,0.8460767659440027,0.1539106274315023,0.015615499588646555,5.5326274873694367e-11,0.015615499588646555,0.015615499588646557,5.532627487369438e-11,0.015615499588646557,0.0025077567603221523,1.7923158849516233e-11,0.0025077567603221523,0.01581170070848956,1.577481400047172e-11,0.01581170070848956,2.006129427321702,supersonic_relative,0.9945012912151505,subsonic_relative,0.015615499588646555,0.015615499588646555,5.5326274873694367e-11,0.01581170070848956,False,False,
0.3,1.4,,,False,False,False,6,72,6,25,51,generic_05,0.39400390625000004,0.06901562499999998,0.020704687499999996,,,,0.036044324917910646,1.768664635727622e-18,-28.596461574500502,True,True,True,validated,-0.13721340875410445,max_ci_fallback,0,0.03,0.008,177.85897671226058,24.829891525008843,36.792492542894166,0.4272427845290102,3.5654979943344336,4.231480086526909,0.4272427845290102,0.3306512210973887,0.8100075509362915,0.18995011761811542,0.0025275190864684077,1.428503765753634e-13,0.0025275190864684077,0.0025275190864684086,1.4285037657536341e-13,0.0025275190864684086,0.00031330275813333004,4.052084993427822e-14,0.00031330275813333004,0.0027130530504201637,1.2043329495406256e-13,0.0027130530504201637,1.953995827115151,supersonic_relative,0.8538788364770629,subsonic_relative,0.0025275190864684077,0.0025275190864684077,1.428503765753634e-13,0.0027130530504201637,False,False,
