alpha,Mach,blumen_cr,blumen_ci,blumen_cr_available,blumen_ci_available,blumen_target_available,seed_name,seed_cr_center,seed_ci_center,requested_cr_half_window,requested_ci_half_window,used_cr_half_window,used_ci_half_window,retry_index,shooting_cr,shooting_ci,shooting_omega_i,err_cr_abs,err_ci_abs,err_ci_rel,stage1_mismatch,stage2_mismatch,ln_p_start_right,spectral_success,mode_success,success,status,selection_metric,selection_metric_name,y_limit
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.06,0.008,0.06,0.008,0,0.45214843750000006,0.06901562499999998,0.006901562499999999,0.007424656914721328,,,0.0060550518518881795,3.8262479595140315e-20,-23.373874954187066,True,True,True,validated,-0.13871287240740557,max_ci_fallback,743.9002996357892
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.1,0.008,0.1,0.008,0,0.45217447916666675,0.06901562499999998,0.006901562499999999,0.007450698581388027,,,0.006055053703332208,3.836748735041297e-20,-23.378673137175785,True,True,True,validated,-0.13871287231483337,max_ci_fallback,743.9025728156622
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.15,0.008,0.15,0.008,0,0.45220703125000006,0.06901562499999998,0.006901562499999999,0.00748325066472133,,,0.006055058828311642,3.8319485820662544e-20,-23.384671825163696,True,True,True,validated,-0.1387128720585844,max_ci_fallback,743.9054141095943
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.03,0.008,0.03,0.008,0,0.3999414062499999,0.06901562499999998,0.006901562499999999,0.04478237433527882,,,0.009402591759831857,6.809204418043852e-19,-15.674648392308777,True,True,True,validated,-0.1385454954120084,max_ci_fallback,739.0705774477614
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.015,0.008,0.015,0.008,0,0.36997070312500013,0.06901562499999998,0.006901562499999999,0.0747530774602786,,,0.012583967737045832,2.26258730723877e-19,-13.017337297088474,True,True,True,validated,-0.13838642661314768,max_ci_fallback,736.0303743450281
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.06,0.015,0.06,0.015,0,0.45019531250000006,0.05502929687500001,0.0055029296875000015,0.005471531914721328,,,0.0042508331603281725,5.202331985495589e-21,-26.514579406599694,True,True,True,validated,-0.12481675521698363,max_ci_fallback,932.6796948698122
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.1,0.015,0.1,0.015,0,0.45022135416666675,0.05502929687500001,0.0055029296875000015,0.005497573581388027,,,0.004250833546259509,5.203485162088364e-21,-26.521409694118425,True,True,True,validated,-0.12481675519768705,max_ci_fallback,932.6825641753162
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.15,0.015,0.15,0.015,0,0.45025390625000006,0.05502929687500001,0.0055029296875000015,0.00553012566472133,,,0.004250838759993188,5.0343312225395686e-21,-26.529949316449333,True,True,True,validated,-0.12481675493700037,max_ci_fallback,932.686150578093
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.03,0.015,0.03,0.015,0,0.3999414062499999,0.05502929687500001,0.0055029296875000015,0.04478237433527882,,,0.008439813987400051,3.68135034066943e-19,-16.568486475348116,True,True,True,validated,-0.12460730617563003,max_ci_fallback,926.8233856649981
0.1,1.8,0.4447237805852787,,True,False,False,generic_05,0.34,0.085,0.015,0.015,0.015,0.015,0,0.36997070312500013,0.05502929687500001,0.0055029296875000015,0.0747530774602786,,,0.011896682838554424,4.416033493047794e-19,-13.428773393282269,True,True,True,validated,-0.1244344627330723,max_ci_fallback,923.0010999540555
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.15,0.008,0.15,0.008,0,0.4501367187500001,0.054015625000000005,0.005401562500000001,0.0054129381647213815,,,0.00411486618524775,2.322608548814565e-21,-26.810073724752222,True,True,True,validated,-0.12380988169073763,max_ci_fallback,950.1710237344992
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.1,0.008,0.1,0.008,0,0.45003906249999986,0.054015625000000005,0.005401562500000001,0.005315281914721137,,,0.004114872602377541,2.435759103055754e-21,-26.78370775752781,True,True,True,validated,-0.12380988136988114,max_ci_fallback,950.1600575151166
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.06,0.008,0.06,0.008,0,0.3798828124999999,0.054015625000000005,0.005401562500000001,0.06484096808527884,,,0.010730365400835065,8.023842264121299e-19,-14.345095553418213,True,True,True,validated,-0.12347910672995827,max_ci_fallback,941.6337789499347
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.03,0.008,0.03,0.008,0,0.31994140624999995,0.054015625000000005,0.005401562500000001,0.12478237433527878,,,0.01711757287420447,4.849399372266478e-19,-10.450891637088723,True,True,True,validated,-0.12315974635628979,max_ci_fallback,933.1744280449514
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.015,0.008,0.015,0.008,0,0.28997070312499995,0.054015625000000005,0.005401562500000001,0.15475307746027878,,,0.019964492632909992,7.862676875201657e-19,-9.33265475095928,True,True,True,validated,-0.12301740036835451,max_ci_fallback,928.4645105716783
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.06,0.015,0.06,0.015,0,0.3798828124999999,0.04002929687500002,0.004002929687500003,0.06484096808527884,,,0.010325479984731866,1.0531274840248925e-18,-14.292518364949347,True,True,True,validated,-0.10951302287576344,max_ci_fallback,1200.0
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.03,0.015,0.03,0.015,0,0.31994140624999995,0.04002929687500002,0.004002929687500003,0.12478237433527878,,,0.016677524640890798,7.475852880899351e-19,-10.310841729958186,True,True,True,validated,-0.1091954206429555,max_ci_fallback,1200.0
0.1,1.8,0.4447237805852787,,True,False,False,generic_04,0.26,0.07,0.015,0.015,0.015,0.015,0,0.28997070312499995,0.04002929687500002,0.004002929687500003,0.15475307746027878,,,0.01942841771894857,9.611680183085412e-19,-9.219862734805993,True,True,True,validated,-0.1090578759890526,max_ci_fallback,1200.0
0.1,1.8,0.4447237805852787,,True,False,False,generic_03,0.18,0.055,0.15,0.008,0.15,0.008,0,0.4490429687499998,0.039015624999999984,0.0039015624999999988,0.0043191881647210995,,,0.00197711760968622,0.0015923579178598486,-29.99999281439142,True,True,True,validated,-0.10891517676159782,max_ci_fallback,1200.0
0.1,1.8,0.4447237805852787,,True,False,False,generic_03,0.18,0.055,0.1,0.008,0.1,0.008,0,0.3798046874999999,0.039015624999999984,0.0039015624999999988,0.06491909308527882,,,0.010319394824334435,1.0450819001406867e-18,-14.07995450531695,True,True,True,validated,-0.10849965525878327,max_ci_fallback,1200.0
