benchmark_id,atlas_chart,Mach,alpha,pinn_spectral_error,gep_spectral_error,shoot_spectral_error,powell_spectral_error,shoot_total_mismatch,powell_corrected_mismatch
0,C00,1.05,0.105,0.0122545519343309,0.0602754856865195,2.047468438501184e-06,0.0001013686983006,3.1684461283373085e-07,1.5671817497085477e-05
1,C00,1.1,0.09,0.0945720238145044,0.1914434474919662,0.0757843638877762,0.0757849747921571,2.505954071817241e-08,1.0631550138166325e-07
2,C00,1.1,0.105,0.0366338614673591,0.1367280984319741,9.530521836892943e-06,0.0097298399671942,6.237609090333717e-07,0.0006173379671507
3,C00,1.1,0.115,0.0248099720291339,0.1302838262886929,4.48171553907545e-06,0.0001085097821429,4.218182482203896e-07,1.0210604477553792e-05
4,C00,1.2,0.075,0.0189825114928857,0.1263285974645575,7.894108374385095e-06,2.4898870975356763e-05,5.108250290465926e-07,1.611232674543343e-06
5,C01,1.0,0.145,0.0208973023428621,0.0291839125914277,6.149553169353373e-06,5.968946455058904e-05,2.086729631400405e-06,2.027476945664737e-05
6,C01,1.0,0.155,0.0275104520423946,0.0356520508148503,2.923618051801452e-06,4.1270454847528365e-05,8.666382763301571e-07,1.2239510576347498e-05
7,C01,1.0,0.18,0.0110029043654879,0.0642014892541156,1.3958428605832358e-06,5.8642301662655464e-08,1.9718836603873162e-07,8.213949750576827e-09
8,C01,1.05,0.14,0.0217284041019408,0.1272909973928618,2.714939118614246e-06,7.304207110966953e-09,2.084636763612473e-07,5.401054274922609e-10
9,C01,1.15,0.175,0.0209729269128008,0.0835051762900282,7.93195040881648e-06,8.848837018902727e-05,2.01014494329259e-06,2.2423994628931648e-05
10,C01,1.15,0.2,0.0113710536463193,0.0694269770769317,1.8880126533969485e-06,2.543722156019936e-05,5.790627805294183e-07,7.802982778963406e-06
11,C01,1.2,0.19,0.011268873669305,0.0660957872931224,5.299860122910272e-06,7.755483460030806e-09,1.5686994686042344e-06,2.2831008263279326e-09
