method,benchmark_id,chart,Mach,alpha,error,pinn_error
PINN,1,C00,1.1,0.09,0.0945720238145044,0.0945720238145044
PINN,2,C00,1.1,0.105,0.0366338614673591,0.0366338614673591
PINN,6,C01,1.0,0.155,0.0275104520423946,0.0275104520423946
PINN,3,C00,1.1,0.115,0.0248099720291339,0.0248099720291339
PINN,8,C01,1.05,0.14,0.0217284041019408,0.0217284041019408
PINN,9,C01,1.15,0.175,0.0209729269128008,0.0209729269128008
PINN,5,C01,1.0,0.145,0.0208973023428621,0.0208973023428621
PINN,4,C00,1.2,0.075,0.0189825114928857,0.0189825114928857
PINN,15,C02,1.05,0.225,0.0165123515469647,0.0165123515469647
PINN,14,C02,1.05,0.22,0.0155844913831763,0.0155844913831763
GEP,1,C00,1.1,0.09,0.1914434474919662,0.0945720238145044
GEP,2,C00,1.1,0.105,0.1367280984319741,0.0366338614673591
GEP,3,C00,1.1,0.115,0.1302838262886929,0.0248099720291339
GEP,8,C01,1.05,0.14,0.1272909973928618,0.0217284041019408
GEP,4,C00,1.2,0.075,0.1263285974645575,0.0189825114928857
GEP,22,C10,1.3,0.085,0.0964152694417168,0.0148235434104713
GEP,23,C10,1.35,0.055,0.0917097300708282,0.0074636940937835
GEP,9,C01,1.15,0.175,0.0835051762900282,0.0209729269128008
GEP,24,C10,1.35,0.09,0.0819343018949142,0.0084024104185215
GEP,14,C02,1.05,0.22,0.0769922509372549,0.0155844913831763
Shooting,1,C00,1.1,0.09,0.0757843638877762,0.0945720238145044
Shooting,42,C21,1.55,0.12,9.646407466215203e-06,0.0076667169819253
Shooting,2,C00,1.1,0.105,9.530521836892943e-06,0.0366338614673591
Shooting,24,C10,1.35,0.09,8.945431484839701e-06,0.0084024104185215
Shooting,60,C31,1.85,0.2,8.899610947520146e-06,0.0040760835316577
Shooting,53,C30,1.9,0.075,8.055748287326897e-06,0.0141607493858211
Shooting,9,C01,1.15,0.175,7.93195040881648e-06,0.0209729269128008
Shooting,4,C00,1.2,0.075,7.894108374385095e-06,0.0189825114928857
Shooting,27,C11,1.25,0.17,6.406107998018787e-06,0.0018865623227888
Shooting,50,C30,1.75,0.055,6.308864442723562e-06,0.0010874852636381
Powell,1,C00,1.1,0.09,0.0757849747921571,0.0945720238145044
Powell,2,C00,1.1,0.105,0.0097298399671942,0.0366338614673591
Powell,3,C00,1.1,0.115,0.0001085097821429,0.0248099720291339
Powell,0,C00,1.05,0.105,0.0001013686983006,0.0122545519343309
Powell,9,C01,1.15,0.175,8.848837018902727e-05,0.0209729269128008
Powell,5,C01,1.0,0.145,5.968946455058904e-05,0.0208973023428621
Powell,6,C01,1.0,0.155,4.1270454847528365e-05,0.0275104520423946
Powell,10,C01,1.15,0.2,2.543722156019936e-05,0.0113710536463193
Powell,4,C00,1.2,0.075,2.4898870975356763e-05,0.0189825114928857
Powell,33,C12,1.25,0.315,1.0637914301291885e-05,0.0019590843700855
