mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
0,0.2,1.4,True,0.7575100623299039,0.004894770421013535,0.000978954084202707,0.010558162977982465,nearest_to_target,561
1,0.21,1.4,True,0.7575229819284087,0.0047761568805471544,0.0010029929449149025,0.010346799089070165,composite_branch_score,561
2,0.22,1.4,True,0.7575379546468946,0.004732769032702277,0.001041209187194501,0.010218238180437463,composite_branch_score,561
3,0.23,1.4,True,0.7575545442289939,0.004757773625185767,0.0010942879337927263,0.010287891924642373,composite_branch_score,561
4,0.24,1.4,True,0.7575725023504057,0.004849202608074619,0.0011638086259379084,0.010450205985992934,composite_branch_score,561
5,0.25,1.4,True,0.7575916754420324,0.005009149804958321,0.0012522874512395804,0.010753223134038732,composite_branch_score,561
6,0.26,1.4,True,0.7576119563540584,0.005244090570362185,0.0013634635482941682,0.011185136070187167,composite_branch_score,561
7,0.27,1.4,True,0.7576332465590907,0.005566575836427203,0.001502975475835345,0.011741169288226235,composite_branch_score,561
8,0.28,1.4,True,0.7576553897903832,0.0059996403467317124,0.0016798992970848796,0.012599437407189693,composite_branch_score,561
9,0.29,1.4,True,0.7576779278431633,0.006588623075044142,0.001910700691762801,0.013706169800598347,composite_branch_score,561
10,0.3,1.4,True,0.7576985721724614,0.007441027241906474,0.002232308172571942,0.015314034504814543,composite_branch_score,561
