alpha,Mach,N,gep_cr,gep_ci,gep_omega_i,distance_to_target,distance_to_shooting,overlap_to_previous,selection_source,n_finite_modes,success,accepted,target_cr,target_ci,target_source,shooting_cr,shooting_ci,shooting_omega_i,shooting_spectral_success
0.2,1.4,561,0.7575100623299039,0.004894770421013535,0.000978954084202707,0.010558162977982465,0.010558162977982465,,nearest_to_target,126,True,True,0.7615039062499999,7.951000072337961e-06,shooting_anchor,0.7615039062499999,7.951000072337961e-06,1.5902000144675923e-06,True
0.21,1.4,561,0.7575229819284087,0.0047761568805471544,0.0010029929449149025,0.00400464079787699,0.010346799089070165,0.9985672243979625,composite_branch_score,130,True,True,0.7591075998979423,0.002937262252608121,blended_continuation,0.7615039062499999,1e-06,2.0999999999999997e-07,True
0.22,1.4,561,0.7575379546468946,0.004732769032702277,0.001041209187194501,0.004035842286297094,0.010218238180437463,0.9986194910281634,composite_branch_score,130,True,True,0.7591153516570452,0.0028753621284247433,blended_continuation,0.7615039062499999,2.4170000241126547e-05,5.317400053047841e-06,True
0.23,1.4,561,0.7575545442289939,0.004757773625185767,0.0010942879337927263,0.004139094013038349,0.010287891924642373,0.9985224194192897,composite_branch_score,151,True,True,0.7591243352881367,0.0028428418196503012,blended_continuation,0.7615039062499999,7.951000072337964e-06,1.828730016637732e-06,True
0.24,1.4,561,0.7575725023504057,0.004849202608074619,0.0011638086259379084,0.004277990757001197,0.010450205985992934,0.9982736856569461,composite_branch_score,158,True,True,0.7591342890373963,0.002857844575140395,blended_continuation,0.7615039062499999,7.951000072337964e-06,1.9082400173611113e-06,True
0.25,1.4,561,0.7575916754420324,0.005009149804958321,0.0012522874512395804,0.0044766117264658685,0.010753223134038732,0.9978429312466468,composite_branch_score,157,True,True,0.7591450639102434,0.002909921564844771,blended_continuation,0.7615039062499999,1e-06,2.5e-07,True
0.26,1.4,561,0.7576119563540584,0.005244090570362185,0.0013634635482941682,0.004735397943105823,0.011185136070187167,0.9971709047199241,composite_branch_score,155,True,True,0.7591565677652194,0.0030058898829749925,blended_continuation,0.7615039062499999,1e-06,2.6e-07,True
0.27,1.4,561,0.7576332465590907,0.005566575836427203,0.001502975475835345,0.0050595328807865655,0.011741169288226235,0.9961680398503668,composite_branch_score,159,True,True,0.7591687363124351,0.003156122342313762,blended_continuation,0.7615039062499999,2.4170000241126547e-05,6.525900065104168e-06,True
0.28,1.4,561,0.7576553897903832,0.0059996403467317124,0.0016798992970848796,0.005533212494675777,0.012599437407189693,0.9947223515861359,composite_branch_score,162,True,True,0.7591815104354545,0.003340345501856322,blended_continuation,0.7615039062499999,1e-06,2.8e-07,True
0.29,1.4,561,0.7576779278431633,0.006588623075044142,0.001910700691762801,0.006160967137247687,0.013706169800598347,0.9927378550010361,composite_branch_score,158,True,True,0.7591947963742298,0.0036029646080679625,blended_continuation,0.7615039062499999,7.951000072337961e-06,2.3057900209780086e-06,True
0.3,1.4,561,0.7576985721724614,0.007441027241906474,0.002232308172571942,0.007118316565211454,0.015314034504814543,0.990235317278676,composite_branch_score,163,True,True,0.759208319205898,0.003962841845122936,blended_continuation,0.7615039062499999,2.4170000241126547e-05,7.2510000723379636e-06,True
