mode_index,alpha,Mach,accepted,gep_cr,gep_ci,gep_omega_i,distance_to_shooting,selection_source,N
0,0.01,1.625,True,0.004978190895058119,4.3788174315616233e-16,4.3788174315616234e-18,0.0021349682748385435,nearest_to_target,561
1,0.02,1.625,False,0.29894986717396216,0.004149100280939754,8.298200561879509e-05,0.46218836512460065,target_then_overlap,561
2,0.03,1.625,False,0.4681003211682669,0.005563337261904411,0.00016690011785713233,0.2940481972504547,target_then_overlap,561
3,0.04,1.625,False,0.5772136903288515,0.006772967461203489,0.0002709186984481396,0.18520879971881934,target_then_overlap,561
4,0.05,1.625,False,0.6450772815076791,0.006801753807053649,0.0003400876903526825,0.11764527494194468,target_then_overlap,561
5,0.06,1.625,False,0.6834960501144447,0.006797215994349181,0.0004078329596609508,0.07917526272150087,target_then_overlap,561
6,0.07,1.625,False,0.7027356453837548,0.007418247149116409,0.0005192773004381487,0.060608237404738835,target_then_overlap,561
7,0.08,1.625,False,0.7132530526751928,0.008599446681675166,0.0006879557345340133,0.05120826448289434,target_then_overlap,561
8,0.09,1.625,False,0.7244940678454378,0.008258699521986634,0.000743282956978797,0.040521939038245455,target_then_overlap,561
9,0.1,1.625,False,0.7249427432766284,0.007806020644793637,0.0007806020644793637,0.039735971559556896,target_then_overlap,561
10,0.11,1.625,False,0.725066533303215,0.008070976880215222,0.0008878074568236745,0.03983323425379216,target_then_overlap,561
11,0.12,1.625,False,0.724907204371622,0.00963428130035083,0.0011561137560420996,0.04133685456317217,target_then_overlap,561
12,0.13,1.625,False,0.7301147835138218,0.008520215970173908,0.001107628076122608,0.035715335489572515,target_then_overlap,561
13,0.14,1.625,False,0.7300113096165857,0.00708868545404702,0.000992415963566583,0.03453014399543893,target_then_overlap,561
14,0.15,1.625,False,0.7300038954262054,0.00637666822679623,0.0009565002340194344,0.03396568292810721,target_then_overlap,561
15,0.16,1.625,False,0.7300128867005311,0.005950495616913623,0.0009520792987061797,0.03366408033271845,target_then_overlap,561
16,0.17,1.625,False,0.7300278669798528,0.005695386346103275,0.0009682156788375567,0.033468324299208194,target_then_overlap,561
17,0.18,1.625,False,0.7300461652194763,0.0055647601274277595,0.0010016568229369966,0.03336318302343061,target_then_overlap,561
18,0.19,1.625,False,0.7300669474729572,0.005537255237255935,0.0010520784950786277,0.033325293675207514,target_then_overlap,561
19,0.2,1.625,False,0.7300900288811449,0.0056042939386271445,0.001120858787725429,0.03334828194208968,target_then_overlap,561
20,0.21,1.625,False,0.7301155858831192,0.005765927398793233,0.001210844753746579,0.03343417150591357,target_then_overlap,561
21,0.22,1.625,False,0.7301441714921552,0.006030285990214467,0.0013266629178471827,0.03359325883293156,target_then_overlap,561
22,0.23,1.625,False,0.7301770095056527,0.006416216597437488,0.0014757298174106223,0.033852540164648504,target_then_overlap,561
23,0.24,1.625,False,0.7302169866558287,0.006962008045728732,0.0016708819309748956,0.034225804952897655,target_then_overlap,561
24,0.25,1.625,False,0.7302725623694649,0.007753500571572242,0.0019383751428930604,0.03486217137876637,target_then_overlap,561
25,0.26,1.625,False,0.730383112263614,0.009054986163528967,0.0023542964025175315,0.035998599963586855,target_then_overlap,561
26,0.27,1.625,False,0.7337399937472813,0.012929868653453705,0.0034910645364325007,0.037930708678084166,target_then_overlap,561
27,0.28,1.625,False,0.7346420417406703,0.009789384594993879,0.0027410276865982865,0.03323130951578912,target_then_overlap,561
28,0.29,1.625,False,0.7346315956269254,0.00969399949590283,0.0028112598538118203,0.03313514803246384,target_then_overlap,561
29,0.3,1.625,False,0.7341266994231633,0.01083422512708574,0.003250267538125722,0.034913414617534506,target_then_overlap,561
30,0.01,1.65,True,0.009344592591758603,2.595357241732832e-15,2.5953572417328322e-17,0.0032117702723427725,nearest_to_target,561
31,0.02,1.65,False,0.29895865875346833,0.004119138722923761,8.238277445847523e-05,0.46217853197914643,target_then_overlap,561
32,0.03,1.65,False,0.46813861970813997,0.00550933122201961,0.0001652799366605883,0.2940058791666356,target_then_overlap,561
33,0.04,1.65,False,0.5773711579119026,0.006738107479824801,0.00026952429919299204,0.18505608591536774,target_then_overlap,561
34,0.05,1.65,False,0.6452384903774063,0.006929403444862535,0.00034647017224312675,0.11751484906936413,target_then_overlap,561
35,0.06,1.65,False,0.6836248000419856,0.006980479875734926,0.00041882879254409556,0.07911204821071656,target_then_overlap,561
36,0.07,1.65,False,0.7029279620955085,0.007656948843447847,0.0005359864190413494,0.06053245811188666,target_then_overlap,561
37,0.08,1.65,False,0.7137125415079097,0.008685879291944369,0.0006948703433555495,0.05083419494127361,target_then_overlap,561
38,0.09,1.65,False,0.7246161506222356,0.008128900640914908,0.0007316010576823417,0.0402920978640373,target_then_overlap,561
39,0.1,1.65,False,0.7249709540898711,0.007838967490432489,0.0007838967490432489,0.03973588847358343,target_then_overlap,561
40,0.11,1.65,False,0.7250692669905543,0.00827841048286252,0.0009106251531148773,0.040000161021497345,target_then_overlap,561
41,0.12,1.65,False,0.7244285880899892,0.010757838797156435,0.0012909406556587723,0.04285813303523154,target_then_overlap,561
42,0.13,1.65,False,0.7300629476533325,0.008082987367537564,0.0010507883577798834,0.0353314594506809,target_then_overlap,561
43,0.14,1.65,False,0.7300074377572344,0.006908521020545275,0.0009671929428763385,0.03437447720909828,target_then_overlap,561
44,0.15,1.65,False,0.7300072106649024,0.006282198435869771,0.0009423297653804656,0.03390437370491811,target_then_overlap,561
45,0.16,1.65,False,0.7300189690022615,0.005905745704062899,0.0009449193126500638,0.03362197500111645,target_then_overlap,561
46,0.17,1.65,False,0.7300356210545451,0.005687957092530896,0.0009669527057302523,0.03346070676228502,target_then_overlap,561
47,0.18,1.65,False,0.7300552589071574,0.005590253820944295,0.0010062456877699731,0.03337163224701682,target_then_overlap,561
48,0.19,1.65,False,0.7300773351199259,0.005595301709077578,0.00106310732472474,0.03335887017634668,target_then_overlap,561
49,0.2,1.65,False,0.7301018431256793,0.005697426795117228,0.0011394853590234457,0.03340015131333123,target_then_overlap,561
50,0.21,1.65,False,0.730129154314824,0.005899668745774917,0.0012389304366127326,0.03351454029184842,target_then_overlap,561
51,0.22,1.65,False,0.7301601514642108,0.006214341893818321,0.0013671552166400307,0.03370020588008046,target_then_overlap,561
52,0.23,1.65,False,0.730196799864822,0.006667790895646706,0.0015335919059987423,0.034022768552126686,target_then_overlap,561
53,0.24,1.65,False,0.7302441504411318,0.007315312323518096,0.001755674957644343,0.03450742603086509,target_then_overlap,561
54,0.25,1.65,False,0.7303199130031162,0.008296011565073664,0.002074002891268416,0.03531584950894157,target_then_overlap,561
55,0.26,1.65,False,0.7305605073662171,0.010210079449696884,0.00265462065692119,0.03670954267883086,target_then_overlap,561
56,0.27,1.65,False,0.734530046280645,0.010448299553709139,0.0028210408795014677,0.03411147363178654,target_then_overlap,561
57,0.28,1.65,False,0.7346451576294581,0.009666219099266234,0.002706541347794546,0.03306461584191619,target_then_overlap,561
58,0.29,1.65,False,0.7344997199863916,0.01015561093275929,0.002945127170500194,0.033761079029498826,target_then_overlap,561
59,0.3,1.65,False,0.7320513251895145,0.0114989279206185,0.00344967837618555,0.037358061157915526,target_then_overlap,561
60,0.01,1.675,True,0.757526138489105,0.003963920006787149,3.9639200067871495e-05,0.008478514725438872,nearest_to_target,561
61,0.02,1.675,True,0.7484804315020672,0.004241881844974386,8.483763689948771e-05,0.015055102057219046,target_then_overlap,561
62,0.03,1.675,True,0.7485003604125086,0.004459188765282436,0.00013377566295847307,0.01602677070600238,target_then_overlap,561
63,0.04,1.675,False,0.7394044355635354,0.004952697537315943,0.00019810790149263775,0.024593398903893716,target_then_overlap,561
64,0.05,1.675,False,0.739469576570614,0.0054416254483359685,0.00027208127241679846,0.02494231654355096,target_then_overlap,561
65,0.06,1.675,False,0.7395980843398231,0.00616675952951998,0.00037000557177119877,0.025115546143000853,target_then_overlap,561
66,0.07,1.675,False,0.7399538476537709,0.007330802127278027,0.0005131561489094619,0.026055740634757848,target_then_overlap,561
67,0.08,1.675,False,0.7326613744726024,0.008759515520382509,0.0007007612416306007,0.03372116078599905,target_then_overlap,561
68,0.09,1.675,False,0.734038645924352,0.007972993249404052,0.0007175693924463647,0.03175769560641614,target_then_overlap,561
69,0.1,1.675,False,0.7343080529586239,0.007817096305821137,0.0007817096305821137,0.0313453862292818,target_then_overlap,561
70,0.11,1.675,False,0.7343598227050473,0.008515737956341434,0.0009367311751975577,0.03201918451347009,target_then_overlap,561
71,0.12,1.675,False,0.7308949417441409,0.01077420624244415,0.001292904749093298,0.037432026382362496,target_then_overlap,561
72,0.13,1.675,False,0.7300370568815294,0.007758078349946792,0.001008550185493083,0.03507120940478882,target_then_overlap,561
73,0.14,1.675,False,0.7300068757192401,0.006761121436312458,0.0009465570010837442,0.03427074811000258,target_then_overlap,561
74,0.15,1.675,False,0.7300118715498639,0.006206027918992519,0.0009309041878488777,0.033843948935163744,target_then_overlap,561
75,0.16,1.675,False,0.7300259499217361,0.005874288434220045,0.0009398861494752073,0.0335820975725222,target_then_overlap,561
