condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,351,C31,1.7,0.135,0,generic,3,0.1,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.129970703125,6.966048177083332e-05,0.044925953673337626,1.5974433330725489e-27,0.044925953673337626,True,True,True,0.030032803007087466,37.12401439901441,351,351
generic,351,C31,1.7,0.135,1,generic,4,0.5,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.47002929687500006,0.025433496093749994,0.00773995095567514,7.862440608007885e-21,0.00773995095567514,True,True,True,0.03804433972331071,32.967252240050584,351,351
generic,351,C31,1.7,0.135,2,generic,5,0.9,0.002,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8475512695312502,0.0006327355685763887,0.041764206666755996,2.5071731515906586e-19,0.041764206666755996,True,True,True,0.05246654876975431,85.41897799295839,351,351
generic,351,C31,1.7,0.135,3,generic,0,0.1,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.15994140624999997,7.502072482638889e-05,0.04161150088777971,9.372456414930841e-27,0.04161150088777971,True,True,True,0.059941411454784106,36.893806171021424,351,351
generic,351,C31,1.7,0.135,4,generic,1,0.5,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.44005859375000006,0.022585351562499995,0.002614905540656023,8.507888687196811e-21,0.002614905540656023,True,True,True,0.06402002200965533,32.05747123400215,351,351
generic,351,C31,1.7,0.135,5,generic,2,0.9,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.0005658128255208335,0.03144155530648126,2.558900921047159e-19,0.03144155530648126,True,True,True,0.059943216170105396,42.45456783508416,351,351
generic,351,C31,1.7,0.135,6,generic,3,0.1,0.002,0.06,0.008,COMPLETED,,0,0.06,0.008,0.21636718750000006,9.72802734375e-06,0.02553128677646435,9.997707568409015e-26,0.02553128677646435,True,True,True,0.11638420644222011,37.24043954804074,351,351
generic,351,C31,1.7,0.135,7,generic,4,0.5,0.002,0.06,0.015,COMPLETED,,0,0.06,0.015,0.4307421875,0.025433496093749994,0.000706885530131416,7.806466925679943e-21,0.000706885530131416,True,True,True,0.07311479557149124,31.517987990984693,351,351
generic,351,C31,1.7,0.135,8,generic,5,0.9,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,1.0125886140046302e-05,0.0008689273317206374,1.7375700197172978e-15,0.000868927331722375,True,True,True,0.11989932581920179,42.21411165094469,351,351
generic,351,C31,1.7,0.135,9,generic,0,0.1,0.0001,0.1,0.008,COMPLETED,,0,0.1,0.008,0.2998046875000002,9.684734881365739e-05,0.02590219090843515,1.4164786414148488e-26,0.02590219090843515,True,True,True,0.19980468752487252,36.60468172491528,351,351
generic,351,C31,1.7,0.135,10,generic,1,0.5,0.0001,0.1,0.015,COMPLETED,,0,0.1,0.015,0.43092447916666665,0.022585351562499995,0.001438454028075317,7.875204116341401e-21,0.001438454028075317,True,True,True,0.07264309060939994,31.55619890196249,351,351
generic,351,C31,1.7,0.135,11,generic,2,0.9,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,0.00011093923611111115,6.469406586380535e-08,3.138428202790042e-19,6.469406586411918e-08,True,True,True,0.13854166709854726,24.698961048037745,351,351
generic,352,C31,1.7,0.145,0,generic,4,0.5,0.002,0.015,0.008,COMPLETED,,0,0.015,0.008,0.47002929687500006,0.014940332031249998,0.008107492545944459,8.824884255950261e-21,0.008107492545944459,True,True,True,0.032644987959652795,34.16483635699842,352,352
generic,352,C31,1.7,0.145,1,generic,5,0.9,0.002,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0005236928710937502,0.04492312977826319,2.2796621154754426e-19,0.04492312977826319,True,True,True,0.0524695036237473,87.85318366193678,352,352
generic,352,C31,1.7,0.145,2,generic,0,0.1,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.15214111328125002,9.30379533179012e-06,0.029299462321033795,4.973263136439138e-25,0.029299462321033795,True,True,True,0.052141192161377435,73.12570229300763,352,352
generic,352,C31,1.7,0.145,3,generic,1,0.5,0.0001,0.03,0.008,COMPLETED,,0,0.03,0.008,0.44005859375000006,0.0120921875,0.004137104196652403,9.651375621797735e-21,0.004137104196652403,True,True,True,0.061129246226848635,32.91525126690976,352,352
generic,352,C31,1.7,0.145,4,generic,2,0.9,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8400585937499998,0.0004875543619791666,0.033815279450998936,2.297712110762693e-19,0.033815279450998936,True,True,True,0.05994265911361502,43.107816307921894,352,352
generic,352,C31,1.7,0.145,5,generic,3,0.1,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.15994140624999997,6.488120298032408e-05,0.04779662036613325,7.1044892010294845e-25,0.04779662036613325,True,True,True,0.05997263432588329,36.77551714098081,352,352
