t401_row,test_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,status,technical_success,target_error,target_recovery,best_candidate_index,best_center_index,best_cr_center,best_ci_center,best_cr,best_ci,best_stage1_mismatch,best_stage2_mismatch,best_total_mismatch,best_retry_index,n_boxes,n_completed_boxes,n_technical_boxes,total_box_solves,total_seconds
201,201,C12,1.3,0.23,0.306457711909123,0.0345485414177597,0.306049,0.035462793,COMPLETED,True,0.4563078131306089,False,11,2,0.9,0.0001,0.7614583333333332,3.3981770833333346e-05,7.568933022538398e-08,4.9087502021295765e-20,7.568933022543307e-08,0,12,12,12,20,719.396804295131
202,202,C12,1.3,0.24,0.3101208441395475,0.030055544403957,0.30975083,0.031757526,COMPLETED,True,0.4523359381079547,False,10,2,0.9,0.0001,0.7614583333333332,1.770572916666667e-05,7.56950880020181e-08,3.6006913905757757e-20,7.569508800205411e-08,0,12,12,12,20,720.7812574249692
203,203,C12,1.3,0.255,0.3152849580975781,0.0233038543659301,0.31572545,0.02277813,COMPLETED,True,0.4467810193870459,False,9,2,0.9,0.0001,0.7614583333333332,1.0110243055555554e-05,7.965085631342072e-08,2.033670375445613e-20,7.965085631344106e-08,0,12,12,12,21,769.3568904461572
204,204,C12,1.3,0.26,0.3169259784739802,0.0210510400997556,0.31747517,0.019312885,COMPLETED,True,0.44528944502138873,False,11,5,0.9,0.002,0.7617187499999999,2.5335696373456797e-05,7.11335426618867e-08,1.6039722337795023e-20,7.113354266190274e-08,0,12,12,12,21,783.4526164910058
205,205,C12,1.3,0.27,0.320097937978743,0.0165434109647926,0.32047418,0.013028415,COMPLETED,True,0.44193004191824864,False,10,5,0.9,0.002,0.7617187499999999,1.4032889660493833e-05,7.199214905960589e-08,9.194799767302975e-21,7.199214905961509e-08,0,12,12,12,20,745.6135569368489
206,206,C12,1.3,0.28,0.3231335088509647,0.0120345149244255,0.32323045,0.008464613,COMPLETED,True,0.4384889535433686,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,9.454342160289437e-08,4.219979542499232e-21,9.454342160289859e-08,0,12,12,12,21,793.6753907582024
207,207,C12,1.3,0.29,0.3260440440428363,0.0075259175747822,0.32599226,0.0055034626,COMPLETED,True,0.43547873934376985,False,11,2,0.9,0.0001,0.7614583333333332,3.398177083333334e-05,9.664468597621708e-08,1.2076228857734023e-21,9.664468597621828e-08,0,12,12,12,21,797.5202916520648
208,208,C12,1.3,0.305,0.3301975224894724,0.0007663018022479,0.33045965,0.0029963546,COMPLETED,True,0.4315218857216735,False,10,2,0.9,0.0001,0.7617187499999999,1.2601200810185187e-05,8.183195343672824e-08,9.405159511503774e-23,8.183195343672834e-08,0,12,12,12,21,822.2612678841688
209,209,C12,1.35,0.21,0.3225689560726936,0.037138876949919,0.32606092,0.03356654,COMPLETED,True,0.4404552789234406,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,6.775160918886236e-08,8.428659924884926e-20,6.775160918894665e-08,0,12,12,12,19,688.942620011163
210,210,C12,1.35,0.225,0.3282520280938685,0.0308281493607343,0.32701412,0.03103552,COMPLETED,True,0.43455979143230544,False,11,5,0.9,0.002,0.7617187499999999,2.5335696373456797e-05,6.064346932537426e-08,5.840257279937454e-20,6.064346932543267e-08,0,12,12,12,21,775.255238836864
211,211,C12,1.35,0.235,0.3317977676531085,0.0265945609610555,0.32952628,0.027607808,COMPLETED,True,0.43048161558367437,False,10,5,0.9,0.002,0.7614583333333332,1.9767361111111115e-05,7.374113172459061e-08,4.398854036748022e-20,7.37411317246346e-08,0,12,12,12,19,705.005009027198
212,212,C12,1.35,0.245,0.3351698215678661,0.0223439085234755,0.33315212,0.02206441,COMPLETED,True,0.4268716881336639,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,8.141056613834831e-08,3.159136569792175e-20,8.14105661383799e-08,0,12,12,12,19,723.1285169339972
213,213,C12,1.35,0.255,0.3383836906248472,0.0180792982433239,0.33711347,0.015110046,COMPLETED,True,0.42345930943776106,False,11,2,0.9,0.0001,0.7614583333333332,3.3981770833333346e-05,8.357881684230049e-08,2.1450713623378805e-20,8.357881684232194e-08,0,12,12,12,21,797.2144213877618
214,214,C12,1.35,0.27,0.3429377077855445,0.0116622774727566,0.34220237,0.0069180797,COMPLETED,True,0.41868150635993623,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,9.808071313975524e-08,9.928719587032873e-21,9.808071313976517e-08,0,12,12,11,18,684.1389958118089
215,215,C12,1.35,0.28,0.3458133962855934,0.0073744851632601,0.34546828,0.0042795744,COMPLETED,True,0.41570979669810054,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,9.144940285702601e-08,4.863387689707268e-21,9.144940285703086e-08,0,12,12,11,21,809.8150404818589
216,216,C12,1.35,0.295,0.3499126544947055,0.0009334624149684,0.35035616,0.0025183295,COMPLETED,True,0.41154673520379464,False,11,5,0.9,0.002,0.7614583333333332,1e-06,5.209510854901496e-08,1.173301504162281e-21,5.209510854901613e-08,0,12,12,11,20,814.0614480890799
217,217,C12,1.4,0.22,0.3487239191776812,0.0275396213065948,0.34780097,0.028749067,COMPLETED,True,0.4136508660568597,False,10,5,0.9,0.002,0.7614583333333332,1.9767361111111115e-05,6.828085351767157e-08,6.856175231988388e-20,6.828085351774012e-08,0,12,12,12,21,804.5209857381415
218,218,C12,1.4,0.235,0.3538167885435443,0.021551433545976,0.35269356,0.02310028,COMPLETED,True,0.40820882713763035,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,7.72679984804518e-08,4.561956462891926e-20,7.726799848049742e-08,0,12,12,12,21,822.1852345048683
219,219,C12,1.4,0.25,0.3585471960115449,0.0155067696233285,0.3590834,0.013384351,COMPLETED,True,0.403208124598036,False,11,2,0.9,0.0001,0.7614583333333332,3.398177083333332e-05,8.112866323413905e-08,2.7724517223967275e-20,8.112866323416678e-08,0,12,12,11,19,777.9060719648842
220,220,C12,1.4,0.26,0.361522965709991,0.0114522448996731,0.3621023,0.007310549,COMPLETED,True,0.4000992742879824,False,10,2,0.9,0.0001,0.7614583333333332,1e-06,1.854044127533488e-08,5.2592808778694046e-20,1.8540441275387472e-08,0,12,12,11,20,802.3386521800421
221,221,C12,1.4,0.27,0.3643707330941902,0.0073819678356949,0.36471802,0.00384088,COMPLETED,True,0.3971560229280775,False,9,2,0.9,0.0001,0.7614583333333332,1.0110243055555554e-05,8.342770170659416e-08,1.1074203953733419e-20,8.342770170660523e-08,0,12,12,11,22,853.2815910670906
222,222,C12,1.4,0.285,0.3684256005207542,0.001253626453456,0.36921108,0.0019612527,COMPLETED,True,0.39303472891737706,False,11,5,0.9,0.002,0.7614583333333332,1e-06,1.0790970637293004e-08,5.556134927662186e-21,1.079097063729856e-08,0,12,12,11,21,828.1014479972655
223,223,C20,1.45,0.055,0.265108862663616,0.0684112391288648,0.27041993,0.064833544,COMPLETED,True,0.5010331351991815,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,2.0232967254526038e-08,6.967216401822297e-19,2.023296725522276e-08,0,12,12,12,12,354.6094631131273
224,224,C20,1.45,0.065,0.2771685946141995,0.0679358880480178,0.28664368,0.06059165,COMPLETED,True,0.48902621779990557,False,9,5,0.9,0.002,0.7614583333333332,3.823958333333333e-05,2.1159183437379627e-08,6.391051350854387e-19,2.1159183438018733e-08,0,12,12,12,12,368.1782401201781
225,225,C20,1.45,0.075,0.287782306314316,0.0667899812334504,0.2926711,0.06285377,COMPLETED,True,0.47835691908529315,False,11,2,0.9,0.0001,0.7614583333333332,3.3981770833333346e-05,2.4039806989642412e-08,5.832719327327895e-19,2.4039806990225683e-08,0,12,12,12,13,417.8587928680936
226,226,C20,1.45,0.085,0.2972357177263615,0.0651403110606665,0.2917616,0.0693007,COMPLETED,True,0.4687627492908855,False,10,2,0.9,0.0001,0.7614583333333332,5.668576388888889e-05,3.0026585110954366e-08,5.293115848359126e-19,3.0026585111483676e-08,0,12,12,12,13,428.4194692953024
227,227,C20,1.45,0.1,0.3096778641115483,0.0619587369313397,0.29710528,0.07127952,COMPLETED,True,0.4560050344654199,False,9,2,0.9,0.0001,0.7614583333333332,3.136747685185185e-05,3.164068990797721e-08,4.545866986946166e-19,3.1640689908431793e-08,0,12,12,12,13,423.8446238960605
228,228,C20,1.45,0.11,0.3170271381952615,0.0594747193281552,0.3130779,0.063176855,COMPLETED,True,0.4483882730487237,False,11,5,0.9,0.002,0.7614583333333332,3.604340277777777e-05,3.538263063886371e-08,4.078080536631515e-19,3.5382630639271516e-08,0,12,12,12,13,446.87218802585267
229,229,C20,1.5,0.05,0.2867884838082837,0.0578781158051297,0.28831387,0.058239527,COMPLETED,True,0.47817777986573656,False,10,5,0.9,0.002,0.7614583333333332,6.355787037037038e-05,1.8301826202898806e-08,7.278899200756692e-19,1.8301826203626696e-08,0,12,12,12,12,357.120395348873
