benchmark_id,atlas_chart,Mach,alpha,ambiguous,seeded_technical,generic_technical,seeded_target_recovery,generic_target_recovery,seeded_target_error,generic_target_error,delta_generic_minus_seeded_error,seeded_box_solves,generic_box_solves,delta_generic_minus_seeded_box_solves,seeded_seconds,generic_seconds,delta_generic_minus_seeded_seconds
0,C00,1.05,0.105,False,True,True,True,False,1.7268649133253102e-06,0.7637943171570253,0.763792590292112,12.0,13.0,1.0,266.52137773286086,418.04070779972244,151.51933006686158
1,C00,1.1,0.09,True,True,True,False,False,0.0757860722211095,0.7835925515755063,0.7078064793543968,12.0,13.0,1.0,245.65510697569698,408.3553054999793,162.7001985242823
2,C00,1.1,0.105,False,True,True,True,False,1.0327437658335198e-05,0.7134062448595364,0.713395917421878,12.0,13.0,1.0,265.68892398814205,420.1038516940316,154.41492770588957
3,C00,1.1,0.115,False,True,True,True,False,3.862816294325427e-06,0.690110557157541,0.6901066943412467,12.0,13.0,1.0,270.20059377280995,427.6968486920232,157.49625491921324
4,C00,1.2,0.075,False,True,True,True,False,7.396861722028915e-06,0.6487642662653409,0.6487568694036189,12.0,13.0,1.0,265.1120799211785,403.8964359627571,138.78435604157858
5,C01,1.0,0.145,False,True,True,True,False,3.505696831340845e-06,0.7620109404028627,0.7620074347060313,12.0,13.0,1.0,271.71677640569396,429.5411097316537,157.82433332595974
6,C01,1.0,0.155,False,True,True,True,False,2.074506953265237e-06,0.7622855796676956,0.7622835051607424,12.0,14.0,2.0,272.22241088503506,471.51699055486824,199.29457966983318
7,C01,1.0,0.18,False,True,True,True,False,9.623012207818195e-07,0.7641531924747299,0.7641522301735091,12.0,13.0,1.0,277.7087445098441,445.5652813378256,167.85653682798147
8,C01,1.05,0.14,False,True,True,True,False,5.26534008173798e-06,0.728273309556184,0.7282680442161023,12.0,13.0,1.0,272.561840726994,433.1388461579336,160.5770054309396
9,C01,1.15,0.175,False,True,True,True,False,3.7030697270927854e-06,0.5747263055888278,0.5747226025191007,12.0,14.0,2.0,327.4276252038544,500.99049474368803,173.56286953983363
10,C01,1.15,0.2,False,True,True,True,False,4.072569432451751e-06,0.557547633770749,0.5575435612013165,12.0,14.0,2.0,335.9676228869939,511.5470858338522,175.57946294685826
11,C01,1.2,0.19,False,True,True,True,False,5.544448929315373e-06,0.5313530010791202,0.5313474566301909,12.0,13.0,1.0,339.9543558349833,474.27872983622365,134.32437400124036
12,C02,1.0,0.25,False,True,True,True,False,2.489904216874943e-06,0.6533004793230386,0.6532979894188217,12.0,15.0,3.0,320.3429480328923,577.0473120468669,256.70436401397455
13,C02,1.0,0.315,False,True,True,True,False,3.4423294939909915e-06,0.6095498383807649,0.6095463960512709,12.0,18.0,6.0,354.36014731402975,728.1774126716191,373.81726535758935
14,C02,1.05,0.22,False,True,True,True,False,1.3591558128773617e-06,0.6227809015577229,0.62277954240191,12.0,15.0,3.0,321.8506177160889,562.569739074097,240.71912135800812
15,C02,1.05,0.225,False,True,True,True,False,3.727745852825343e-06,0.6190032064830657,0.618999478737213,12.0,15.0,3.0,322.5222371388227,564.0670935211238,241.54485638230108
16,C02,1.05,0.35,False,True,True,True,False,3.917021505235842e-06,0.55618576176879,0.5561818447472847,12.0,20.0,8.0,392.01276182499714,840.9661683181766,448.9534064931795
17,C02,1.1,0.215,False,True,True,True,False,5.6181784848296266e-06,0.583918470653987,0.5839128524755022,12.0,15.0,3.0,329.6921954964055,564.1830572411418,234.49086174473632
18,C02,1.1,0.265,False,True,True,True,False,2.729413426735468e-06,0.5560575733633311,0.5560548439499043,12.0,15.0,3.0,351.68726245395374,587.6824500511866,235.99518759723287
19,C02,1.15,0.23,False,True,True,True,False,2.7977334880096425e-06,0.5403351682332951,0.5403323704998071,12.0,15.0,3.0,344.6286276060855,567.8508583612274,223.22223075514194
20,C02,1.2,0.285,False,True,True,True,False,8.491706852095436e-07,0.4873833241886241,0.4873824750179389,12.0,19.0,7.0,389.0826944062719,722.4653428018792,333.38264839560725
21,C02,1.2,0.315,False,True,True,True,False,3.467200174225083e-06,0.4779776526438231,0.47797418544364884,12.0,21.0,9.0,412.1218352688011,828.7690292650368,416.6471939962357
22,C10,1.3,0.085,False,True,True,True,False,5.155490588395752e-06,0.5564996673586815,0.5564945118680931,12.0,13.0,1.0,288.616665870999,418.14212529803626,129.52545942703728
23,C10,1.35,0.055,False,True,True,True,False,5.996552031073366e-06,0.5644097448807021,0.564403748328671,12.0,12.0,0.0,276.8899709112011,352.5315344580449,75.64156354684383
24,C10,1.35,0.09,False,True,True,True,False,4.3840674578103e-06,0.5197410716341727,0.5197366875667149,12.0,13.0,1.0,299.5115881320089,427.0731801808579,127.56159204884898
25,C10,1.4,0.075,False,True,True,True,False,4.6657764109395205e-06,0.5064784321303165,0.5064737663539056,12.0,13.0,1.0,296.92394387791865,410.8017142369645,113.87777035904583
26,C11,1.25,0.16,False,True,True,True,False,3.893567495875566e-06,0.5203781313879633,0.5203742378204674,12.0,13.0,1.0,335.0113516058773,457.5329956227215,122.52164401684422
27,C11,1.25,0.17,False,True,True,True,False,1.187146168756824e-06,0.5137808819274042,0.5137796947812355,12.0,13.0,1.0,340.72503487218637,462.99381263705436,122.26877776486799
28,C11,1.25,0.195,False,True,True,True,False,3.4915941846425954e-06,0.4990978907744259,0.49909439918024123,12.0,14.0,2.0,347.4783318651607,509.20319324498996,161.72486137982924
29,C11,1.35,0.155,False,True,True,True,False,4.175102791609293e-06,0.4685139064832844,0.4685097313804928,12.0,13.0,1.0,337.0962434668327,460.26558607572224,123.16934260888956
30,C11,1.4,0.19,False,True,True,True,False,5.041713745730237e-06,0.4260549176838074,0.42604987597006166,12.0,14.0,2.0,374.92420484591275,519.1434002931928,144.21919544728007
31,C12,1.25,0.235,False,True,True,True,False,5.948939937727994e-06,0.4798567536700285,0.4798508047300908,12.0,17.0,5.0,369.9971655901754,618.5355316529749,248.53836606279947
32,C12,1.25,0.285,False,True,True,True,False,1.4248203516338008e-06,0.4612474715741461,0.46124604675379444,12.0,21.0,9.0,420.3789946278557,807.2827652338892,386.9037706060335
33,C12,1.25,0.315,False,True,True,True,False,4.329236236403794e-06,0.452563628632111,0.45255929939587464,12.0,21.0,9.0,454.78949955978896,808.6605662057409,353.87106664595194
34,C12,1.4,0.21,False,True,True,True,False,2.4569607904704254e-06,0.4175463114035069,0.4175438544427164,12.0,21.0,9.0,401.1462311989162,756.7934580580331,355.6472268591169
35,C12,1.4,0.255,False,True,True,True,False,3.502006412582551e-06,0.4016325264115767,0.4016290244051641,12.0,21.0,9.0,430.3001479419181,799.1360913768876,368.8359434349695
36,C20,1.45,0.105,False,True,True,True,False,4.937749993362432e-07,0.4521208749590976,0.45212038118409825,12.0,13.0,1.0,381.25644115160685,458.73008897399995,77.4736478223931
37,C20,1.5,0.085,False,True,True,True,False,9.268318267036374e-06,0.4432805343061963,0.44327126598792926,12.0,13.0,1.0,404.80512611183804,523.5555478079477,118.7504216961097
38,C20,1.55,0.06,False,True,True,True,False,1.1765068893005628e-06,0.4405674486850675,0.4405662721781782,12.0,12.0,0.0,393.5684328429634,440.2404820888769,46.67204924591351
39,C20,1.6,0.11,False,True,True,True,False,3.638262011935668e-06,0.381358428169825,0.3813547899078131,12.0,12.0,0.0,421.8074840811314,491.5975633520866,69.79007927095518
40,C21,1.45,0.12,False,True,True,True,False,5.176856559021626e-06,0.441367307300944,0.44136213044438494,12.0,13.0,1.0,399.37978868663777,548.2417937730206,148.86200508638285
41,C21,1.5,0.205,False,True,True,True,False,3.245655916439524e-06,0.3776986023109144,0.377695356654998,12.0,20.0,8.0,429.995794257964,824.7582960408181,394.7625017828541
42,C21,1.55,0.12,False,True,True,True,False,4.21661389935016e-06,0.3963183247264858,0.39631410811258644,12.0,13.0,1.0,422.21133483201265,544.5052239240613,122.29388909204863
43,C21,1.55,0.2,False,True,True,True,False,4.274561588179082e-06,0.3603521705180619,0.3603478959564737,12.0,20.0,8.0,422.15097314619925,912.2452293720562,490.09425622585695
44,C21,1.6,0.12,False,True,True,True,False,1.6068833892420952e-06,0.3758416306425244,0.37584002375913517,12.0,13.0,1.0,413.69717837520875,521.9686910103774,108.27151263516862
45,C22,1.45,0.235,False,True,True,True,False,4.366480645390164e-06,0.3873218890492897,0.3873175225686443,12.0,22.0,10.0,441.0920381891774,833.8954848571448,392.80344666796736
46,C22,1.55,0.26,False,True,True,True,False,1.662674824346025e-06,0.3424887021643282,0.3424870394895039,12.0,23.0,11.0,474.5496720421361,904.1921187491389,429.6424467070028
47,C22,1.6,0.22,False,True,True,True,False,2.3020087116773694e-06,0.3360546081262451,0.33605230611753345,12.0,24.0,12.0,527.2976258189883,1041.692992108874,514.3953662898857
48,C30,1.7,0.06,False,True,True,True,False,4.274467485475417e-06,0.371880012880375,0.3718757384128895,12.0,12.0,0.0,366.14346782595385,380.7477437539492,14.604275927995332
49,C30,1.7,0.075,False,True,True,True,False,2.750400163988215e-06,0.362298866418813,0.362296116018649,12.0,13.0,1.0,343.6234369408339,427.3543672427768,83.73093030194286
50,C30,1.75,0.055,False,True,True,True,False,3.415723380338101e-06,0.355096743977681,0.3550933282543006,12.0,12.0,0.0,335.11142533214297,366.7138313931646,31.60240606102161
51,C30,1.75,0.115,False,True,True,True,False,1.2482967492669383e-06,0.3236421968856748,0.32364094858892556,12.0,13.0,1.0,400.4215158832958,453.7268697080435,53.305353824747726
52,C30,1.8,0.115,False,True,True,True,False,2.870356024220917e-06,0.3074553271641039,0.3074524568080797,12.0,13.0,1.0,457.0984712688951,456.8413376706885,-0.2571335982065648
53,C30,1.9,0.075,False,True,True,True,False,2.156015813275717e-06,0.2934189105061971,0.29341675449038385,12.0,13.0,1.0,436.4856491070241,429.0556323531782,-7.430016753845848
54,C31,1.7,0.12,False,True,True,True,False,4.771093135424398e-06,0.3385188266194531,0.3385140555263177,12.0,13.0,1.0,450.4291531313211,466.45774382387754,16.028590692556463
55,C31,1.75,0.14,False,True,True,True,False,8.415263294592678e-06,0.3134448848803644,0.31343646961706984,12.0,13.0,1.0,447.8215318376897,516.7048491159221,68.88331727823243
56,C31,1.8,0.14,False,True,True,True,False,9.164631910799138e-07,0.2979273490006286,0.29792643253743756,12.0,13.0,1.0,426.99728585698176,517.9910572899971,90.99377143301535
57,C31,1.85,0.12,False,True,True,True,False,2.531039435407915e-06,0.2903091208689574,0.29030658982952195,12.0,12.0,0.0,377.9890453480184,420.67411584581714,42.68507049779873
58,C31,1.85,0.125,False,True,True,True,False,5.079238034211803e-06,0.2884817348569408,0.28847665561890656,12.0,13.0,1.0,396.96014863892924,471.44030424265657,74.48015560372733
59,C31,1.85,0.18,False,True,True,True,False,4.41740701577742e-06,0.2711372582593238,0.271132840852308,12.0,21.0,9.0,431.35886900674086,835.7346421779366,404.37577317119576
60,C31,1.85,0.2,False,True,True,True,False,1.5094194497430904e-06,0.2659318132297158,0.26593030381026606,12.0,21.0,9.0,457.2364553369116,844.0062832200201,386.7698278831085
61,C31,1.9,0.145,False,True,True,True,False,3.088818249383832e-06,0.2678252308926757,0.2678221420744263,12.0,17.0,5.0,463.2670145931188,633.8396105560241,170.57259596290532
62,C32,1.75,0.21,False,True,True,True,False,1.7965305890366509e-06,0.2912750085283078,0.2912732119977188,12.0,23.0,11.0,530.3224807980005,942.4710700022988,412.14858920429833
63,C32,1.8,0.21,False,True,True,True,False,3.348411869824577e-06,0.2770277754129569,0.2770244270010871,12.0,23.0,11.0,460.0741315300111,984.8412353690946,524.7671038390836
