condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,source_file,status_completed,actual_box_solves
seeded,0,C00,1.05,0.105,0,PINN,0,0.00960359,0.051924232,0.015,0.008,COMPLETED,,0,0.015,0.008,0.0,0.059689857,2.671678220483921e-07,2.9405025813728884e-21,2.671678220483951e-07,True,True,True,0.0123504604176818,22.10928157903254,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,1,PINN,0,0.00960359,0.051924232,0.015,0.015,COMPLETED,,0,0.015,0.015,0.0,0.0596879038749999,5.693951415460477e-07,2.9406470713056562e-21,5.693951415460506e-07,True,True,True,0.0123492324405513,22.10481373895891,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,2,PINN,0,0.00960359,0.051924232,0.015,0.03,COMPLETED,,0,0.015,0.03,0.0,0.05967813825,2.0806872264641943e-06,2.9400691328738296e-21,2.080687226464197e-06,True,True,True,0.0123430953582109,22.12165129405912,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,3,PINN,0,0.00960359,0.051924232,0.03,0.008,COMPLETED,,0,0.03,0.008,0.0,0.059689857,2.671678220483921e-07,2.9405025813728884e-21,2.671678220483951e-07,True,True,True,0.0123504604176818,22.19791560305748,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,4,PINN,0,0.00960359,0.051924232,0.03,0.015,COMPLETED,,0,0.03,0.015,0.0,0.0596879038749999,5.693951415460477e-07,2.9406470713056562e-21,5.693951415460506e-07,True,True,True,0.0123492324405513,22.1784237009706,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,5,PINN,0,0.00960359,0.051924232,0.03,0.03,COMPLETED,,0,0.03,0.03,0.0,0.05967813825,2.0806872264641943e-06,2.9400691328738296e-21,2.080687226464197e-06,True,True,True,0.0123430953582109,22.162062019924637,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,6,PINN,0,0.00960359,0.051924232,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0,0.059689857,2.671678220483921e-07,2.9405025813728884e-21,2.671678220483951e-07,True,True,True,0.0123504604176818,22.21093540394213,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,7,PINN,0,0.00960359,0.051924232,0.06,0.015,COMPLETED,,0,0.06,0.015,0.0,0.0596879038749999,5.693951415460477e-07,2.9406470713056562e-21,5.693951415460506e-07,True,True,True,0.0123492324405513,22.25869219598826,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,8,PINN,0,0.00960359,0.051924232,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0,0.05967813825,2.0806872264641943e-06,2.9400691328738296e-21,2.080687226464197e-06,True,True,True,0.0123430953582109,22.259063660982065,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,9,PINN,0,0.00960359,0.051924232,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0,0.059689857,2.671678220483921e-07,2.9405025813728884e-21,2.671678220483951e-07,True,True,True,0.0123504604176818,22.30833284393884,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,10,PINN,0,0.00960359,0.051924232,0.1,0.015,COMPLETED,,0,0.1,0.015,0.0,0.0596879038749999,5.693951415460477e-07,2.9406470713056562e-21,5.693951415460506e-07,True,True,True,0.0123492324405513,22.306362397037446,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,0,C00,1.05,0.105,11,PINN,0,0.00960359,0.051924232,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0,0.05967813825,2.0806872264641943e-06,2.9400691328738296e-21,2.080687226464197e-06,True,True,True,0.0123430953582109,22.30384329496883,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,0,PINN,0,0.04619938,0.10239334,0.015,0.008,COMPLETED,,0,0.015,0.008,0.016228676875,0.1134089649999999,0.0006366448746696,3.769114301203957e-21,0.0006366448746696,True,True,True,0.0319309730504334,21.64738227194175,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,1,PINN,0,0.04619938,0.10239334,0.015,0.015,COMPLETED,,0,0.015,0.015,0.016228676875,0.113282011875,0.000636629587235,3.768896192207717e-21,0.000636629587235,True,True,True,0.0318873990944432,21.73053695599083,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,2,PINN,0,0.04619938,0.10239334,0.015,0.03,COMPLETED,,0,0.015,0.03,0.016228676875,0.1132722462499999,0.000636629673065,3.7685690405462686e-21,0.000636629673065,True,True,True,0.0318840657226015,21.66338611196261,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,3,PINN,0,0.04619938,0.10239334,0.03,0.008,COMPLETED,,0,0.03,0.008,0.0,0.1092058399999999,4.513831572113893e-08,3.4376319217735804e-21,4.5138315721142366e-08,True,True,True,0.0466989600380393,17.342219113954343,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,4,PINN,0,0.04619938,0.10239334,0.03,0.015,COMPLETED,,0,0.03,0.015,0.0,0.109199980625,2.859347504488264e-07,3.437788148773326e-21,2.859347504488299e-07,True,True,True,0.0466981056251996,21.599348960909992,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
seeded,1,C00,1.1,0.09,5,PINN,0,0.04619938,0.10239334,0.03,0.03,COMPLETED,,0,0.03,0.03,0.0,0.10920974625,1.1536996384411e-07,3.437944379322946e-21,1.1536996384411345e-07,True,True,True,0.0466995300463445,21.436787448008545,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_seeded_00_32.csv,True,1.0
