task_index,role,Mach,alpha,modal_setting,is_modal_reference,p_rel_l2_core,p_rel_l2_amp_mask,modulus_rel_l2_amp_mask,kappa_rel_l2_amp_mask,q_rel_l2_amp_mask,alignment_real,alignment_imag,comparison_core_limit,comparison_amplitude_threshold
0,low_alpha,1.1,0.09,modal_coarse,False,4.895649791888095e-06,4.895649791888095e-06,1.5842614954982468e-06,2.9802943023961823e-05,6.630060789657226e-05,1.0000007970113751,-6.799761049610168e-06,20.0,0.001
0,low_alpha,1.1,0.09,modal_nominal,False,9.925497462600464e-07,9.925497462600464e-07,3.301601275736888e-07,6.161573664613509e-06,1.370936500369033e-05,1.000000159410796,-1.3599108475895938e-06,20.0,0.001
0,low_alpha,1.1,0.09,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
1,peak_growth,1.1,0.17,modal_coarse,False,9.565384635246548e-06,9.565384635246548e-06,3.1951831312982477e-06,4.231324569256049e-05,5.72815387624616e-05,1.000002078556231,-7.529278588875342e-06,20.0,0.001
1,peak_growth,1.1,0.17,modal_nominal,False,1.942648976324828e-06,1.942648976324828e-06,6.736857808876384e-07,8.749397513248e-06,1.1844565314504429e-05,1.0000005039901332,-1.5057891421462236e-06,20.0,0.001
1,peak_growth,1.1,0.17,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
2,near_neutral,1.1,0.345,modal_coarse,False,2.1683005681380837e-05,2.1683005681380837e-05,1.256824354326882e-05,7.070776191276923e-05,5.13724771880702e-05,1.0000156473084305,-5.524596967742137e-06,20.0,0.001
2,near_neutral,1.1,0.345,modal_nominal,False,4.491542118547706e-06,4.491542118547706e-06,2.7252307222211603e-06,1.478750840713118e-05,1.059915056525671e-05,1.0000031298043557,-1.073647071032708e-06,20.0,0.001
2,near_neutral,1.1,0.345,modal_strict,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.001
3,low_alpha,1.15,0.06,modal_coarse,False,3.431583630760138e-06,3.431583630760138e-06,1.0163584697397062e-06,3.078803008542394e-05,6.554076150510313e-05,1.0000004968824348,-5.219347378321455e-06,20.0,0.001
3,low_alpha,1.15,0.06,modal_nominal,False,6.952373057205512e-07,6.952373057205512e-07,2.1171492951882094e-07,6.365298773676687e-06,1.355218342817973e-05,1.000000099381603,-1.0438332604171157e-06,20.0,0.001
