Mach,alpha,cr,ci,Mach_key,alpha_key,has_merged_modal_fields,field_source_file,field_source_priority,n_y
1.1,0.175,0.1508143457011082,0.092213234034898,1.1,0.175,True,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_modal_fields_candidates_normalized.csv,8.0,4593.0
1.1,0.2,0.1656761547463344,0.0791796566675815,1.1,0.2,True,assets/classic_supersonic/validated_modal_points/rebuilt_aggregates_latest/all_modal_fields_candidates_normalized.csv,8.0,4593.0
1.2,0.15,0.209251477505801,0.0890539934231143,1.2,0.15,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4593.0
1.2,0.175,0.2259107392431602,0.0762428518157576,1.2,0.175,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4593.0
1.2,0.1875,0.2331694872807306,0.0698658844864319,1.2,0.1875,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4593.0
1.2,0.2,0.2398365204931603,0.0634987111907576,1.2,0.2,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4593.0
1.2,0.208333,0.2439966767431603,0.0592701955657576,1.2,0.208333,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4593.0
1.2,0.216667,0.2479483075702228,0.055042805686539,1.2,0.216667,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4593.0
1.25,0.25,0.2550098377696084,0.0304106202499422,1.25,0.25,True,assets/classic_supersonic/shooting/experiment_point_batch_core_v2_2026-05-22/supersonic_shooting_point_batch_core_v2_fields.csv,4.0,4594.0
1.3,0.1,0.2292287978156679,0.0908323489283033,1.3,0.1,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.125,0.2507322022046491,0.0805622512041191,1.3,0.125,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.15,0.2679464671366972,0.0699190855162764,1.3,0.15,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.1625,0.2753741570531295,0.0644937399606446,1.3,0.1625,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.175,0.2821847483866972,0.0590180438496097,1.3,0.175,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.183333,0.286403134768127,0.0553553184156296,1.3,0.183333,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.191667,0.290397275393127,0.0516736777906296,1.3,0.191667,True,assets/classic_supersonic/shooting/supersonic_reference_core_local_modal_fields.csv,0.0,4594.0
1.3,0.2,0.2727688216788323,0.0467110594036997,1.3,0.2,True,assets/classic_supersonic/shooting/experiment_pointwise_core_solid_2026-06-11/supersonic_shooting_core_band_M13_fields.csv,3.0,4594.0
1.3,0.2249999999999999,0.2807064105959674,0.0353543235424167,1.3,0.225,True,assets/classic_supersonic/shooting/experiment_ci_alpha_spectral_continuation_core_2026-05-25/assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_spectral_continuation_core_fields.csv,5.0,4594.0
