Mach,alpha,cr,ci,omega_i,n_y,y_min,y_max
1.2,0.15,0.209251477505801,0.0890539934231143,0.013358099013467146,4593,-272.47456334202644,272.47456334202644
1.2,0.175,0.2259107392431602,0.0762428518157576,0.01334249906775758,4593,-275.6831511498632,275.6831511498632
1.2,0.1875,0.2331694872807306,0.0698658844864319,0.013099853341205982,4593,-282.0355461167926,282.0355461167926
1.2,0.2,0.2398365204931603,0.0634987111907576,0.012699742238151521,4593,-292.083591467628,292.083591467628
1.2,0.208333,0.2439966767431603,0.0592701955657576,0.012347937652800978,4593,-301.1434425752043,301.1434425752043
1.2,0.216667,0.2479483075702228,0.055042805686539,0.011925959579685345,4593,-312.5192864559504,312.5192864559504
1.3,0.1,0.2292287978156679,0.0908323489283033,0.009083234892830331,4594,-397.459684499952,397.459684499952
1.3,0.125,0.2507322022046491,0.0805622512041191,0.010070281400514887,4594,-362.11201810949495,362.11201810949495
1.3,0.15,0.2679464671366972,0.0699190855162764,0.01048786282744146,4594,-350.31927438975805,350.31927438975805
1.3,0.1625,0.2753741570531295,0.0644937399606446,0.010480232743604748,4594,-351.6707062709757,351.6707062709757
1.3,0.175,0.2821847483866972,0.0590180438496097,0.010328157673681697,4594,-357.8509568384181,357.8509568384181
1.3,0.183333,0.286403134768127,0.0553553184156296,0.010148456591092621,4594,-364.8109605037668,364.8109605037668
1.3,0.191667,0.290397275393127,0.0516736777906296,0.009904138801096604,4594,-374.4094575633296,374.4094575633296
1.4,0.125,0.303271264704649,0.0535875093459158,0.006698438668239475,4594,-500.0000000000052,500.0000000000052
1.4,0.1375,0.3111424049240388,0.0511307865076858,0.007030483144806798,4594,-500.0000000000052,500.0000000000052
1.4,0.15,0.3182275185165742,0.0486740636694557,0.007301109550418355,4594,-493.55080529330667,493.55080529330667
1.4,0.1625,0.3246580112197962,0.0462173408312256,0.00751031788507416,4594,-480.743614158174,480.743614158174
1.4,0.16875,0.32767268188658,0.0450433791097876,0.007601070224776658,4594,-475.4349217902936,475.4349217902936
1.5,0.125,0.3492641497157056,0.0487962958623987,0.006099536982799837,4594,-500.0000000000052,500.0000000000052
1.5,0.1375,0.3561293840907055,0.0454370701278998,0.006247597142586223,4594,-500.0000000000052,500.0000000000052
1.5,0.15,0.3623598528407056,0.0418239381434009,0.0062735907215101345,4594,-500.0000000000052,500.0000000000052
1.5,0.15625,0.3652797747157056,0.0399391725184009,0.006240495706000141,4594,-500.0000000000052,500.0000000000052
1.5,0.1625,0.3680825090907056,0.0380056534011514,0.0061759186776871025,4594,-500.0000000000052,500.0000000000052
