alpha,Mach,reference_cr,reference_ci,reference_omega_i,line_id,best_status,best_stage1_mismatch,best_stage2_mismatch,best_spectral_success,best_mode_success,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,source_csv,source_label,source_group
0.3,1.2,0.0,0.015,2.433216386959877e-06,M1.20_a0.30000,mode_only,0.1042456411678123,2.5630090810630677e-27,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.25,1.3,0.0,0.015,2.5329707267353064e-06,M1.30_a0.25000,mode_only,0.0712500214668303,1.0223637331664311e-27,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.275,1.3,0.0,0.015,7.876332762604391e-06,M1.30_a0.27500,mode_only,0.1123760342239399,1.4164786414148488e-26,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.3,1.3,0.0,0.015,2.8682237413194453e-06,M1.30_a0.30000,mode_only,0.1069773153269924,1.7749370367472763e-28,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.275,1.5,0.0,0.015,4.4058339240619664e-06,M1.50_a0.27500,mode_only,0.0967356689736001,7.099748146989106e-30,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.3,1.5,0.05,0.025,3e-07,M1.50_a0.30000,mode_only,0.080708072558469,3.865418435582958e-29,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_ci_alpha_lines_core_candidates.csv,supersonic_shooting_ci_alpha_lines_core_candidates,shooting
0.225,1.6,0.32,0.004,0.0043184999995068,a0.225000_M1.600000__cand001,validated,0.0363817550712007,1.365492749893665e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
0.225,1.8,0.36,0.012,0.0060166837337392,a0.225000_M1.800000__cand001,validated,0.0478663045834635,1.6415634840273392e-19,True,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
0.3,1.8,0.36,0.012,0.0072053252227993,a0.300000_M1.800000__cand001,mode_only,0.0759800501889769,1.5974322262265478e-20,False,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
0.2,1.9,0.4,0.026,0.0055243668885991,a0.200000_M1.900000__cand001,validated,0.0307933443095758,2.187487846020624e-21,True,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
0.25,1.9,0.4,0.026,0.0062586889110727,a0.250000_M1.900000__cand001,validated,0.049438127841532,5.726238444326145e-21,True,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
0.3,1.9,0.4,0.026,0.0064196457734698,a0.300000_M1.900000__cand001,mode_only,0.0582403876597161,1.257007825116096e-21,False,True,False,False,True,True,assets/classic_supersonic/shooting/_incoming_sparse_supersonic_expand1/sparse_supersonic_expand1_raw_candidates.csv,sparse_supersonic_expand1_raw_candidates,_incoming_sparse_supersonic_expand1
