alpha,Mach,reference_cr,reference_ci,reference_omega_i,line_id,best_status,best_stage1_mismatch,best_stage2_mismatch,best_spectral_success,best_mode_success,trusted_spectral,trusted_modal,valid_spectral_candidate,valid_modal_candidate,source_csv,source_label,source_group
0.1,1.0,0.26,0.07,0.012994140625,M1.00_a0.10000,validated,0.0206329437895413,1.481812896776767e-20,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M10_candidates.csv,supersonic_shooting_core_band_M10_candidates,shooting
0.125,1.0,0.18,0.055,0.00688232421875,M1.00_a0.12500,validated,0.0090389373295489,3.5549954551267093e-22,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M10_candidates.csv,supersonic_shooting_core_band_M10_candidates,shooting
0.15,1.0,0.18,0.055,0.0082523437499999,M1.00_a0.15000,validated,0.005451584182591,8.263009224003947e-22,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M10_candidates.csv,supersonic_shooting_core_band_M10_candidates,shooting
0.175,1.0,0.0,0.015,0.005422265625,M1.00_a0.17500,validated,0.0064881193487331,4.026652158000793e-23,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M10_candidates.csv,supersonic_shooting_core_band_M10_candidates,shooting
0.2,1.0,0.18,0.055,0.0169941406249999,M1.00_a0.20000,validated,0.0124697238844869,1.5585060112536555e-20,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M10_candidates.csv,supersonic_shooting_core_band_M10_candidates,shooting
0.1,1.1,0.26,0.07,0.012994140625,M1.10_a0.10000,validated,0.0147098549533139,1.3900284546725688e-20,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_candidates.csv,supersonic_shooting_core_band_M11_candidates,shooting
0.125,1.1,0.26,0.07,0.01624267578125,M1.10_a0.12500,validated,0.0158770060938124,1.4033591654354222e-20,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_candidates.csv,supersonic_shooting_core_band_M11_candidates,shooting
0.15,1.1,0.1,0.04,0.0104956054687499,M1.10_a0.15000,validated,0.0078433005154136,4.1217048602030447e-22,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_candidates.csv,supersonic_shooting_core_band_M11_candidates,shooting
0.175,1.1,0.18,0.055,0.0148698730468749,M1.10_a0.17500,validated,0.0025720262978357,1.2503091168928116e-22,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_candidates.csv,supersonic_shooting_core_band_M11_candidates,shooting
0.2,1.1,0.26,0.07,0.016578125,M1.10_a0.20000,validated,0.0151404469210471,3.061490287072225e-26,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M11_candidates.csv,supersonic_shooting_core_band_M11_candidates,shooting
0.5,1.15,0.0,0.015,5e-07,M1.15_a0.50000,mode_only,0.0934110706535371,1.0223637331664311e-27,False,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M18_lowbranch_a0200_a0225_boxrobust_candidates.csv,supersonic_shooting_core_band_M18_lowbranch_a0200_a0225_boxrobust_candidates,shooting
0.1,1.2,0.26,0.07,0.0099970703124999,M1.20_a0.10000,validated,0.0078122468249967,4.707576755712964e-23,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M12_candidates.csv,supersonic_shooting_core_band_M12_candidates,shooting
0.125,1.2,0.26,0.07,0.0124963378906249,M1.20_a0.12500,validated,0.0064614379451022,8.36171420034165e-23,True,True,False,False,True,True,assets/classic_supersonic/shooting/supersonic_shooting_core_band_M12_candidates.csv,supersonic_shooting_core_band_M12_candidates,shooting
0.15,1.2,0.209251477505801,0.0890539934231143,0.0133580990134671,M1.20_anchor0.200,validated,2.732693095535446e-06,1.1680993728282036e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.175,1.2,0.2259107392431602,0.0762428518157576,0.0133424990677575,M1.20_anchor0.200,validated,2.48514172215903e-06,1.0773235011332662e-20,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.1875,1.2,0.2331694872807306,0.0698658844864319,0.0130998533412059,M1.20_anchor0.200,validated,1.1222729728655301e-07,5.016507938598379e-19,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.2,1.2,0.2398365204931603,0.0634987111907576,0.0126997422381515,M1.20_anchor0.200,validated,8.439710203642677e-07,1.359169398096911e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
0.208333,1.2,0.2439966767431603,0.0592701955657576,0.0123479376528009,M1.20_anchor0.200,validated,1.5053414891389662e-06,1.7729387245876382e-18,True,True,True,True,True,True,assets/classic_supersonic/shooting/supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary.csv,supersonic_shooting_modal_surface_core_M140_branch_guided_relaxed_summary,shooting
