benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
1,C00,1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.046196893,0.10234909,0.09467834398643682,COMPLETED,,0.0,0.10920846500000002,6.272524888362649e-08,3.437736072712313e-21,6.272524888362993e-08,True,True,0,0.03,0.008,12,252.47947218699846,0.0757834472211095
2,C00,1.1,0.105,0.0614720572586166,0.1377614529920954,0.06559454,0.10135186,0.03664223418137938,COMPLETED,,0.06147344625,0.13777764125,1.0633165666493596e-06,2.5166369372014887e-21,1.0633165666493621e-06,True,True,0,0.03,0.03,12,265.679640409071,1.6247738028679263e-05
32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.2997497,0.012001482,0.0030228380391504692,COMPLETED,,0.300443059375,0.014943102861328123,4.318971620876809e-06,6.161951218729878e-21,4.318971620876815e-06,True,True,0,0.015,0.015,12,398.0176451059524,8.755723344499319e-06
37,C20,1.5,0.085,0.3218492869365933,0.0569978921594081,0.31989482,0.059097078,0.0028681914509979763,COMPLETED,,0.32185771062500007,0.05699811966666666,9.638074690496296e-07,4.297880932663225e-21,9.638074690496339e-07,True,True,0,0.015,0.008,12,312.5653991289437,8.426760108535626e-06
57,C31,1.85,0.12,0.4719985865793722,0.0222249860031717,0.466527,0.023045301,0.005532736790195903,COMPLETED,,0.4720055156250001,0.022227592666666664,1.6640216889817669e-06,6.640390895160281e-21,1.6640216889817734e-06,True,True,0,0.015,0.008,12,361.67596270900685,7.403132302559681e-06
49,C30,1.7,0.075,0.4008202608716605,0.0347139445851855,0.40068874,0.036546435,0.0018372040877565469,COMPLETED,,0.40081569312500004,0.03471831,7.262528022887595e-07,2.428400450759671e-21,7.262528022887619e-07,True,True,0,0.015,0.008,12,327.32904359395616,6.318319084762327e-06
51,C30,1.75,0.115,0.4390526505121892,0.028374825904752,0.44287628,0.026428003,0.004290718108023783,COMPLETED,,0.4390579206250001,0.028371362374999997,1.3058289366987096e-06,6.244776539824742e-21,1.3058289366987158e-06,True,True,0,0.015,0.015,12,349.8009944219375,6.306356109698436e-06
27,C11,1.25,0.17,0.2524134188561518,0.0696333329101972,0.251391,0.07123736,0.0019021680320718442,COMPLETED,,0.25241639062500004,0.06963840166666667,1.5406806188885659e-06,9.458672040893013e-22,1.5406806188885667e-06,True,True,0,0.015,0.008,12,339.4869523580419,5.87568738396209e-06
4,C00,1.2,0.075,0.1254037605689256,0.1278442189910901,0.125395,0.14678541,0.018941193034853348,COMPLETED,,0.12540476562500003,0.127849863125,3.709886729782527e-07,4.498253042260514e-21,3.709886729782572e-07,True,True,0,0.015,0.015,12,266.0062947869301,5.732921184301599e-06
40,C21,1.45,0.12,0.3237488512771395,0.0567621464549422,0.3240953,0.056015063,0.0008235049521527163,COMPLETED,,0.3237535031249999,0.05675985466666665,9.465187363307536e-07,6.584489700472059e-21,9.465187363307602e-07,True,True,0,0.015,0.008,12,324.2631257689791,5.185747970775274e-06
