benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
1,C00,1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.050266236,0.106436335,0.09326131573103989,COMPLETED,,0.0,0.10920716833333334,9.44510341561761e-09,3.43810061342244e-21,9.445103415621047e-09,True,True,0,0.06,0.008,12,255.62530217098538,0.07578474388777619
2,C00,1.1,0.105,0.0614720572586166,0.1377614529920954,0.059125602,0.086583175,0.051232040663210826,COMPLETED,,0.061479117624999996,0.13777458125,9.7557012781579e-07,2.5165032696514796e-21,9.755701278157924e-07,True,True,0,0.015,0.03,12,278.7710017299978,1.4906372096429123e-05
3,C00,1.1,0.115,0.0840064838857459,0.1316074319054831,0.06619173,0.090328686,0.044958873646246254,COMPLETED,,0.08401399562499999,0.13159821725,1.1193209851000983e-06,1.6841407439996712e-21,1.1193209851001e-06,True,True,0,0.015,0.03,12,284.14282293396536,1.1888486122863359e-05
8,C01,1.05,0.14,0.0443825798422026,0.1272560731093161,0.06547862,0.1096405,0.02748365562127901,COMPLETED,,0.044375104375,0.12724792187499998,8.493329736991263e-07,6.443319792559121e-22,8.493329736991269e-07,True,True,0,0.015,0.015,12,339.8890445920406,1.1060073723696646e-05
33,C12,1.25,0.315,0.3091557589953352,0.0007606930795383,0.3107962,0.0029916323,0.0027691400280917483,COMPLETED,,0.30916534062500006,0.0007624885953911674,5.264379277002465e-06,6.1595146869288885e-22,5.264379277002466e-06,True,True,0,0.015,0.015,12,454.2914396270644,9.748410342838319e-06
41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.383341,0.022927457,0.0015227309763104133,COMPLETED,,0.384522640625,0.023894253874999997,3.1891026599110946e-06,2.983766189452375e-21,3.1891026599110975e-06,True,True,0,0.015,0.015,12,413.8268704909133,8.841621590006594e-06
51,C30,1.75,0.115,0.4390526505121892,0.028374825904752,0.44186836,0.025127595,0.004297991213174382,COMPLETED,,0.4390460943749999,0.028372386666666662,1.4485118918607183e-06,6.244636165970963e-21,1.4485118918607244e-06,True,True,0,0.015,0.008,12,364.85846267000306,6.995199588429197e-06
28,C11,1.25,0.195,0.2657063752620336,0.0577515784663902,0.26637548,0.05752349,0.0007069126529277165,COMPLETED,,0.265701651875,0.057748099375,1.8450858857782126e-06,3.2291550994122607e-23,1.8450858857782126e-06,True,True,0,0.015,0.015,12,362.71748045191634,5.8663840626629365e-06
47,C22,1.6,0.22,0.4256110612063782,0.0118039423351638,0.4263096,0.008834326,0.00305066838975761,COMPLETED,,0.4256162406250001,0.011804916630859372,2.046514612904666e-06,3.538026092672948e-21,2.0465146129046696e-06,True,True,0,0.015,0.015,12,438.65443544404116,5.2702589464938525e-06
26,C11,1.25,0.16,0.2464222279528879,0.0743731035158428,0.24652375,0.07546852,0.0011001109034152693,COMPLETED,,0.24642609375,0.07436956166666668,1.2643976860428465e-06,1.6683226086661733e-21,1.2643976860428482e-06,True,True,0,0.03,0.008,12,348.2131485629361,5.243003232707969e-06
15,C02,1.05,0.225,0.1469792621771554,0.0747033476696535,0.1271597,0.07293977,0.019897870516490702,COMPLETED,,0.14698391874999997,0.07470539499999997,1.6279472457302695e-06,2.0318848573583795e-20,1.6279472457302899e-06,True,True,0,0.03,0.008,12,336.7169817369431,5.086770311733068e-06
46,C22,1.55,0.26,0.4189715103041552,0.0011522371683095,0.4140056,0.0038384001,0.005645860115562826,COMPLETED,,0.41897630312499995,0.001152425009488932,2.2008155737630647e-06,4.5351421621738255e-21,2.2008155737630693e-06,True,True,0,0.015,0.008,12,467.55012640194036,4.796500386596999e-06
45,C22,1.45,0.235,0.3745136540289731,0.0171237709666125,0.37042648,0.017950771,0.004170002469823598,COMPLETED,,0.374518276875,0.017122646000000002,1.9571950038564336e-06,5.263192396074111e-22,1.957195003856434e-06,True,True,0,0.015,0.008,12,423.0728273530258,4.7577573779972215e-06
32,C12,1.25,0.285,0.3004516982633556,0.0149416772739879,0.29827845,0.011283672,0.004254880797237634,COMPLETED,,0.30045618437499994,0.014940600554687496,2.2756089795330335e-06,6.16460087550391e-21,2.27560897953304e-06,True,True,0,0.015,0.03,12,418.63056783005595,4.6135151606192276e-06
54,C31,1.7,0.12,0.4243596505971577,0.0309763785020722,0.42251962,0.031869106,0.0020451589141269617,COMPLETED,,0.42435555750000004,0.030978480999999992,9.789182057557966e-07,6.76823813080299e-21,9.789182057558034e-07,True,True,0,0.06,0.008,12,365.3254235140048,4.6015151720239154e-06
10,C01,1.15,0.2,0.2086070430962784,0.0722196863696432,0.20400375,0.072363436,0.004605537024763989,COMPLETED,,0.20860335937500005,0.07221695162499998,1.4073979817216666e-06,1.861418103360003e-21,1.4073979817216685e-06,True,True,0,0.015,0.015,12,348.62578982894775,4.587878673213261e-06
23,C10,1.35,0.055,0.2048051278829152,0.0932814022118254,0.20358966,0.08956784,0.003907416854585128,COMPLETED,,0.20480059750000001,0.09328138166666668,2.2835544576220112e-07,2.392816778104226e-21,2.283554457622035e-07,True,True,0,0.06,0.008,12,352.8714387960499,4.530429500792506e-06
22,C10,1.3,0.085,0.2134213938242283,0.0967386008453398,0.226322,0.09896847,0.01309190422166552,COMPLETED,,0.21342160937500002,0.096734095,4.3509490994784446e-07,5.149997642153618e-21,4.350949099478496e-07,True,True,0,0.015,0.008,12,367.41588675498497,4.510998155772155e-06
34,C12,1.4,0.21,0.3451000202138525,0.031492731749407,0.3473994,0.030692592,0.0024346192760932735,COMPLETED,,0.34510447812499995,0.03149337325,1.6326064198280358e-06,1.0169750440443892e-21,1.632606419828037e-06,True,True,0,0.015,0.03,12,490.21763411106076,4.503831125760106e-06
36,C20,1.45,0.105,0.3134370510761152,0.0607481498786416,0.30462837,0.06579061,0.010149840706937228,COMPLETED,,0.3134369637499999,0.060743735,6.643426967923357e-07,6.128809032710769e-21,6.643426967923418e-07,True,True,0,0.03,0.008,12,406.2997128900606,4.415742210597243e-06
38,C20,1.55,0.06,0.3237921600955207,0.0505159341051575,0.3347242,0.044740833,0.012363708555604171,COMPLETED,,0.32379646562500003,0.050516874666666677,3.129907047879901e-07,1.719976810335159e-21,3.129907047879918e-07,True,True,0,0.015,0.008,12,317.3971460660687,4.407067057572239e-06
48,C30,1.7,0.06,0.3910915486397204,0.0336318199900653,0.39211994,0.03360892,0.0010286462946235307,COMPLETED,,0.39109454937499993,0.033634961666666664,3.6637921629184413e-07,1.2879296832313704e-21,3.663792162918454e-07,True,True,0,0.015,0.008,12,330.9042226789752,4.344484329054303e-06
58,C31,1.85,0.125,0.4737811036592556,0.021530581350278,0.4766075,0.022214174,0.0029078884410732664,COMPLETED,,0.4737852343749999,0.02153188233333333,1.014953605232851e-06,7.041892584118079e-21,1.014953605232858e-06,True,True,0,0.015,0.008,12,381.95605369098485,4.3307469876244515e-06
11,C01,1.2,0.19,0.2345470619404851,0.0685917338335152,0.23441899,0.068675615,0.0001530962835292613,COMPLETED,,0.23454594312500002,0.06858772437499998,1.2320826766291435e-06,7.182559924919949e-23,1.2320826766291435e-06,True,True,0,0.015,0.015,12,354.4862524319906,4.162632060966835e-06
35,C12,1.4,0.255,0.360051802461027,0.0134816819704447,0.36287794,0.010054445,0.004442184894933488,COMPLETED,,0.3600556743749999,0.013483178354492186,1.8464489226472882e-06,1.80543881696419e-23,1.8464489226472882e-06,True,True,0,0.015,0.03,12,525.5995903000003,4.1510098808599815e-06
63,C32,1.8,0.21,0.4844803096378324,0.0052840046266204,0.48468897,0.0056358916,0.00040910095181283766,COMPLETED,,0.484483891875,0.005282005552539061,1.495610039908764e-06,7.588285038691364e-21,1.4956100399087717e-06,True,True,0,0.015,0.03,12,460.0040507130325,4.102282329114602e-06
29,C11,1.35,0.155,0.2967549899429557,0.0596339037531516,0.2981391,0.059402328,0.0014033488445354305,COMPLETED,,0.29675238125,0.059636702999999985,9.359543378907132e-07,4.120810497237575e-21,9.359543378907174e-07,True,True,0,0.03,0.008,12,350.0064069259679,3.826364051598186e-06
42,C21,1.55,0.12,0.3676123448280693,0.0442350462458262,0.3638293,0.04504602,0.0038689929699006398,COMPLETED,,0.36760859687499997,0.04423547312500001,7.364016356790779e-07,6.794422401921565e-21,7.364016356790847e-07,True,True,0,0.015,0.015,12,348.812932333909,3.7721847832571114e-06
