benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error
1,C00,1.1,0.09,1.812993186489701e-09,0.1849919122211095,0.046738267,0.10656137,0.09130068666657558,COMPLETED,,0.0,0.10920720333333334,1.0883281875750526e-08,3.4383089310771255e-21,1.0883281875753964e-08,True,True,0,0.06,0.008,12,248.59323667897843,0.07578470888777619
9,C01,1.15,0.175,0.193178755219419,0.0858418261519786,0.19654015,0.0692437,0.016935075040516154,COMPLETED,,0.193171009375,0.08583549687500001,2.535168632976634e-06,1.34036322760711e-22,2.535168632976634e-06,True,True,0,0.015,0.015,12,330.2569212850649,1.0002892223493242e-05
58,C31,1.85,0.125,0.4737811036592556,0.021530581350278,0.47448444,0.021258198,0.0007542378257025008,COMPLETED,,0.47377154937499993,0.02153248724804687,2.2835356061722272e-06,7.04010392090158e-21,2.2835356061722344e-06,True,True,0,0.015,0.03,12,370.3913780900184,9.742525029117766e-06
21,C02,1.2,0.315,0.283776640858734,0.0058299567246247,0.2739339,0.004920881,0.009884632835128143,COMPLETED,,0.28376788437500006,0.005830165889648439,4.8042657102223235e-06,1.5129068051202044e-20,4.804265710222339e-06,True,True,0,0.015,0.008,12,415.9623637329787,8.758981526976708e-06
4,C00,1.2,0.075,0.1254037605689256,0.1278442189910901,0.10354346,0.14605139,0.02844949590258952,COMPLETED,,0.12539892875,0.127838499375,4.844951740615612e-07,4.498491322430102e-21,4.844951740615657e-07,True,True,0,0.03,0.015,12,268.3812684280565,7.487354829850479e-06
34,C12,1.4,0.21,0.3451000202138525,0.031492731749407,0.34651026,0.030815,0.001564639440442322,COMPLETED,,0.3450942443750001,0.03148882812500001,2.5272855058325175e-06,1.0186185024229242e-21,2.5272855058325184e-06,True,True,0,0.015,0.015,12,389.72566059604287,6.971269465452627e-06
63,C32,1.8,0.21,0.4844803096378324,0.0052840046266204,0.48518005,0.0057860385,0.0008612053091260745,COMPLETED,,0.484486690625,0.0052812704347330736,2.5307434860045894e-06,7.589987271940503e-21,2.530743486004597e-06,True,True,0,0.015,0.008,12,445.96451716602314,6.942103608400713e-06
41,C21,1.5,0.205,0.3845145331817926,0.0238977814289654,0.38161904,0.024167713,0.0029080481115085362,COMPLETED,,0.3845194306250001,0.023902088,2.3522713761412265e-06,2.9821168824590887e-21,2.3522713761412295e-06,True,True,0,0.015,0.008,12,403.2465969310142,6.521618207700617e-06
19,C02,1.15,0.23,0.2240340200598721,0.0560742848095208,0.22613992,0.0545415,0.0026046581023482433,COMPLETED,,0.224040310625,0.056074703125,2.3319917669677875e-06,5.992595248747812e-21,2.3319917669677934e-06,True,True,0,0.015,0.015,12,348.52495180093683,6.30445853886374e-06
24,C10,1.35,0.09,0.2484573310607619,0.0834671719506741,0.27021074,0.083843075,0.021756656534959982,COMPLETED,,0.24845292749999995,0.08346286666666668,6.78345735271148e-07,5.347729274754014e-21,6.783457352711534e-07,True,True,0,0.06,0.008,12,303.0673847240396,6.158475279546112e-06
