dataset,source_id,chart,Mach,alpha,reference_ci
T401,6,C00,1.0,0.125,0.0194746295545811
T401,8,C00,1.05,0.06,0.026850382922755
T401,12,C00,1.05,0.1,0.0546998175409827
T401,14,C00,1.1,0.095,0.1439719750936911
T401,15,C00,1.1,0.11,0.1346775747592678
T401,16,C00,1.15,0.06,0.1998472244836177
T401,24,C00,1.2,0.08,0.1252466098615217
T401,30,C01,1.0,0.15,0.0321062949597958
T401,31,C01,1.0,0.16,0.0394369303198964
T401,45,C01,1.1,0.12,0.1285506661833083
T401,48,C01,1.1,0.165,0.1015900294887648
T401,50,C01,1.1,0.19,0.0869943604140983
T401,52,C01,1.15,0.12,0.1164175356042111
T401,58,C01,1.15,0.1875,0.0790109172963611
T401,59,C01,1.15,0.195,0.074931515120691
T401,63,C01,1.2,0.15,0.089063544049155
T401,68,C01,1.2,0.205,0.0609592307494944
T401,72,C02,1.0,0.24,0.0699141772819918
T401,74,C02,1.0,0.26,0.0579073250083236
T401,77,C02,1.0,0.275,0.0490435280560056
T401,86,C02,1.05,0.245,0.0628719847849637
T401,87,C02,1.05,0.255,0.0570224832728613
T401,97,C02,1.1,0.23,0.0641319550045144
T401,99,C02,1.1,0.26,0.0473401459935351
T401,100,C02,1.1,0.27,0.0418049284949206
T401,101,C02,1.1,0.28,0.0362992172070976
T401,105,C02,1.1,0.315,0.0172498403916324
T401,108,C02,1.1,0.345,0.0011771278177396
T401,112,C02,1.15,0.245,0.048079054596058
T401,116,C02,1.15,0.295,0.0217781061290199
T401,120,C02,1.15,0.335,0.0011041412933339
T401,122,C02,1.2,0.22,0.0533524111085035
T401,131,C10,1.25,0.055,0.1227178308038424
T401,132,C10,1.25,0.06,0.1205332173435139
T401,134,C10,1.25,0.07,0.1161052740495865
T401,135,C10,1.25,0.085,0.1093447708499076
T401,151,C10,1.4,0.065,0.0787065106241082
T401,153,C10,1.4,0.09,0.0732297072154944
T401,158,C11,1.25,0.13,0.0885168779525414
T401,159,C11,1.25,0.135,0.0861695821740407
T401,171,C11,1.3,0.19,0.0524040829124998
T401,173,C11,1.35,0.12,0.0730358087275012
T401,174,C11,1.35,0.13,0.0693127042819089
T401,179,C11,1.35,0.19,0.0454576540431336
T401,181,C11,1.35,0.205,0.0392299223989418
T401,185,C11,1.4,0.17,0.0468651382343523
T401,196,C12,1.25,0.28,0.0173117979143134
T401,198,C12,1.25,0.305,0.0054796730125314
T401,201,C12,1.3,0.23,0.0345485414177597
T401,205,C12,1.3,0.27,0.0165434109647926
T401,207,C12,1.3,0.29,0.0075259175747822
T401,210,C12,1.35,0.225,0.0308281493607343
T401,213,C12,1.35,0.255,0.0180792982433239
T401,219,C12,1.4,0.25,0.0155067696233285
T401,221,C12,1.4,0.27,0.0073819678356949
T401,228,C20,1.45,0.11,0.0594747193281552
T401,235,C20,1.55,0.055,0.0500136695789316
T401,241,C20,1.6,0.05,0.0421909590288649
T401,243,C20,1.6,0.07,0.0444157003676643
T401,244,C20,1.6,0.08,0.0443109431210614
T401,246,C20,1.6,0.105,0.0417841166306905
T401,251,C21,1.45,0.145,0.0492167811364693
T401,252,C21,1.45,0.15,0.0476035893642579
T401,253,C21,1.45,0.155,0.0459618202213174
T401,259,C21,1.5,0.145,0.0433022950552245
T401,268,C21,1.55,0.175,0.0295124929276855
T401,270,C21,1.55,0.195,0.0232386568260199
T401,275,C21,1.6,0.165,0.0283818407079103
T401,279,C21,1.6,0.205,0.0165597496753443
T401,283,C22,1.45,0.24,0.015218336859977
T401,285,C22,1.45,0.265,0.0055929692429906
T401,289,C22,1.5,0.25,0.0077922850962732
T401,290,C22,1.5,0.26,0.004115655538778
T401,295,C22,1.55,0.24,0.0081451682787826
T401,296,C22,1.55,0.255,0.0029122494920112
T401,302,C30,1.65,0.06,0.0382282042683652
T401,304,C30,1.65,0.07,0.0390396543196021
T401,305,C30,1.65,0.075,0.0391659824628922
T401,316,C30,1.7,0.115,0.0317496256303763
T401,321,C30,1.75,0.095,0.0304656084045474
T401,323,C30,1.8,0.05,0.0249681660027234
T401,324,C30,1.8,0.065,0.0271417206997999
T401,328,C30,1.85,0.055,0.0232188116701575
T401,330,C30,1.85,0.075,0.0249820528631137
T401,339,C30,1.9,0.11,0.021133384910942
T401,357,C31,1.7,0.195,0.0137422547294503
T401,363,C31,1.75,0.165,0.018828570909226
T401,364,C31,1.75,0.17,0.0176460441250757
T401,365,C31,1.75,0.18,0.0151923791554015
T401,368,C31,1.8,0.12,0.0247637524176646
T401,371,C31,1.8,0.16,0.017481000149528
T401,373,C31,1.8,0.18,0.0129033521196374
T401,374,C31,1.8,0.19,0.0104499966754561
T401,381,C31,1.85,0.185,0.0097156225772121
T401,382,C31,1.85,0.195,0.007309950569727
T401,387,C31,1.9,0.18,0.009096481823104
T401,388,C31,1.9,0.205,0.0032484016832047
T401,393,C32,1.65,0.24,0.0027754388739638
T401,397,C32,1.75,0.215,0.0058666599725996
T401,399,C32,1.8,0.22,0.0025938712316997
