ranking_metric,stage,dataset,source_id,chart,Mach,alpha,ranking_value
r_kappa_normalized_rms,joint,V64,46,C22,1.55,0.26,0.02882159069227744
r_kappa_normalized_rms,joint,T401,295,C22,1.55,0.24,0.024245310743086865
r_kappa_normalized_rms,joint,T401,296,C22,1.55,0.255,0.022926334374755948
r_kappa_normalized_rms,joint,T401,283,C22,1.45,0.24,0.021688975162942065
r_kappa_normalized_rms,joint,T401,289,C22,1.5,0.25,0.020782082787925177
r_kappa_normalized_rms,joint,V64,63,C32,1.8,0.21,0.01953639171393511
r_kappa_normalized_rms,joint,T401,388,C31,1.9,0.205,0.01946666813777503
r_kappa_normalized_rms,joint,T401,290,C22,1.5,0.26,0.018761706547213923
r_kappa_normalized_rms,joint,V64,47,C22,1.6,0.22,0.018713321611051693
r_kappa_normalized_rms,joint,V64,62,C32,1.75,0.21,0.01864759265471569
r_kappa_normalized_rms,joint,V64,13,C02,1.0,0.315,0.018520169399598177
r_kappa_normalized_rms,joint,V64,16,C02,1.05,0.35,0.018322683921288926
r_kappa_normalized_rms,joint,T401,285,C22,1.45,0.265,0.017890165593254043
r_kappa_normalized_rms,joint,V64,21,C02,1.2,0.315,0.01777608486255839
r_kappa_normalized_rms,joint,T401,6,C00,1.0,0.125,0.01762808712880581
r_kappa_normalized_rms,joint,V64,45,C22,1.45,0.235,0.017460259017947427
r_kappa_normalized_rms,joint,T401,116,C02,1.15,0.295,0.017065898263962518
r_kappa_normalized_rms,joint,T401,399,C32,1.8,0.22,0.01705006841270626
r_kappa_normalized_rms,joint,T401,397,C32,1.75,0.215,0.016882339147918344
r_kappa_normalized_rms,joint,T401,77,C02,1.0,0.275,0.01657847418842048
r_q_normalized_rms,joint,V64,46,C22,1.55,0.26,0.028241159963184194
r_q_normalized_rms,joint,T401,295,C22,1.55,0.24,0.027697457420810017
r_q_normalized_rms,joint,T401,283,C22,1.45,0.24,0.026389388610065543
r_q_normalized_rms,joint,T401,289,C22,1.5,0.25,0.02406229756784128
r_q_normalized_rms,joint,T401,296,C22,1.55,0.255,0.02147191469326141
r_q_normalized_rms,joint,T401,285,C22,1.45,0.265,0.020282158835071753
r_q_normalized_rms,joint,T401,323,C30,1.8,0.05,0.018726966258704625
r_q_normalized_rms,joint,T401,290,C22,1.5,0.26,0.018500298542758396
r_q_normalized_rms,joint,V64,63,C32,1.8,0.21,0.01772943252431569
r_q_normalized_rms,joint,T401,399,C32,1.8,0.22,0.017286375475572893
r_q_normalized_rms,joint,T401,6,C00,1.0,0.125,0.017048438185411338
r_q_normalized_rms,joint,V64,7,C01,1.0,0.18,0.016085579207655645
r_q_normalized_rms,joint,T401,397,C32,1.75,0.215,0.01606971819668409
r_q_normalized_rms,joint,V64,53,C30,1.9,0.075,0.016056216223996007
r_q_normalized_rms,joint,T401,339,C30,1.9,0.11,0.01562886451078246
r_q_normalized_rms,joint,V64,47,C22,1.6,0.22,0.015542171216874985
r_q_normalized_rms,joint,V64,62,C32,1.75,0.21,0.01543517399976729
r_q_normalized_rms,joint,T401,388,C31,1.9,0.205,0.0153484694095449
r_q_normalized_rms,joint,V64,45,C22,1.45,0.235,0.0150216956386632
r_q_normalized_rms,joint,T401,30,C01,1.0,0.15,0.014896962817981333
r_logamp_normalized_rms,joint,V64,13,C02,1.0,0.315,0.013466601041845737
r_logamp_normalized_rms,joint,T401,68,C01,1.2,0.205,0.013237383174558023
r_logamp_normalized_rms,joint,T401,63,C01,1.2,0.15,0.012450952153978633
r_logamp_normalized_rms,joint,T401,86,C02,1.05,0.245,0.011906347894125334
r_logamp_normalized_rms,joint,V64,11,C01,1.2,0.19,0.011894458526238676
r_logamp_normalized_rms,joint,T401,388,C31,1.9,0.205,0.011846463589029445
r_logamp_normalized_rms,joint,T401,74,C02,1.0,0.26,0.011801567962904503
r_logamp_normalized_rms,joint,T401,116,C02,1.15,0.295,0.01161408937060722
r_logamp_normalized_rms,joint,V64,47,C22,1.6,0.22,0.011406095369806286
r_logamp_normalized_rms,joint,V64,10,C01,1.15,0.2,0.011095928172229985
r_logamp_normalized_rms,joint,V64,9,C01,1.15,0.175,0.010921996900773714
r_logamp_normalized_rms,joint,V64,21,C02,1.2,0.315,0.010909021103780009
r_logamp_normalized_rms,joint,V64,7,C01,1.0,0.18,0.010888045166245405
r_logamp_normalized_rms,joint,T401,52,C01,1.15,0.12,0.010849302491505557
r_logamp_normalized_rms,joint,T401,100,C02,1.1,0.27,0.010845747190743509
r_logamp_normalized_rms,joint,V64,63,C32,1.8,0.21,0.010839790347328609
r_logamp_normalized_rms,joint,T401,58,C01,1.15,0.1875,0.010632592579972852
r_logamp_normalized_rms,joint,T401,290,C22,1.5,0.26,0.010427513527192728
r_logamp_normalized_rms,joint,T401,399,C32,1.8,0.22,0.010356407785954667
r_logamp_normalized_rms,joint,T401,295,C22,1.55,0.24,0.010343820869814913
bc_kappa_rmse,joint,V64,11,C01,1.2,0.19,0.005294923993888633
