stage,dataset,source,metric,n,median,p90,p95,max
joint,T401,independent_xi_pointwise,r_kappa_abs,102656,0.0065259067341685295,0.01985397282987833,0.026028685737401247,0.3067721724510193
joint,T401,independent_xi_pointwise,r_q_abs,102656,0.006253276718780398,0.01846551802009344,0.023805162869393826,0.3290388882160187
joint,T401,independent_xi_pointwise,r_logamp_abs,102656,0.003937520552426577,0.012472701724618673,0.01646313676610589,0.1716393083333969
joint,V64,independent_xi_pointwise,r_kappa_abs,16384,0.006457335548475385,0.019506130926311028,0.02603625366464255,0.2860665023326874
joint,V64,independent_xi_pointwise,r_q_abs,16384,0.006232690764591098,0.018119283951818943,0.02339753620326519,0.34069424867630005
joint,V64,independent_xi_pointwise,r_logamp_abs,16384,0.003835149109363556,0.012003779597580437,0.015796512085944413,0.13302628695964813
joint,T401,coordinate_level,r_kappa_normalized_rms,401,0.009810515507622852,0.017065898263962518,0.0205069574393535,0.029115922716279292
joint,T401,coordinate_level,r_q_normalized_rms,401,0.00942565919944893,0.01562886451078246,0.018525961705988983,0.03099680377853665
joint,T401,coordinate_level,r_logamp_normalized_rms,401,0.007378355757284624,0.010845747190743509,0.011906347894125334,0.01928980045014598
joint,T401,coordinate_level,bc_kappa_rmse,401,0.0009624402873782298,0.003409250696884645,0.00432519554300538,0.005638553566776679
joint,T401,coordinate_level,bc_q_rmse,401,0.0009601649306741944,0.002381909141747707,0.0032648156804439693,0.006040395752760321
joint,T401,coordinate_level,bc_kappa_max_abs,401,0.0012329407036304474,0.004393711686134338,0.005461845546960831,0.007920630276203156
joint,T401,coordinate_level,bc_q_max_abs,401,0.001188822090625763,0.0031641479581594467,0.004016712307929993,0.00851970911026001
joint,V64,coordinate_level,r_kappa_normalized_rms,64,0.009548461472334428,0.0176813371091751,0.01862847916644806,0.02882159069227744
joint,V64,coordinate_level,r_q_normalized_rms,64,0.009471440019105656,0.014763782252161175,0.01597910947292785,0.028241159963184194
joint,V64,coordinate_level,r_logamp_normalized_rms,64,0.006936120991755109,0.010873568720570366,0.011069838481511543,0.013466601041845737
joint,V64,coordinate_level,bc_kappa_rmse,64,0.000846356172635127,0.0032189477001788335,0.0037976081775118026,0.005294923993888633
joint,V64,coordinate_level,bc_q_rmse,64,0.0010299011028425157,0.0024129409627388987,0.003311348337281621,0.004733710773266401
joint,V64,coordinate_level,bc_kappa_max_abs,64,0.0010689347982406616,0.0038294602185487757,0.004705385211855172,0.007470138370990753
joint,V64,coordinate_level,bc_q_max_abs,64,0.001160917803645134,0.0032169493846595297,0.0035890772473067037,0.006569087505340576
joint,,independent_xi_pointwise_combined,r_kappa_abs,119040,0.006515114335343242,0.019819212146103386,0.026029648352414326,0.3067721724510193
joint,,independent_xi_pointwise_combined,r_q_abs,119040,0.006251156097277999,0.018423358723521233,0.02375316228717564,0.34069424867630005
joint,,independent_xi_pointwise_combined,r_logamp_abs,119040,0.003925108816474676,0.012407897040247919,0.016362471599131817,0.1716393083333969
joint,,coordinate_level_combined,r_kappa_normalized_rms,465,0.009789191807498316,0.017095784852061112,0.020187890276391243,0.029115922716279292
joint,,coordinate_level_combined,r_q_normalized_rms,465,0.009442873363971956,0.015459313154578682,0.018137262875579808,0.03099680377853665
joint,,coordinate_level_combined,r_logamp_normalized_rms,465,0.007329609496396704,0.010847880371200738,0.011837484463804454,0.01928980045014598
joint,,coordinate_level_combined,bc_kappa_rmse,465,0.0009303717394294312,0.0033621582991479613,0.004207191421669392,0.005638553566776679
joint,,coordinate_level_combined,bc_q_rmse,465,0.0009629802852307375,0.0023872828458631106,0.003311137147761046,0.006040395752760321
joint,,coordinate_level_combined,bc_kappa_max_abs,465,0.0012070239754393697,0.00435563251376152,0.005287577211856839,0.007920630276203156
joint,,coordinate_level_combined,bc_q_max_abs,465,0.001178741455078125,0.0031830438412725932,0.003998351283371444,0.00851970911026001
