[info] dataset: assets/pinn_supersonic/datasets/fixedM_M180_alpha_branch_pq_modal_anchors_tail_polished.npz
[info] run dir: assets/pinn_supersonic/runs/pinn_chart_M180_alpha_070_190_pq_supervised_tail_polished_asinh_w192_d6
[info] device: cuda
[info] n train rows: 216482
[info] n val rows: 216482
[info] n spectral anchors: 49
[epoch 000001] train=1.9599e+00 modal=9.9296e-01 spec=9.6692e-01 val=1.8551e+00
[epoch 000050] train=1.6991e-02 modal=1.6936e-02 spec=5.5313e-05 val=1.7118e-02
[epoch 000100] train=1.1007e-02 modal=1.1003e-02 spec=3.6446e-06 val=1.0949e-02
[epoch 000150] train=8.2964e-03 modal=8.2949e-03 spec=1.5686e-06 val=8.2799e-03
[epoch 000200] train=6.5250e-03 modal=6.5242e-03 spec=7.8639e-07 val=6.3957e-03
[epoch 000250] train=4.9205e-03 modal=4.9200e-03 spec=4.3919e-07 val=4.9606e-03
[epoch 000300] train=3.9672e-03 modal=3.9668e-03 spec=3.7389e-07 val=3.9083e-03
[epoch 000350] train=3.1377e-03 modal=3.1374e-03 spec=2.3406e-07 val=3.2178e-03
[epoch 000400] train=2.6882e-03 modal=2.6806e-03 spec=7.5542e-06 val=2.7085e-03
[epoch 000450] train=2.4089e-03 modal=2.4087e-03 spec=1.6964e-07 val=2.3459e-03
[epoch 000500] train=2.3075e-03 modal=2.3071e-03 spec=3.5327e-07 val=2.1854e-03
[epoch 000550] train=2.0443e-03 modal=2.0310e-03 spec=1.3358e-05 val=1.9638e-03
[epoch 000600] train=1.8868e-03 modal=1.8866e-03 spec=1.2944e-07 val=2.2473e-03
[epoch 000650] train=1.5777e-03 modal=1.5772e-03 spec=4.6536e-07 val=1.5493e-03
[epoch 000700] train=1.5790e-03 modal=1.5788e-03 spec=2.2914e-07 val=1.8185e-03
[epoch 000750] train=1.2969e-03 modal=1.2947e-03 spec=2.2360e-06 val=1.3104e-03
[epoch 000800] train=1.2048e-03 modal=1.2047e-03 spec=1.1602e-07 val=1.1743e-03
[epoch 000850] train=1.1172e-03 modal=1.1171e-03 spec=1.2266e-07 val=1.1544e-03
[epoch 000900] train=1.1734e-03 modal=1.1733e-03 spec=1.3388e-07 val=1.0304e-03
[epoch 000950] train=9.4671e-04 modal=9.4657e-04 spec=1.3170e-07 val=9.2316e-04
[epoch 001000] train=1.0762e-03 modal=1.0761e-03 spec=1.1224e-07 val=1.0971e-03
[epoch 001050] train=9.8085e-04 modal=9.8073e-04 spec=1.1177e-07 val=8.9514e-04
[epoch 001100] train=9.5718e-04 modal=9.5707e-04 spec=1.1158e-07 val=8.2713e-04
[epoch 001150] train=8.1113e-04 modal=8.1102e-04 spec=1.1102e-07 val=9.2295e-04
[epoch 001200] train=7.8501e-04 modal=7.8490e-04 spec=1.1055e-07 val=7.6408e-04
[epoch 001250] train=7.8237e-04 modal=7.8225e-04 spec=1.1561e-07 val=7.7504e-04
[epoch 001300] train=8.1955e-04 modal=8.1916e-04 spec=3.8930e-07 val=7.1776e-04
[epoch 001350] train=7.7389e-04 modal=7.7370e-04 spec=1.9408e-07 val=6.6595e-04
