metric,mismatch,ecdf
stage1_mismatch,1.2221093798208925e-08,0.002
stage1_mismatch,1.6927990985319974e-08,0.004
stage1_mismatch,2.2737790066722715e-08,0.006
stage1_mismatch,2.7850782074292193e-08,0.008
stage1_mismatch,3.0904362177467e-08,0.01
stage1_mismatch,4.91958478189548e-08,0.012
stage1_mismatch,5.3062321143758924e-08,0.014
stage1_mismatch,5.798680783499303e-08,0.016
stage1_mismatch,7.402507068287099e-08,0.018
stage1_mismatch,8.22918145232508e-08,0.02
stage1_mismatch,8.470009408747613e-08,0.022
stage1_mismatch,9.184313853882916e-08,0.024
stage1_mismatch,9.962805369840985e-08,0.026
stage1_mismatch,1.0625395705290964e-07,0.028
stage1_mismatch,1.0694186379727909e-07,0.03
stage1_mismatch,1.1153890199692689e-07,0.032
stage1_mismatch,1.1848813045524556e-07,0.034
stage1_mismatch,1.2360973999309185e-07,0.036
stage1_mismatch,1.2905740500363708e-07,0.038
stage1_mismatch,1.3425750742409325e-07,0.04
stage1_mismatch,1.3815366566144944e-07,0.042
stage1_mismatch,1.3997413462017533e-07,0.044
stage1_mismatch,1.4768539589061053e-07,0.046
stage1_mismatch,1.5405031264710953e-07,0.048
stage1_mismatch,1.552242525085144e-07,0.05
stage1_mismatch,1.6303092729027681e-07,0.052
stage1_mismatch,1.726265185912467e-07,0.054
stage1_mismatch,1.7614249248450414e-07,0.056
stage1_mismatch,1.781639618302289e-07,0.058
stage1_mismatch,1.7859987638829933e-07,0.06
stage1_mismatch,1.7907221519390365e-07,0.062
stage1_mismatch,1.8432112509426161e-07,0.064
stage1_mismatch,1.843290058774533e-07,0.066
stage1_mismatch,2.0243969820517978e-07,0.068
stage1_mismatch,2.034362697932783e-07,0.07
stage1_mismatch,2.044805052657296e-07,0.072
stage1_mismatch,2.158365237097845e-07,0.074
stage1_mismatch,2.190788054881234e-07,0.076
stage1_mismatch,2.362129145236405e-07,0.078
stage1_mismatch,2.396259936238236e-07,0.08
stage1_mismatch,2.434307472311092e-07,0.082
stage1_mismatch,2.509766413315644e-07,0.084
stage1_mismatch,2.535325233786949e-07,0.086
stage1_mismatch,2.5779045267625425e-07,0.088
stage1_mismatch,2.616271207969339e-07,0.09
stage1_mismatch,2.629912470662564e-07,0.092
stage1_mismatch,2.6317853437441417e-07,0.094
stage1_mismatch,2.766510841066612e-07,0.096
stage1_mismatch,2.7782553812103773e-07,0.098
stage1_mismatch,2.78761568944826e-07,0.1
stage1_mismatch,2.878780234332264e-07,0.102
stage1_mismatch,2.891704479254336e-07,0.104
stage1_mismatch,2.924160884172663e-07,0.106
stage1_mismatch,2.995513885838326e-07,0.108
stage1_mismatch,3.000796909304465e-07,0.11
stage1_mismatch,3.131433414512818e-07,0.112
stage1_mismatch,3.138732565319578e-07,0.114
stage1_mismatch,3.18851385847201e-07,0.116
stage1_mismatch,3.201106609460683e-07,0.118
stage1_mismatch,3.22904095718459e-07,0.12
stage1_mismatch,3.292531944718887e-07,0.122
stage1_mismatch,3.2971556437883577e-07,0.124
stage1_mismatch,3.3127648655105745e-07,0.126
stage1_mismatch,3.3206412272048e-07,0.128
stage1_mismatch,3.366283163624459e-07,0.13
stage1_mismatch,3.4036507819814373e-07,0.132
stage1_mismatch,3.437217924972543e-07,0.134
stage1_mismatch,3.461769332050105e-07,0.136
stage1_mismatch,3.484830028739343e-07,0.138
stage1_mismatch,3.57076676518662e-07,0.14
stage1_mismatch,3.585960009913019e-07,0.142
stage1_mismatch,3.586277180791051e-07,0.144
stage1_mismatch,3.5877830335596245e-07,0.146
stage1_mismatch,3.65976949478496e-07,0.148
stage1_mismatch,3.662527171264994e-07,0.15
stage1_mismatch,3.730287552222042e-07,0.152
stage1_mismatch,3.796837189809618e-07,0.154
stage1_mismatch,3.803357160124978e-07,0.156
stage1_mismatch,3.807333882254477e-07,0.158
stage1_mismatch,3.811554921604778e-07,0.16
stage1_mismatch,3.859909551441439e-07,0.162
stage1_mismatch,3.8675810238583537e-07,0.164
stage1_mismatch,3.88354433343549e-07,0.166
stage1_mismatch,3.892310887445886e-07,0.168
stage1_mismatch,3.903865545955609e-07,0.17
stage1_mismatch,3.923089516331973e-07,0.172
stage1_mismatch,3.971573461190334e-07,0.174
stage1_mismatch,4.002553099809448e-07,0.176
stage1_mismatch,4.107638454890716e-07,0.178
stage1_mismatch,4.1530652041197634e-07,0.18
stage1_mismatch,4.376939034656852e-07,0.182
