benchmark_id,atlas_chart,Mach,alpha,shoot_stage1_mismatch,shoot_stage2_mismatch,stage1_fraction_of_nominal,stage2_fraction_of_nominal,critical_common_multiplier
0,C00,1.018,0.05775,2.78761568944826e-07,1.835797852800304e-22,5.57523137889652e-06,1.835797852800304e-20,5.57523137889652e-06
1,C00,1.018,0.07325,3.8675810238583537e-07,4.83070426416987e-22,7.735162047716706e-06,4.8307042641698695e-20,7.735162047716706e-06
2,C00,1.018,0.08875,1.1379880315529997e-06,1.023386352490531e-21,2.2759760631059992e-05,1.023386352490531e-19,2.2759760631059992e-05
3,C00,1.018,0.10425,3.0904362177467e-08,1.8915819734304432e-21,6.1808724354934e-07,1.8915819734304432e-19,6.1808724354934e-07
4,C00,1.018,0.11975,8.842781824566722e-07,3.0007222018158213e-21,1.7685563649133444e-05,3.0007222018158213e-19,1.7685563649133444e-05
5,C00,1.054,0.05775,1.0625395705290964e-07,2.8769395047368723e-22,2.1250791410581927e-06,2.876939504736872e-20,2.1250791410581927e-06
6,C00,1.054,0.07325,5.3062321143758924e-08,7.957221018302623e-22,1.0612464228751783e-06,7.957221018302622e-20,1.0612464228751783e-06
7,C00,1.054,0.08875,2.2737790066722715e-08,1.74040691484924e-21,4.547558013344543e-07,1.74040691484924e-19,4.547558013344543e-07
8,C00,1.054,0.10425,5.798680783499303e-08,3.0201663015902878e-21,1.1597361566998605e-06,3.020166301590288e-19,1.1597361566998605e-06
9,C00,1.09,0.05775,4.1530652041197634e-07,4.941430894973915e-22,8.306130408239527e-06,4.941430894973915e-20,8.306130408239527e-06
10,C00,1.09,0.07325,2.434307472311092e-07,1.3648429817242249e-21,4.868614944622183e-06,1.3648429817242249e-19,4.868614944622183e-06
11,C00,1.09,0.08875,8.470009408747613e-08,2.920693017132175e-21,1.6940018817495225e-06,2.920693017132175e-19,1.6940018817495225e-06
12,C00,1.09,0.10425,3.5877830335596245e-07,2.057141262371903e-21,7.175566067119249e-06,2.057141262371903e-19,7.175566067119249e-06
13,C00,1.126,0.05775,1.3425750742409325e-07,8.9792301111605e-22,2.685150148481865e-06,8.979230111160501e-20,2.685150148481865e-06
14,C00,1.126,0.07325,8.22918145232508e-08,2.6546890047179577e-21,1.645836290465016e-06,2.6546890047179577e-19,1.645836290465016e-06
15,C00,1.126,0.08875,1.2905740500363708e-07,3.890529084364467e-21,2.5811481000727416e-06,3.8905290843644667e-19,2.5811481000727416e-06
16,C00,1.126,0.10425,3.730287552222042e-07,3.333757790387303e-21,7.460575104444084e-06,3.333757790387303e-19,7.460575104444084e-06
17,C00,1.162,0.05775,2.7850782074292193e-08,2.0730842014170637e-21,5.570156414858438e-07,2.0730842014170636e-19,5.570156414858438e-07
18,C00,1.162,0.07325,2.396259936238236e-07,4.158011048194999e-21,4.7925198724764725e-06,4.158011048194999e-19,4.7925198724764725e-06
