alpha,Mach,cr_final_stage1,ci_final_stage1,stage1_mismatch_stage1,stage2_mismatch_stage1,cr_final_stage2,ci_final_stage2,stage1_mismatch_stage2,stage2_mismatch_stage2,job_id_stage1,job_id_stage2
0.2,1.1,0.1862246925210644,0.0106599999996593,0.0222806504672629,6035.900788239443,0.1862246925210644,0.0106599999996593,0.0222806504672629,6035.900788239443,1003631,1003631
0.25,1.1,0.2120000000163239,0.0122599999992507,0.0168819457465995,14057.635823652688,0.2050948375439704,0.01065999999986,0.0173006043516913,13283.89618425322,1003636,1003635
0.3,1.1,0.2215732261618633,0.0122599999995949,0.0066575920879153,23640.96037726067,0.2215732261618633,0.0122599999995949,0.0066575920879153,23640.96037726067,1003640,1003640
0.2,1.2,0.2605000000013411,0.0266599999992279,0.0132368087575443,5512.577601203848,0.3405000000000764,0.0437266666631052,0.0252285490632053,3254.0987372665586,939345,939347
0.225,1.2,0.2605000000017642,0.0266599999991972,0.0094582525831469,5511.084201228463,0.3405000000004931,0.0437266666526122,0.0256704643255295,3252.2916070292813,939349,939351
0.25,1.2,0.262456089839478,0.0266599999997723,0.0048869088934025,5681.836127527132,0.300500000000889,0.0351933333237398,0.0144864849653077,4184.691117915833,939353,939354
0.275,1.2,0.2711579962365928,0.0256950430219381,1.5366998805855937e-08,7162.9119969988415,0.2711579962365928,0.0256950430219381,1.5366998805855937e-08,7162.9119969988415,939357,939357
0.3,1.2,0.2792872429230549,0.013253508997737,9.713751623291208e-09,22017.51249963712,0.2792872429230549,0.013253508997737,9.713751623291208e-09,22017.51249963712,939364,939364
0.2,1.3,0.3005000000009258,0.0351933333311624,0.0047189753719818,1652.202746186728,0.3005000000009258,0.0351933333311624,0.0047189753719818,1652.202746186728,939370,939370
0.225,1.3,0.3045620828704627,0.035193333333101,0.0006112978314814,1814.4583269576945,0.3045620828704627,0.035193333333101,0.0006112978314814,1814.4583269576945,939374,939374
0.25,1.3,0.3136049992622497,0.0255557095450457,5.3777270069169365e-09,5847.542117193422,0.3136049992622497,0.0255557095450457,5.3777270069169365e-09,5847.542117193422,939381,939381
0.275,1.3,0.3216319900525193,0.0142890050327251,2.2347774966175377e-08,15241.291994876714,0.3216319830095566,0.0142890224552542,2.4535238054773866e-08,15241.28866513888,939385,939386
0.3,1.3,0.3288397042360604,0.0030189772632032,5.388247642130046e-08,22211.616642455705,0.32883976035967,0.0030191806551645,6.140069288683881e-08,22211.59678025665,971695,971696
0.2,1.4,0.3412710056364831,0.0354084465108106,2.03021417277104e-08,1170.8837150152772,0.3412710056364831,0.0354084465108106,2.03021417277104e-08,1170.8837150152772,971701,971701
0.225,1.4,0.3504650791857912,0.0255507465804655,3.207295371822822e-09,4308.368458214708,0.3504650791857912,0.0255507465804655,3.207295371822822e-09,4308.368458214708,971703,971703
0.25,1.4,0.358547186442015,0.015506792154069,1.0746201008200957e-08,10006.229005265806,0.3585469971623902,0.0155067658133882,8.671077130573256e-08,10006.199141354611,971709,971707
0.275,1.4,0.3657500638708686,0.0053419134770262,1.7943641035534752e-08,15339.634830431743,0.3596666666658868,0.0053651204442205,0.0029973117615101,13995.13352072356,971712,971711
0.3,1.4,0.3817968328637781,9.209799066121925e-06,3.863938576075944e-05,24080.720039819567,0.3591594642515769,1.014399668644216e-05,0.0014254783176733,17920.469227511934,971718,971715
0.2,1.5,0.3827850630380384,0.025627150656721,4.65984459325534e-08,2912.869233118347,0.3596666666664185,0.0191933333270082,0.0096728683435542,1431.4999643954554,971721,971719
0.225,1.5,0.3909952993945869,0.0168455766056018,4.152340509563575e-09,6119.864382180654,0.3596666666663044,0.019193333248656,0.0146264350593981,2087.8581800395027,971724,971723
0.25,1.5,0.3982562583767237,0.0077922733416111,6.527534981409335e-09,10059.671649223395,0.3596666666664601,0.0134504167328707,0.0210002779338634,2929.2579898663776,971728,971727
0.275,1.5,0.3994894826541596,1.366864439365248e-05,1.7520030085076023e-05,13971.440868653606,0.3596666666576296,0.0022629168817222,0.0279463590991924,4301.323249026653,971732,971731
0.3,1.5,0.3990598092335533,8.59996799840426e-06,2.0525274598459935e-05,17093.904789940207,0.3587598592675178,5.355868368416292e-06,0.0166505639482918,5390.145593369917,971780,971778
0.2,1.6,0.4196531935082195,0.0181124288352629,5.4143997578877994e-08,3381.721519911267,0.359666666666372,0.0191933333331125,0.027454708131239,5.69309273004775e-20,971786,971783
0.225,1.6,0.4270124258111908,0.0101898891490481,1.1457545373878136e-08,6148.781962962457,0.3596666666664221,0.0191933333311414,0.0363817550712007,1.365492749893665e-19,973628,971787
0.25,1.6,0.4335653383580177,0.0019464033746004,5.720275976887687e-08,10136.27685951116,0.3596666666662644,0.0191933333302253,0.0466533134784479,0.8757686734770577,973902,973691
0.275,1.6,0.4389871492961864,1.077516353107508e-05,2.376322786509723e-05,14481.51419609293,0.3596666666663496,0.0191933333126587,0.0583009384900818,0.8863683876412974,974268,973953
0.3,1.6,0.4460470888971636,7.5128896869731e-06,0.0003964076128762,20043.39142982037,0.359666666666545,0.0191933333301248,0.0713651694582653,0.8981434797578317,975103,974810
0.1,1.8,0.4487941430897618,0.0270029513535518,3.051958259164543e-08,4.27649738141289e-19,0.3396666666658323,0.0149266666489402,0.0145375374759121,6.481240169236731e-20,939332,939330
0.15,1.8,0.4596666666632518,0.0200345056311906,0.0023448145663129,267.9431823452911,0.2787377643478904,5.650602906691311e-06,0.0091215928120206,2.2159102827658214e-27,939336,939333
