grid_index,i_cr,i_ci,Mach,alpha,cr_center,ci_center,cr_target,ci_target,cr_pinn,ci_pinn,cr_failure_reference,ci_failure_reference,status,technical_success,root_class,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,distance_target,distance_failure,error,seconds,_source_file,cr0,ci0,_cr_key,_ci_key,target_error,failure_branch_error,technical_success_norm,target_recovery_recomputed,worker_class,distance_to_pinn_seed
0,0,0,1.15,0.06,0.0,0.06,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.0016805013020833,0.075984375,0.0009517190373339,1.094299978835058e-21,0.0009517190373339,0.1238742490406997,0.0261347752143078,,21.88443250406999,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0000_0097.csv,0.0,0.06,0.0,0.06,0.12387424904069978,0.02613477521430791,True,False,UNAVAILABLE,0.061399376886089006
25,0,1,1.15,0.06,0.0,0.066,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.00101318359375,0.081984375,0.0006984090794391,1.2463868204026708e-21,0.0006984090794391,0.1178672042366292,0.0201062341543796,,21.828400281025097,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0000_0097.csv,0.0,0.066,0.0,0.066,0.11786720423662926,0.020106234154379683,True,False,UNAVAILABLE,0.05602598934423202
50,0,2,1.15,0.06,0.0,0.072,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.00050537109375,0.087984375,0.0004651971975913,1.403570321884961e-21,0.0004651971975913,0.1118639910655526,0.0140897562370148,,21.93892331107054,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0000_0097.csv,0.0,0.072,0.0,0.072,0.11186399106555263,0.014089756237014814,True,False,UNAVAILABLE,0.050793104669827
75,0,3,1.15,0.06,0.0,0.078,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,0.000167236328125,0.093984375,0.000252678386543,1.5638272688413421e-21,0.000252678386543,0.1058629815829563,0.0080824203593691,,21.639634115970694,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0000_0097.csv,0.0,0.078,0.0,0.078,0.10586298158295639,0.008082420359369138,True,False,UNAVAILABLE,0.045748961540126795
100,0,4,1.15,0.06,0.0,0.0839999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,other,1.1291503906250002e-05,0.099984375,6.132479826865837e-05,1.7262075700165556e-21,6.132479826865837e-05,0.0998628501222718,0.0020807206381829,,21.20632127497811,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0097_0194.csv,0.0,0.0839999999999999,0.0,0.084,0.09986285012227185,0.002080720638182947,True,False,UNAVAILABLE,0.04096334314969918
125,0,5,1.15,0.06,0.0,0.09,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.1020625,5.1585415632899436e-08,1.7832789018070147e-21,5.1585415632901217e-08,0.0977847244836177,2.5649999999960427e-06,,16.962789629935287,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0097_0194.csv,0.0,0.09,0.0,0.09,0.09778472448361772,2.5649999999960427e-06,True,False,UNAVAILABLE,0.03653797315122995
150,0,6,1.15,0.06,0.0,0.096,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.1020625,5.158541562699764e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,16.94370493700262,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0097_0194.csv,0.0,0.096,0.0,0.096,0.09778472448361772,2.5649999999960427e-06,True,False,UNAVAILABLE,0.032619801992041585
175,0,7,1.15,0.06,0.0,0.102,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.1020625,5.1585415632899436e-08,1.7832789018070147e-21,5.1585415632901217e-08,0.0977847244836177,2.5649999999960427e-06,,17.00709385704249,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0097_0194.csv,0.0,0.102,0.0,0.102,0.09778472448361772,2.5649999999960427e-06,True,False,UNAVAILABLE,0.02941223354320444
200,0,8,1.15,0.06,0.0,0.108,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.1020625,5.158541562699764e-08,1.783428932107135e-21,5.158541562699942e-08,0.0977847244836177,2.564999999982165e-06,,17.290870620985515,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0194_0291.csv,0.0,0.108,0.0,0.108,0.09778472448361772,2.5649999999960427e-06,True,False,UNAVAILABLE,0.027168133575937822
225,0,9,1.15,0.06,0.0,0.1139999999999999,-2.549736936302885e-09,0.1998472244836177,0.026089266,0.11558069,0.0,0.102065065,COMPLETED,True,failure_branch,0.0,0.1020624999999999,5.158541563610237e-08,1.782866351022196e-21,5.158541563610415e-08,0.0977847244836177,2.5650000000237982e-06,,17.313949318020605,assets/pinn_supersonic/atlas2d_v1_continuousM/N76/basin_T401_failure/basin_0194_0291.csv,0.0,0.1139999999999999,0.0,0.114,0.09778472448361782,2.565000000093187e-06,True,False,UNAVAILABLE,0.026136860599544093
