cr0,n,target_count,technical_count,target_fraction
0.0,31,5,31,0.16129032258064516
0.005,31,5,31,0.16129032258064516
0.01,31,5,31,0.16129032258064516
0.015,31,5,31,0.16129032258064516
0.02,31,5,31,0.16129032258064516
0.025,31,5,31,0.16129032258064516
0.03,31,5,31,0.16129032258064516
0.035,31,0,31,0.0
0.04,31,0,31,0.0
0.045,31,0,31,0.0
0.05,31,0,31,0.0
0.055,31,0,31,0.0
0.06,31,0,31,0.0
0.065,31,0,31,0.0
0.07,31,0,31,0.0
0.075,31,0,31,0.0
0.08,31,0,31,0.0
0.085,31,0,31,0.0
0.09,31,0,31,0.0
0.095,31,0,31,0.0
0.1,31,0,31,0.0
0.105,31,0,31,0.0
0.11,31,0,31,0.0
0.115,31,0,31,0.0
0.12,31,0,31,0.0
