condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,t401_row,test_id
generic,0,C00,1.0,0.055,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.07002929687500004,0.0120921875,0.011227156140134129,6.230045899538974e-21,0.011227156140134129,True,True,True,0.03228088609133955,23.806271262001246,0,0
generic,0,C00,1.0,0.055,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.0212962890625,0.01145041806778142,2.9438505907922315e-20,0.01145041806778142,True,True,True,0.03670865995685394,28.423311243066564,0,0
generic,0,C00,1.0,0.055,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,0,0.015,0.03,0.8700292968749999,0.015129296874999998,0.038401930843736075,2.1883021180604223e-19,0.038401930843736075,True,True,True,0.03352794074147381,32.9604105950566,0,0
generic,0,C00,1.0,0.055,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.040058593750000024,0.014940332031249998,0.0086898027804349,3.40376280989664e-21,0.0086898027804349,True,True,True,0.06132229917661708,22.909075167030096,0,0
generic,0,C00,1.0,0.055,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.014199837239583332,0.010135171379922465,4.9671309183037934e-20,0.010135171379922465,True,True,True,0.061170321332324626,28.87397328100633,0,0
generic,0,C00,1.0,0.055,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.000548553168402778,0.013160063176247754,6.652570186841459e-19,0.013160063176247754,True,True,True,0.05995897665181185,36.23150938504841,0,0
generic,0,C00,1.0,0.055,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,2.543131510416668e-06,0.0041078124999999995,0.0004949779067643005,1.763359721990862e-22,0.0004949779067643005,True,True,True,0.10007773948886231,20.629904352943413,0,0
generic,0,C00,1.0,0.055,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.0076146484375000005,0.006977430445418605,1.3563904404655603e-19,0.006977430445418605,True,True,True,0.1201181030238546,29.592222608975135,0,0
generic,0,C00,1.0,0.055,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,1e-06,0.00025376409795626416,1.1191185368784165e-10,0.00025376420986811786,True,True,True,0.11988285337741215,36.4275865330128,0,0
generic,0,C00,1.0,0.055,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0,0.0031389648437499997,4.794743712721497e-07,1.3979352352146168e-22,4.794743712721498e-07,True,True,True,0.1000064859942359,20.463262262986973,0,0
generic,0,C00,1.0,0.055,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.0006184455295138889,0.002213444906398879,6.772681504836013e-19,0.0022134449063988797,True,True,True,0.19980946383924703,32.042627305025235,0,0
generic,0,C00,1.0,0.055,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,3.604340277777777e-05,1.8548923701821237e-08,6.851397026062473e-19,1.8548923702506377e-08,True,True,True,0.13855558642037347,21.09453891904559,0,0
generic,1,C00,1.0,0.065,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0120921875,0.013480042444642834,4.714827308505938e-20,0.013480042444642834,True,True,True,0.032280886091339424,29.963724949979223,1,1
generic,1,C00,1.0,0.065,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.8700292968749999,0.0076146484375000005,0.04526317246405669,3.5649994834746754e-19,0.04526317246405669,True,True,True,0.03089843016960758,35.63380819791928,1,1
generic,1,C00,1.0,0.065,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.07002929687500004,0.04000615234375001,0.012270357235452023,5.631064382184512e-21,0.012270357235452023,True,True,True,0.0484015563983558,23.14697708201129,1,1
generic,1,C00,1.0,0.065,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.014134667968749999,0.011928934931678539,4.30145239636086e-20,0.011928934931678539,True,True,True,0.06115735728380791,29.86987700103782,1,1
generic,1,C00,1.0,0.065,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8506835937499999,1e-06,0.014478761990134151,3.870603062913124e-06,0.014482632593197065,True,True,True,0.049356903533498225,40.577466276008636,1,1
generic,1,C00,1.0,0.065,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.040058593750000024,0.020129296875,0.009670193753789476,4.082301517522493e-21,0.009670193753789476,True,True,True,0.06319924775291572,22.9484818339115,1,1
generic,1,C00,1.0,0.065,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.006774479166666665,0.008225209779568185,1.3151978880851184e-19,0.008225209779568185,True,True,True,0.12006846965401198,30.845738308969885,1,1
generic,1,C00,1.0,0.065,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,1.666162109375e-05,0.00044947605013545474,3.0440280219232045e-15,0.00044947605013849874,True,True,True,0.11988284146697349,37.77868645300623,1,1
generic,1,C00,1.0,0.065,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,2.543131510416668e-06,0.005447819010416664,0.0005065988268579786,3.0394624585878043e-22,0.0005065988268579786,True,True,True,0.1000568780049329,21.07592306495644,1,1
generic,1,C00,1.0,0.065,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.001759667968750001,0.002615231009485212,5.129786822070081e-19,0.0026152310094852125,True,True,True,0.1998048320398125,32.46569240698591,1,1
generic,1,C00,1.0,0.065,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,6.355787037037038e-05,2.501105264512986e-08,6.249873178826717e-19,2.501105264575485e-08,True,True,True,0.1385551991478458,22.338665482006036,1,1
generic,1,C00,1.0,0.065,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0,0.004456873697916666,3.6814250725380357e-06,2.6032690391231286e-22,3.681425072538036e-06,True,True,True,0.1000948667436028,20.980292230960913,1,1
generic,2,C00,1.0,0.075,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.0006172350260416665,0.02381664468367958,5.493537263940248e-19,0.02381664468367958,True,True,True,0.05245128082188018,76.63598767796066,2,2
generic,2,C00,1.0,0.075,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.07002929687500004,0.025433496093749994,0.013526253765214354,6.928319723446472e-21,0.013526253765214354,True,True,True,0.038044339723310734,24.14705629996024,2,2
generic,2,C00,1.0,0.075,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.02114860026041667,0.0154574155354622,2.207041926218698e-20,0.0154574155354622,True,True,True,0.03556560048333367,30.79622299899347,2,2
generic,2,C00,1.0,0.075,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0005087617187499999,0.018005245847933362,5.516087508451514e-19,0.018005245847933362,True,True,True,0.0599599530923685,39.06691574899014,2,2
generic,2,C00,1.0,0.075,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.040058593750000024,0.020739648437500008,0.010441779349333293,4.8952768403870545e-21,0.010441779349333293,True,True,True,0.06339532530755823,23.490719644003548,2,2
