benchmark_id,atlas_chart,Mach,alpha,cr_reference,ci_reference,cr_pinn,ci_pinn,pinn_spectral_error,shoot_status,shoot_error,shoot_cr,shoot_ci,shoot_stage1_mismatch,shoot_stage2_mismatch,shoot_total_mismatch,shoot_spectral_success,shoot_mode_success,shoot_retry,shoot_cr_half_window,shoot_ci_half_window,shoot_n_candidates,shoot_seconds,shoot_spectral_error,t401_id,chunk,pinn_error,shoot_error_recomputed,technical_success,improved
0,C00,1.0,0.055,-1.963662682691355e-07,0.0031382028597574,-0.005853027,0.0030376094,0.0058536950271853,COMPLETED,,0.0,0.0031370380267578,5.793115851873958e-07,1.3975152141142411e-22,5.793115851873959e-07,True,True,0,0.015,0.008,12,244.8995767509914,1.181268652018969e-06,0,0,0.005853695027185354,1.1812686520309432e-06,True,True
1,C00,1.0,0.065,5.318523598496773e-08,0.0044499855836279,-0.017917901,0.0055802804,0.0179535692428033,COMPLETED,,0.0,0.0044486191003906,7.500812078179626e-07,2.6006901976036978e-22,7.500812078179628e-07,True,True,0,0.015,0.008,12,248.2733291350305,1.3675178635323332e-06,1,0,0.01795356924280332,1.3675178635574677e-06,True,True
2,C00,1.0,0.075,-9.544762484683384e-09,0.0060334923763868,-0.019858688,0.011153984,0.0205082067586614,COMPLETED,,0.0,0.0060341923333333,3.7397877917107284e-07,4.347220163827348e-22,3.739787791710733e-07,True,True,0,0.015,0.008,12,253.9965914399945,7.000220207202856e-07,2,0,0.02050820675866146,7.000220206855943e-07,True,True
3,C00,1.0,0.085,-3.258289311069424e-09,0.0079182452555799,-0.015405625,0.01747105,0.0181270311891849,COMPLETED,,0.0,0.0079180736816406,8.850642722150778e-08,6.998349741169034e-22,8.85064272215085e-08,True,True,0,0.015,0.03,12,259.17118713399395,1.7160487489606713e-07,3,0,0.018127031189184958,1.716048749203489e-07,True,True
4,C00,1.0,0.095,8.092975981496505e-10,0.0101433175874361,-0.013561457,0.021150142,0.0174660619935454,COMPLETED,,0.0,0.0101449336666666,7.843892858363446e-07,1.0673782316329065e-21,7.843892858363457e-07,True,True,0,0.015,0.008,12,264.7842664939817,1.6160794332036129e-06,4,0,0.01746606199354541,1.616079433139428e-06,True,True
5,C00,1.0,0.11,4.635943253909663e-11,0.0142365019789538,-0.01753813,0.02111692,0.0188394840074603,COMPLETED,,0.0,0.0142367116666666,9.458485396162273e-08,1.845892810352248e-21,9.458485396162457e-08,True,True,0,0.015,0.008,12,270.5014924670104,2.0968771799159166e-07,5,0,0.01883948400746031,2.096877179239374e-07,True,True
6,C00,1.0,0.125,-2.4879102619033463e-11,0.0194746295545811,-0.008868843,0.020179307,0.0088967941428041,COMPLETED,,0.0,0.0194761819999999,6.351552891741297e-07,2.850653706628149e-21,6.351552891741326e-07,True,True,0,0.015,0.008,12,275.99472192599205,1.5524454190974495e-06,6,0,0.008896794142804103,1.552445419000305e-06,True,True
7,C00,1.05,0.05,3.9623304327421566e-10,0.0216720758392142,-0.0043905973,0.0051857224,0.017060984668326,COMPLETED,,0.0,0.0216699212882812,2.969147865094268e-07,1.4812615476708902e-22,2.96914786509427e-07,True,True,0,0.015,0.015,12,265.08921335899504,2.154550969383957e-06,7,0,0.01706098466832606,2.154550969435999e-06,True,True
8,C00,1.05,0.06,4.818920439745717e-10,0.026850382922755,-0.016061842,0.009249093,0.0238283065041976,COMPLETED,,0.0,0.0268510948824869,1.1019972233008796e-07,3.203588622345027e-22,1.101997223300883e-07,True,True,0,0.015,0.015,12,267.66924547200324,7.119598950564467e-07,8,0,0.023828306504197663,7.119598949835883e-07,True,True
9,C00,1.05,0.07,4.743779014405197e-10,0.0325278215395402,-0.019173443,0.020422505,0.0226750881627311,COMPLETED,,0.0,0.03253188,6.759172307072045e-07,6.052413818617418e-22,6.759172307072052e-07,True,True,0,0.015,0.008,12,270.6019105340238,4.0584604875345054e-06,9,0,0.022675088162731144,4.058460487520628e-06,True,True
10,C00,1.05,0.075,3.8536165476661847e-10,0.0356029301043054,-0.01574865,0.028072402,0.0174564842534252,COMPLETED,,0.0,0.035601698875,2.0959993857281086e-07,8.273480285586382e-22,2.0959993857281165e-07,True,True,0,0.015,0.015,12,272.31933487800416,1.2312293657054737e-06,10,0,0.017456484253425296,1.2312293657124126e-06,True,True
11,C00,1.05,0.085,2.2233667796181407e-10,0.0423637176862112,-0.0050076246,0.041632637,0.0050607099631408,COMPLETED,,0.0,0.042365058875,2.316720137777775e-07,1.3627437786792209e-21,2.3167201377777882e-07,True,True,0,0.015,0.015,12,272.8558509750292,1.3411888072280424e-06,11,0,0.005060709963140891,1.3411888072280424e-06,True,True
12,C00,1.05,0.1,3.017815208068885e-10,0.0546998175409827,0.007102102,0.050864812,0.0080713763405757,COMPLETED,,0.0,0.054702702625,4.689590235176453e-07,2.5321664624480004e-21,4.689590235176478e-07,True,True,0,0.015,0.015,12,274.68637206201674,2.8850840330844065e-06,12,0,0.00807137634057574,2.8850840330844065e-06,True,True
