condition,benchmark_id,atlas_chart,Mach,alpha,candidate_index,center_kind,center_index,cr_center,ci_center,requested_cr_half_window,requested_ci_half_window,status,error,retry_index,used_cr_half_window,used_ci_half_window,shoot_cr,shoot_ci,stage1_mismatch,stage2_mismatch,total_mismatch,spectral_success,mode_success,technical_success,delta_center,seconds,source_file,status_completed,actual_box_solves
generic,0,C00,1.05,0.105,0,generic,0,0.1,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.070029296875,0.0120921875,0.016789327546143,5.4690887968276055e-21,0.016789327546143,True,True,True,0.0322808860913395,25.59863812092226,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,1,generic,1,0.5,0.0001,0.015,0.015,COMPLETED,,0,0.015,0.015,0.5299707031249998,0.0225853515624999,0.020839633994127,7.375483628782803e-21,0.020839633994127,True,True,True,0.0374677738956572,32.053009559982456,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,2,generic,2,0.9,0.0001,0.015,0.03,COMPLETED,,1,0.02625,0.0525,0.8475512695312502,0.0005247369791666,0.033472726180516,4.000992929823767e-19,0.033472726180516,True,True,True,0.0524504502295742,80.39764015399851,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,0,C00,1.05,0.105,3,generic,3,0.1,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.04005859375,0.0149403320312499,0.0129826938783245,1.2276439586111629e-21,0.0129826938783245,True,True,True,0.061322299176617,24.99847042001784,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,4,generic,4,0.5,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.5599414062499999,0.0149480143229166,0.0186146273481375,1.2383210402908962e-20,0.0186146273481375,True,True,True,0.0613239207661576,32.62270738289226,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,5,generic,5,0.9,0.002,0.03,0.03,COMPLETED,,0,0.03,0.03,0.8400585937499998,0.0004521838107638,0.025298213599573,4.0132496092251753e-19,0.025298213599573,True,True,True,0.0599613868934268,40.06800294900313,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,6,generic,0,0.1,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.0046549479166666,0.0120921875,0.0106359965646799,2.0392218798575806e-22,0.0106359965646799,True,True,True,0.0960962617265037,24.83367957395967,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,7,generic,1,0.5,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.6198828124999999,0.0076146484375,0.0130031465213777,3.7119286964032745e-20,0.0130031465213777,True,True,True,0.1201181030238546,33.59777229197789,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,8,generic,2,0.9,0.0001,0.06,0.03,COMPLETED,,0,0.06,0.03,0.7801171875000003,5.771668233989199e-06,0.0007206329814809,5.065964339957353e-13,0.0007206329819875,True,True,True,0.1198828495319018,39.778822073945776,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,9,generic,3,0.1,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.0043131510416666,0.0149403320312499,0.0098276216814541,3.1412600990234e-22,0.0098276216814541,True,True,True,0.0965578855229022,24.596972196013667,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,10,generic,4,0.5,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.6998046874999995,0.0006278721788194,0.0041853557361379,3.9286369707184063e-19,0.0041853557361379,True,True,True,0.1998093988823601,35.996677775052376,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,0,C00,1.05,0.105,11,generic,5,0.9,0.002,0.1,0.03,COMPLETED,,0,0.1,0.03,0.7614583333333332,1e-06,3.515362588356661e-08,3.291359941090088e-19,3.5153625883895756e-08,True,True,True,0.1385560875738695,23.49831530195661,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,0,generic,1,0.5,0.0001,0.015,0.008,COMPLETED,,0,0.015,0.008,0.5299707031249998,0.0120921875,0.0176246015793482,2.2663903599167962e-20,0.0176246015793482,True,True,True,0.0322808860913394,32.37437442096416,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,1,generic,2,0.9,0.0001,0.015,0.015,COMPLETED,,1,0.02625,0.02625,0.8475512695312502,0.0006406948242187,0.0285526731135134,4.691636310304458e-19,0.0285526731135134,True,True,True,0.0524515174106193,76.86667897191364,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,1,C00,1.1,0.09,2,generic,3,0.1,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.070029296875,0.0479188476562499,0.0072724248819003,2.8278897421376146e-21,0.0072724248819003,True,True,True,0.0548341464407423,24.17708427505568,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,3,generic,4,0.5,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.5599414062499999,0.0149403320312499,0.0157398583169445,1.920362643430072e-20,0.0157398583169445,True,True,True,0.0613222991766169,32.249421903979965,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,4,generic,5,0.9,0.002,0.03,0.015,COMPLETED,,0,0.03,0.015,0.8479882812499999,1e-06,0.0052349384647219,2.8723413603920726e-06,0.0052378108060823,True,True,True,0.052050119003986,41.328206025995314,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,5,generic,0,0.1,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.04005859375,0.0450707031249999,0.0058649251100935,1.6833389544530745e-21,0.0058649251100935,True,True,True,0.0749355477913147,24.09671041800175,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,6,generic,1,0.5,0.0001,0.06,0.008,COMPLETED,,0,0.06,0.008,0.6198828124999999,0.0081078124999999,0.011033573466733,4.672840030078888e-20,0.011033573466733,True,True,True,0.1201499637700539,33.196428772993386,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,7,generic,2,0.9,0.0001,0.06,0.015,COMPLETED,,0,0.06,0.015,0.7801171875000003,4.4504503038194446e-05,0.000622387495972,2.9803807520225127e-19,0.000622387495972,True,True,True,0.1198828253448353,39.50494641799014,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,8,generic,3,0.1,0.002,0.06,0.03,COMPLETED,,0,0.06,0.03,0.0076497395833333,0.0479188476562499,0.0048073152256909,1.2927791961798857e-21,0.0048073152256909,True,True,True,0.1031363717080644,23.68869010906201,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,9,generic,4,0.5,0.002,0.1,0.008,COMPLETED,,0,0.1,0.008,0.6998046874999995,0.00505966796875,0.0035786231846625,1.207875991802731e-19,0.0035786231846625,True,True,True,0.1998281129247119,33.92451780301053,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,10,generic,5,0.9,0.002,0.1,0.015,COMPLETED,,0,0.1,0.015,0.7614583333333332,6.355787037037038e-05,3.436761145452941e-08,4.893636415368028e-19,3.4367611455018786e-08,True,True,True,0.1385551991478458,23.24667780706659,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,1,C00,1.1,0.09,11,generic,0,0.1,0.0001,0.1,0.03,COMPLETED,,0,0.1,0.03,0.0081705729166666,0.0450707031249999,0.005139129634398,1.1654048013971834e-21,0.005139129634398,True,True,True,0.1022497326060568,23.701568573946133,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,0,generic,2,0.9,0.0001,0.015,0.008,COMPLETED,,1,0.02625,0.014,0.8475512695312502,0.0005656868489583,0.03340554143207,3.9894281555891625e-19,0.03340554143207,True,True,True,0.0524507978206706,80.8727422170341,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,2.0
generic,2,C00,1.1,0.105,1,generic,3,0.1,0.002,0.015,0.015,COMPLETED,,0,0.015,0.015,0.070029296875,0.0254334960937499,0.0125798460464535,1.5710006177107885e-21,0.0125798460464535,True,True,True,0.0380443397233107,25.31306572502945,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,2,generic,4,0.5,0.002,0.015,0.03,COMPLETED,,0,0.015,0.03,0.5299707031249998,0.0251153320312499,0.0203121570666555,6.437857752389098e-21,0.0203121570666555,True,True,True,0.0378491957737784,31.685029156971723,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,3,generic,5,0.9,0.002,0.03,0.008,COMPLETED,,0,0.03,0.008,0.8400585937499998,0.0004853007812499,0.0252422832997111,4.006354326007208e-19,0.0252422832997111,True,True,True,0.0599605411662607,40.22865093697328,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,4,generic,0,0.1,0.0001,0.03,0.015,COMPLETED,,0,0.03,0.015,0.04005859375,0.0225853515624999,0.0117597079389551,6.423720352070135e-22,0.0117597079389551,True,True,True,0.0640200220096553,25.45594865304884,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
generic,2,C00,1.1,0.105,5,generic,1,0.5,0.0001,0.03,0.03,COMPLETED,,0,0.03,0.03,0.5599414062499999,0.016379296875,0.0182261078310886,1.0306967095387048e-20,0.0182261078310886,True,True,True,0.0621127015188673,32.30162530206144,/lustre/fswork/projects/rech/fdb/usv13rn/These_PINN_KH_RT/assets/pinn_supersonic/reviewer_runs/budget_matched_v64/candidates_generic_00_32.csv,True,1.0
