dataset,source_id,chart,Mach,alpha,r_kappa_normalized_rms_stage2,r_q_normalized_rms_stage2,r_logamp_normalized_rms_stage2,bc_kappa_rmse_stage2,bc_q_rmse_stage2,r_kappa_normalized_rms_stage3,r_q_normalized_rms_stage3,r_logamp_normalized_rms_stage3,bc_kappa_rmse_stage3,bc_q_rmse_stage3,r_kappa_normalized_rms_delta,r_kappa_normalized_rms_ratio,r_q_normalized_rms_delta,r_q_normalized_rms_ratio,r_logamp_normalized_rms_delta,r_logamp_normalized_rms_ratio,bc_kappa_rmse_delta,bc_kappa_rmse_ratio,bc_q_rmse_delta,bc_q_rmse_ratio
V64,0,C00,1.05,0.105,0.0186273101013654,0.0168261665240725,0.0119286297148548,0.0028962723155344,0.0004824210393672,0.0086749843397425,0.0081632319982202,0.004910393208866,0.0017989609373988,0.0008458314005706,-0.0099523257616229,0.4657132077865937,-0.008662934525852302,0.4851510286993416,-0.0070182365059888,0.4116477186605143,-0.0010973113781356,0.6211297631613995,0.0003634103612034,1.7533053734142516
V64,1,C00,1.1,0.09,0.0163089885635326,0.0138166533973958,0.0088151298501855,0.0008858925402988,0.0018602526787387,0.0071703455666044,0.0071332026237484,0.0049364710452698,0.000991913786573,0.0010179666469323,-0.009138642996928199,0.43965605461503077,-0.0066834507736474,0.5162757158758057,-0.0038786588049157,0.55999981045837,0.0001060212462741999,1.1196773214033842,-0.0008422860318064,0.5472195570886145
V64,2,C00,1.1,0.105,0.0139267126388183,0.013401245953771,0.0093183528680344,0.001610898132438,0.0010293939101666,0.0066446614510411,0.0072803027596481,0.0048291438303853,0.0007901122286278,0.0008770111981417,-0.0072820511877771995,0.4771162889166146,-0.0061209431941229,0.5432556632989399,-0.0044892090376491,0.5182400686875848,-0.0008207859038102,0.49047932499121555,-0.00015238271202490004,0.851968512228484
V64,3,C00,1.1,0.115,0.0166581072712865,0.0151142657552857,0.0092263845601999,0.0016785877628519,0.0004091404011264,0.0077870761338507,0.0084428148968519,0.005388054632818,0.0011330894580966,0.0006339969187174,-0.008871031137435799,0.467464640912311,-0.0066714508584338,0.5585990767629128,-0.0038383299273818993,0.583983314120744,-0.0005454983047552999,0.6750254488758425,0.00022485651759099996,1.5495827764062164
V64,4,C00,1.2,0.075,0.0168789633717615,0.0164643491824005,0.0102311019837126,0.0017856958860739,0.0008394092475825,0.0067367186496723,0.0071462550053644,0.0053543013227204,0.0009154338031408,0.0003023394358728,-0.010142244722089199,0.39911921729404476,-0.0093180941770361,0.4340441839634548,-0.0048768006609922,0.5233357395170314,-0.0008702620829331,0.5126482119827851,-0.0005370698117097,0.360181206894656
T401,0,C00,1.0,0.055,0.0436084992763492,0.0407591904019196,0.0227342003515751,0.0022452130644888,0.0027785662496013,0.0170743778615055,0.0153026494037214,0.0090511753780454,0.002794970498378,0.0015721856942039,-0.026534121414843702,0.39153784571453215,-0.025456540998198204,0.3754404651521416,-0.013683024973529698,0.39813036034136584,0.0005497574338891999,1.2448575783672322,-0.0012063805553974,0.5658262402163328
T401,1,C00,1.0,0.065,0.0340350428320707,0.0301449687825168,0.0214710234748519,0.0025468514971264,0.0028909400150297,0.0134700952263871,0.0123836883432982,0.0081008157027818,0.0045389391461011,0.0018993314692945,-0.0205649476056836,0.39577136108947203,-0.0177612804392186,0.41080448391375934,-0.013370207772070099,0.37729061738812514,0.0019920876489746995,1.7821766016677305,-0.0009916085457352,0.6569944237583868
T401,2,C00,1.0,0.075,0.0296740570501434,0.0302703129017266,0.0182207927742542,0.0026365330756839,0.0032195122590345,0.0119463200049933,0.0125311806499153,0.0079653701512978,0.004547288750679,0.0020138522882771,-0.0177277370451501,0.40258465449487874,-0.0177391322518113,0.4139759205858929,-0.010255422622956398,0.4371582647354834,0.0019107556749950998,1.7247228159652281,-0.0012056599707573998,0.6255147134867672
T401,3,C00,1.0,0.085,0.0295974924569583,0.0280261163658786,0.0201924066198442,0.0026457848452737,0.0038752719838436,0.0126958202755689,0.0111257540658724,0.0075873734062861,0.0035183965376201,0.0027213540699398,-0.016901672181389403,0.4289491852741107,-0.0169003623000062,0.3969780871750696,-0.0126050332135581,0.37575379444021134,0.0008726116923464,1.3298120381576721,-0.0011539179139037998,0.7022356317918845
T401,4,C00,1.0,0.095,0.0301554924154488,0.0267722705080814,0.0179895735798318,0.003730013249085,0.0039570869904237,0.0123206844018956,0.0116457478280595,0.0073658470461618,0.0036111997183795,0.0034330166645986,-0.0178348080135532,0.4085718194269531,-0.015126522680021902,0.43499290897065107,-0.010623726533669999,0.4094508974031318,-0.00011881353070550011,0.9681466196575452,-0.0005240703258251002,0.8675615858096195
T401,5,C00,1.0,0.11,0.0319805017288026,0.028596900378147,0.0197100627288227,0.0054954010991319,0.0019112708176673,0.0123402868181821,0.0132110164797602,0.0081042908981829,0.0053633378530807,0.002335824089555,-0.019640214910620502,0.3858690811929341,-0.015385883898386802,0.4619737211049527,-0.0116057718306398,0.411175297089832,-0.00013206324605120022,0.9759684063694528,0.0004245532718876999,1.2221314049077912
T401,6,C00,1.0,0.125,0.0402651226042334,0.0393346840470289,0.0231294214948761,0.0037725690124115,0.0014205110996857,0.0165396616241134,0.0172980348783746,0.0094557500520252,0.0041312226947757,0.000362294466698,-0.02372546098012,0.4107689373426731,-0.022036649168654304,0.43976544613127977,-0.013673671442850898,0.40881913341930964,0.0003586536823641999,1.0950688194660596,-0.0010582166329876999,0.2550451501421993
T401,7,C00,1.05,0.05,0.0321693924783939,0.0296582013884774,0.019427222886135,0.0013203070702459,0.0013280492270088,0.0137752906864515,0.0144350659749737,0.0108323455638169,0.0023872672195273,0.00139074263762,-0.018394101791942397,0.4282110921337253,-0.015223135413503702,0.48671413973815386,-0.0085948773223181,0.5575859003268979,0.0010669601492814002,1.8081151523960897,6.269341061119994e-05,1.0472071436330759
T401,8,C00,1.05,0.06,0.0200692169384446,0.018418979652429,0.0119407391549392,0.0022864313394093,0.0010080813448091,0.0084206143635381,0.0078719889800816,0.0060222019345458,0.0010022667326668,0.0013637999546962,-0.0116486025749065,0.4195786207984811,-0.0105469906723474,0.4273846395744013,-0.0059185372203933995,0.5043407997112775,-0.0012841646067425,0.43835417901756707,0.0003557186098871001,1.3528669702289378
T401,9,C00,1.05,0.07,0.0178567498845846,0.0162164947882946,0.0112705242010436,0.0030747734852714,0.0003255346622096,0.008917589820315,0.0082060495766075,0.0058574542980482,0.0023925905856834,0.0004770043646191,-0.008939160064269602,0.4993960198778048,-0.008010445211687102,0.5060310309803074,-0.005413069902995401,0.5197144510373196,-0.0006821828995879999,0.7781355593003021,0.00015146970240949997,1.4652951589897794
T401,10,C00,1.05,0.075,0.0180226614741204,0.016204130836361,0.0098189788911838,0.0030759131101828,0.0004694907852331,0.0086674941951807,0.0083271232732994,0.00562351461135,0.0025559763377557,0.0002857043309839,-0.009355167278939702,0.4809219885546187,-0.0078770075630616,0.5138889186585611,-0.0041954642798338,0.5727188818380294,-0.0005199367724271001,0.8309650650709699,-0.00018378645424919996,0.6085408701728814
T401,11,C00,1.05,0.085,0.0151531631028954,0.0154345819249361,0.0102597745639227,0.0027754922750536,0.001087040326381,0.0071284286415785,0.0074878176069802,0.0052685856506133,0.002268569505723,0.0007201924427259,-0.0080247344613169,0.47042512465377156,-0.0079467643179559,0.4851325188719811,-0.004991188913309399,0.5135186565540794,-0.0005069227693306,0.8173575282889914,-0.00036684788365509995,0.6625259663765939
T401,12,C00,1.05,0.1,0.01802296748492,0.0166404895346012,0.0122240186747562,0.0025945087932094,0.0010391267473252,0.0070672690097211,0.0077295138025312,0.0049854313445175,0.0017129461526909,0.001105674893995,-0.010955698475198901,0.39212571490429393,-0.008910975732070002,0.46450038542790034,-0.0072385873302387,0.4078389830026115,-0.0008815626405185002,0.6602198293465756,6.654814666980004e-05,1.064042376775596
